day,status,url,sha256,bytes,fut_rows,idxopt_rows,fut_symbols,idxopt_symbols,retrieved
20190101,OK,https://nsearchives.nseindia.com/content/historical/DERIVATIVES/2019/JAN/fo01JAN2019bhav.csv.zip,58449b725c8c4bd59a8719e5e4fe022874fd303b9648cac0afd0edabe4d33669,433975.0,606.0,3390.0,203.0,3.0,2026-09-19T09:21:09.973129
20190102,OK,https://nsearchives.nseindia.com/content/historical/DERIVATIVES/2019/JAN/fo02JAN2019bhav.csv.zip,f7453449b3b2fbd96e19776e96c90cf527b327bca4f7a8a7e12b56f450f003f7,444724.0,606.0,3414.0,203.0,3.0,2026-09-19T09:21:11.509245
20190103,OK,https://nsearchives.nseindia.com/content/historical/DERIVATIVES/2019/JAN/fo03JAN2019bhav.csv.zip,619491c5c79467b00e6d5f4afbbb24d64102da51f4b1f2d8328cd2facfef750b,444280.0,606.0,3414.0,203.0,3.0,2026-09-19T09:21:12.907979
20190104,OK,https://nsearchives.nseindia.com/content/historical/DERIVATIVES/2019/JAN/fo04JAN2019bhav.csv.zip,f6726ec18ccfdd157136bf8409f29275b6b6a5ddb448327719e445dd84bcd95c,445737.0,606.0,3380.0,203.0,3.0,2026-09-19T09:21:14.162233
20190107,OK,https://nsearchives.nseindia.com/content/historical/DERIVATIVES/2019/JAN/fo07JAN2019bhav.csv.zip,c7b307bf73bb6990ddc3388a9cb2479ef3681f61fde23d85226846ff04cc6b93,442530.0,606.0,3390.0,203.0,3.0,2026-09-19T09:21:15.479951
20190108,OK,https://nsearchives.nseindia.com/content/historical/DERIVATIVES/2019/JAN/fo08JAN2019bhav.csv.zip,e437ab26d044772946c630affb966d6a7a59b1b547f2cde3488e3618577f77bf,444293.0,606.0,3392.0,203.0,3.0,2026-09-19T09:21:16.710851
20190109,OK,https://nsearchives.nseindia.com/content/historical/DERIVATIVES/2019/JAN/fo09JAN2019bhav.csv.zip,5472c2ab4228c1bc3bee2da922b41035acae4ea5c3814aed2cdf76a42fa4e213,448494.0,606.0,3414.0,203.0,3.0,2026-09-19T09:21:18.323487
20190110,OK,https://nsearchives.nseindia.com/content/historical/DERIVATIVES/2019/JAN/fo10JAN2019bhav.csv.zip,5d4dbbcbf11aa6b7b3faaa0a1ee62abd9d2f0dcdf802208ee03c91b39f483605,444056.0,606.0,3454.0,203.0,3.0,2026-09-19T09:21:19.832725
20190111,OK,https://nsearchives.nseindia.com/content/historical/DERIVATIVES/2019/JAN/fo11JAN2019bhav.csv.zip,588f5074d94806339edccb65266d0562d63c8c097cf6a96c78d36b2c3e32cc39,444987.0,606.0,3410.0,203.0,3.0,2026-09-19T09:21:33.751877
20190114,OK,https://nsearchives.nseindia.com/content/historical/DERIVATIVES/2019/JAN/fo14JAN2019bhav.csv.zip,f237a70d766ff92c861449ba6009ac3e2f214b5cdbe58fa94da7b0fa87ef889a,446786.0,606.0,3410.0,203.0,3.0,2026-09-19T09:21:35.274018
