month,lot,n,symbol
2019-01,75.0,67,NIFTY
2019-02,75.0,49,NIFTY
2019-03,75.0,51,NIFTY
2019-04,75.0,51,NIFTY
2019-05,75.0,51,NIFTY
2019-06,75.0,45,NIFTY
2019-07,75.0,54,NIFTY
2019-08,75.0,53,NIFTY
2019-09,75.0,50,NIFTY
2019-10,75.0,52,NIFTY
2019-11,75.0,45,NIFTY
2019-12,75.0,50,NIFTY
2020-01,75.0,64,NIFTY
2020-02,75.0,47,NIFTY
2020-03,75.0,61,NIFTY
2020-04,75.0,52,NIFTY
2020-05,75.0,49,NIFTY
2020-06,75.0,61,NIFTY
2020-07,75.0,62,NIFTY
2020-08,75.0,50,NIFTY
2020-09,75.0,50,NIFTY
2020-10,75.0,59,NIFTY
2020-11,75.0,53,NIFTY
2020-12,75.0,57,NIFTY
2021-01,75.0,53,NIFTY
2021-02,75.0,57,NIFTY
2021-03,75.0,58,NIFTY
2021-04,75.0,53,NIFTY
2021-05,75.0,55,NIFTY
2021-06,50.0,61,NIFTY
2021-07,50.0,56,NIFTY
2021-08,50.0,62,NIFTY
2021-09,50.0,61,NIFTY
2021-10,50.0,60,NIFTY
2021-11,50.0,57,NIFTY
2021-12,50.0,69,NIFTY
2022-01,50.0,60,NIFTY
2022-02,50.0,60,NIFTY
2022-03,50.0,63,NIFTY
2022-04,50.0,57,NIFTY
2022-05,50.0,63,NIFTY
2022-06,50.0,66,NIFTY
2022-07,50.0,63,NIFTY
2022-08,50.0,60,NIFTY
2022-09,50.0,66,NIFTY
2022-10,50.0,57,NIFTY
2022-11,50.0,63,NIFTY
2022-12,50.0,66,NIFTY
2023-01,50.0,63,NIFTY
2023-02,50.0,60,NIFTY
2023-03,50.0,63,NIFTY
2023-04,50.0,51,NIFTY
2023-05,50.0,66,NIFTY
2023-06,50.0,63,NIFTY
2023-07,50.0,63,NIFTY
2023-08,50.0,64,NIFTY
2023-09,50.0,60,NIFTY
2023-10,50.0,60,NIFTY
2023-11,50.0,56,NIFTY
2023-12,50.0,60,NIFTY
2024-01,50.0,60,NIFTY
2024-02,50.0,63,NIFTY
2024-03,50.0,54,NIFTY
2024-04,50.0,60,NIFTY
2024-05,25.0,63,NIFTY
2024-06,25.0,57,NIFTY
2024-07,25.0,66,NIFTY
2024-08,25.0,63,NIFTY
2024-09,25.0,63,NIFTY
2024-10,25.0,66,NIFTY
2024-11,25.0,57,NIFTY
2024-12,25.0,59,NIFTY
2025-01,75.0,69,NIFTY
2025-02,75.0,57,NIFTY
2025-03,75.0,57,NIFTY
2025-04,75.0,56,NIFTY
2025-05,75.0,63,NIFTY
2025-06,75.0,62,NIFTY
2025-07,75.0,64,NIFTY
2025-08,75.0,56,NIFTY
2025-09,75.0,61,NIFTY
2025-10,75.0,62,NIFTY
2025-11,75.0,56,NIFTY
2025-12,65.0,66,NIFTY
2026-01,65.0,59,NIFTY
2026-02,65.0,60,NIFTY
2026-03,65.0,57,NIFTY
2026-04,65.0,60,NIFTY
2026-05,65.0,57,NIFTY
2026-06,65.0,63,NIFTY
2026-07,65.0,66,NIFTY
2026-08,65.0,62,NIFTY
2026-09,65.0,38,NIFTY
2019-01,20.0,46,BANKNIFTY
2019-02,20.0,39,BANKNIFTY
2019-03,20.0,48,BANKNIFTY
2019-04,20.0,39,BANKNIFTY
2019-05,20.0,44,BANKNIFTY
2019-06,20.0,39,BANKNIFTY
2019-07,20.0,44,BANKNIFTY
2019-08,20.0,41,BANKNIFTY
2019-09,20.0,41,BANKNIFTY
2019-10,20.0,39,BANKNIFTY
2019-11,20.0,40,BANKNIFTY
2019-12,20.0,43,BANKNIFTY
2020-01,20.0,47,BANKNIFTY
2020-02,20.0,40,BANKNIFTY
2020-03,20.0,52,BANKNIFTY
2020-04,20.0,38,BANKNIFTY
2020-05,20.0,40,BANKNIFTY
2020-06,25.0,51,BANKNIFTY
2020-07,25.0,51,BANKNIFTY
2020-08,25.0,47,BANKNIFTY
2020-09,25.0,49,BANKNIFTY
2020-10,25.0,56,BANKNIFTY
2020-11,25.0,56,BANKNIFTY
2020-12,25.0,53,BANKNIFTY
2021-01,25.0,45,BANKNIFTY
2021-02,25.0,52,BANKNIFTY
2021-03,25.0,59,BANKNIFTY
2021-04,25.0,47,BANKNIFTY
2021-05,25.0,47,BANKNIFTY
2021-06,25.0,49,BANKNIFTY
2021-07,25.0,50,BANKNIFTY
2021-08,25.0,48,BANKNIFTY
2021-09,25.0,53,BANKNIFTY
2021-10,25.0,50,BANKNIFTY
2021-11,25.0,50,BANKNIFTY
2021-12,25.0,60,BANKNIFTY
2022-01,25.0,57,BANKNIFTY
2022-02,25.0,58,BANKNIFTY
2022-03,25.0,63,BANKNIFTY
2022-04,25.0,57,BANKNIFTY
2022-05,25.0,63,BANKNIFTY
2022-06,25.0,66,BANKNIFTY
2022-07,25.0,62,BANKNIFTY
2022-08,25.0,60,BANKNIFTY
2022-09,25.0,66,BANKNIFTY
2022-10,25.0,56,BANKNIFTY
2022-11,25.0,61,BANKNIFTY
2022-12,25.0,61,BANKNIFTY
2023-01,25.0,62,BANKNIFTY
2023-02,25.0,60,BANKNIFTY
2023-03,25.0,63,BANKNIFTY
2023-04,25.0,51,BANKNIFTY
