TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-03-19,2026-03-19,FO,NSE,IDO,40983,,NIFTY,,2026-04-07,2026-04-07,26300.0,PE,NIFTY2640726300PE,0.0,0.0,0.0,2290.5,2290.5,2290.5,23002.15,3222.65,65,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,40991,,NIFTY,,2026-04-07,2026-04-07,26400.0,PE,NIFTY2640726400PE,0.0,0.0,0.0,2386.85,2386.85,2386.85,23002.15,3322.4,65,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,40993,,NIFTY,,2026-04-07,2026-04-07,26450.0,PE,NIFTY2640726450PE,0.0,0.0,0.0,2419.8,2419.8,2419.8,23002.15,3372.25,65,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54171,,NIFTY,,2026-04-13,2026-04-13,20850.0,PE,NIFTY2641320850PE,0.0,0.0,0.0,0.1,0.0,0.1,23002.15,0.35,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54302,,NIFTY,,2026-04-13,2026-04-13,20950.0,PE,NIFTY2641320950PE,0.0,0.0,0.0,0.1,0.0,0.1,23002.15,0.55,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54662,,NIFTY,,2026-04-13,2026-04-13,21750.0,PE,NIFTY2641321750PE,0.0,0.0,0.0,1.65,0.0,1.65,23002.15,13.2,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54670,,NIFTY,,2026-04-13,2026-04-13,21800.0,PE,NIFTY2641321800PE,0.0,0.0,0.0,1.95,0.0,1.95,23002.15,15.5,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54684,,NIFTY,,2026-04-13,2026-04-13,22050.0,PE,NIFTY2641322050PE,0.0,0.0,0.0,4.2,0.0,4.2,23002.15,33.05,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54688,,NIFTY,,2026-04-13,2026-04-13,22150.0,PE,NIFTY2641322150PE,126.45,230.8,126.45,228.75,228.75,32.3,23002.15,228.75,1625,1560,64,92920756.5,38,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54756,,NIFTY,,2026-04-13,2026-04-13,22750.0,PE,NIFTY2641322750PE,0.0,0.0,0.0,26.2,0.0,26.2,23002.15,174.45,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54766,,NIFTY,,2026-04-13,2026-04-13,23000.0,PE,NIFTY2641323000PE,349.0,545.0,321.5,493.8,456.0,214.05,23002.15,493.8,23920,14235,1639,2496947440.0,1252,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54768,,NIFTY,,2026-04-13,2026-04-13,23050.0,PE,NIFTY2641323050PE,0.0,0.0,0.0,50.35,0.0,50.35,23002.15,297.95,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54789,,NIFTY,,2026-04-13,2026-04-13,23400.0,PE,NIFTY2641323400PE,497.85,735.45,465.65,681.05,630.25,298.9,23002.15,681.05,4680,910,152,237108898.0,147,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54832,,NIFTY,,2026-04-13,2026-04-13,24150.0,PE,NIFTY2641324150PE,0.0,0.0,0.0,312.85,0.0,312.85,23002.15,1094.1,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54871,,NIFTY,,2026-04-13,2026-04-13,24450.0,PE,NIFTY2641324450PE,0.0,0.0,0.0,451.75,0.0,451.75,23002.15,1372.55,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,62854,,NIFTY,,2026-03-24,2026-03-24,26450.0,CE,NIFTY2632426450CE,1.5,2.8,0.65,1.1,0.95,1.05,23002.15,1.1,40885,8320,5793,9960156966.5,4365,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,62731,,NIFTY,,2026-03-24,2026-03-24,25250.0,CE,NIFTY2632425250CE,1.85,3.6,1.6,2.15,1.9,2.7,23002.15,2.15,288470,-157690,73703,120976499439.25,19186,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,62664,,NIFTY,,2026-03-24,2026-03-24,24450.0,CE,NIFTY2632424450CE,18.65,18.65,6.75,7.6,8.15,22.0,23002.15,7.6,579020,-84565,177442,282090832357.75,64735,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,62607,,NIFTY,,2026-03-24,2026-03-24,23750.0,CE,NIFTY2632423750CE,53.75,77.45,29.6,38.6,52.25,223.7,23002.15,38.6,1250795,-62205,381064,589492220765.5,212916,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54891,,NIFTY,,2026-04-13,2026-04-13,24950.0,PE,NIFTY2641324950PE,0.0,0.0,0.0,754.15,0.0,754.15,23002.15,1857.6,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54905,,NIFTY,,2026-04-13,2026-04-13,25100.0,PE,NIFTY2641325100PE,0.0,0.0,0.0,860.75,0.0,860.75,23002.15,2005.65,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54911,,NIFTY,,2026-04-13,2026-04-13,25250.0,PE,NIFTY2641325250PE,0.0,0.0,0.0,974.0,0.0,974.0,23002.15,2154.2,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,40745,,NIFTY,,2026-04-07,2026-04-07,22700.0,PE,NIFTY2640722700PE,0.0,0.0,0.0,5.15,0.0,5.15,23002.15,129.05,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,63465,,NIFTY,,2026-04-21,2026-04-21,24600.0,PE,NIFTY2642124600PE,0.0,0.0,0.0,999.45,0.0,999.45,23002.15,1499.6,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,63407,,NIFTY,,2026-04-21,2026-04-21,23750.0,PE,NIFTY2642123750PE,457.0,457.0,457.0,457.0,457.0,457.0,23002.15,766.85,65,0,1,1573455.0,1,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,63365,,NIFTY,,2026-04-21,2026-04-21,22800.0,PE,NIFTY2642122800PE,0.0,0.0,0.0,116.85,0.0,116.85,23002.15,226.0,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,63356,,NIFTY,,2026-04-21,2026-04-21,22650.0,PE,NIFTY2642122650PE,0.0,0.0,0.0,89.75,0.0,89.75,23002.15,175.15,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,63352,,NIFTY,,2026-04-21,2026-04-21,22550.0,PE,NIFTY2642122550PE,0.0,0.0,0.0,74.6,0.0,74.6,23002.15,146.15,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,54889,,NIFTY,,2026-04-13,2026-04-13,24900.0,PE,NIFTY2641324900PE,0.0,0.0,0.0,720.15,0.0,720.15,23002.15,1808.45,0,0,0,0.0,0,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,72470,,NIFTY,,2026-05-26,2026-05-26,26400.0,CE,NIFTY26MAY26400CE,47.3,47.3,42.0,45.15,45.15,59.35,23002.15,45.15,7735,130,17,29221851.75,8,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,72300,,NIFTY,,2026-05-26,2026-05-26,25050.0,CE,NIFTY26MAY25050CE,169.55,187.7,160.45,177.75,180.45,249.7,23002.15,177.75,3835,-2080,66,108217528.25,40,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,72294,,NIFTY,,2026-05-26,2026-05-26,24900.0,CE,NIFTY26MAY24900CE,204.95,232.05,181.25,199.55,210.0,301.15,23002.15,199.55,11115,-2925,368,600635480.25,262,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,72241,,NIFTY,,2026-05-26,2026-05-26,24350.0,CE,NIFTY26MAY24350CE,394.4,396.85,352.0,370.1,370.3,525.3,23002.15,370.1,4030,2145,49,78785066.75,44,F1,65,,,,,
2026-03-19,2026-03-19,FO,NSE,IDO,55761,,NIFTY,,2030-12-31,2030-12-31,28500.0,PE,NIFTY30DEC28500PE,0.0,0.0,0.0,1083.1,0.0,1083.1,23002.15,2066.55,0,0,0,0.0,0,F1,65,,,,,
