timestamp,strategy,underlying,signal,contract,security_id,risk_decision,execution_decision,status,reason,bid,ask,ltp,fill_price
09:33:25,Strategy 1: Apex VRP Engine,NIFTY,SELL (STRANGLE),NIFTY 22 SEP 23600 CALL / NIFTY 22 SEP 23000 PUT,57031 / 56956,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Bid Quote,,,,
09:33:25,Strategy 5: Velocity-5 Momentum Scalper,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:33:25,Strategy 4: Golden Trend Runner,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:33:25,Strategy 3: Confluence Gamma Scalper,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:33:25,Strategy 6: Micro Momentum Sniper,NIFTY,BUY (CE),NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:33:47,Strategy 1: Apex VRP Engine,NIFTY,SELL (STRANGLE),NIFTY 22 SEP 23600 CALL / NIFTY 22 SEP 23000 PUT,57031 / 56956,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Bid Quote,,,,
09:33:47,Strategy 5: Velocity-5 Momentum Scalper,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:33:47,Strategy 4: Golden Trend Runner,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:33:47,Strategy 3: Confluence Gamma Scalper,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:33:47,Strategy 6: Micro Momentum Sniper,NIFTY,BUY (CE),NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:34:48,Strategy 1: Apex VRP Engine,NIFTY,SELL (STRANGLE),NIFTY 22 SEP 23600 CALL / NIFTY 22 SEP 23000 PUT,57031 / 56956,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Bid Quote,,,,
09:34:48,Strategy 5: Velocity-5 Momentum Scalper,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:34:48,Strategy 4: Golden Trend Runner,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:34:48,Strategy 3: Confluence Gamma Scalper,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:34:48,Strategy 6: Micro Momentum Sniper,NIFTY,BUY (CE),NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
09:35:48,Strategy 1: Apex VRP Engine,NIFTY,SELL (STRANGLE),NIFTY 22 SEP 23600 CALL / NIFTY 22 SEP 23000 PUT,57031 / 56956,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Bid Quote,,,,
09:35:48,Strategy 5: Velocity-5 Momentum Scalper,NIFTY,BUY,NIFTY 22 SEP 23300 CALL,56985,APPROVED,NO_EXECUTION,NO_EXECUTION,DATA_UNAVAILABLE: Stale/Missing Ask Quote,,,,
