date,action,symbol_added,symbol_removed,reason
2015-03-27,REBALANCE,TATAMTRDVR,DLF,Index Reconstitution
2015-09-28,REBALANCE,ADANIPORTS,NMDC,Index Reconstitution
2016-03-31,REBALANCE,AUROPHARMA,CAIRN,Index Reconstitution
2016-03-31,REBALANCE,BHARTIINFRATEL,PNB,Index Reconstitution
2017-03-31,REBALANCE,IOC,BHEL,Index Reconstitution
2017-03-31,REBALANCE,IBULHSGFIN,IDEA,Index Reconstitution
2017-09-29,REBALANCE,BAJFINANCE,ACC,Index Reconstitution
2017-09-29,REBALANCE,HPCL,BANKBARODA,Index Reconstitution
2018-09-28,REBALANCE,JSWSTEEL,LUPIN,Index Reconstitution
2019-03-29,REBALANCE,BRITANNIA,HPCL,Index Reconstitution
2019-09-27,REBALANCE,NESTLEIND,IBULHSGFIN,Index Reconstitution
2020-03-27,REBALANCE,SHREECEM,YESBANK,RBI Moratorium & Exclusion
2020-09-25,REBALANCE,HDFCLIFE,BHARTIINFRATEL,Index Reconstitution
2020-09-25,REBALANCE,SBILIFE,ZEEL,Index Reconstitution
2021-03-31,REBALANCE,TATACONSUM,GAIL,Index Reconstitution
2022-03-31,REBALANCE,APOLLOHOSP,IOC,Index Reconstitution
2022-09-30,REBALANCE,ADANIENT,SHREECEM,Index Reconstitution
2024-03-28,REBALANCE,SHRIRAMFIN,UPL,Index Reconstitution
2024-09-30,REBALANCE,TRENT,DIVISLAB,Index Reconstitution
2024-09-30,REBALANCE,BEL,LTIM,Index Reconstitution
