candidate_id,sess,expiry,type,engine_gross,manual_gross,discrepancy,engine_net
Candidate A,2021-09-23,2021-09-30,BULL_CALL,-4277.5,-4277.5,0.0,-4333.63
Candidate A,2021-10-08,2021-10-14,BULL_CALL,6187.5,6187.5,0.0,6087.48
Candidate A,2021-10-28,2021-11-03,BEAR_PUT,-2497.5,-2497.5,0.0,-2554.95
Candidate A,2021-11-12,2021-11-18,BULL_CALL,-4225.0,-4225.0,0.0,-4278.28
Candidate A,2021-11-18,2021-11-25,BEAR_PUT,6870.0,6870.0,0.0,6796.97
Candidate A,2021-11-26,2021-12-02,BEAR_PUT,-3502.5,-3502.5,0.0,-3560.94
Candidate A,2021-12-06,2021-12-09,BEAR_PUT,-3205.0,-3205.0,0.0,-3258.98
Candidate A,2021-12-20,2021-12-23,BEAR_PUT,-2962.5,-2962.5,0.0,-3017.66
Candidate A,2021-12-31,2022-01-06,BULL_CALL,5695.0,5695.0,0.0,5598.87
Candidate A,2022-01-10,2022-01-13,BULL_CALL,6062.5,6062.5,0.0,5983.84
Candidate A,2022-01-17,2022-01-20,BULL_CALL,-4010.0,-4010.0,0.0,-4062.77
Candidate A,2022-01-21,2022-01-27,BEAR_PUT,6745.0,6745.0,0.0,6635.5
Candidate A,2022-01-27,2022-02-03,BEAR_PUT,-4002.5,-4002.5,0.0,-4067.24
Candidate A,2022-02-14,2022-02-17,BEAR_PUT,-3560.0,-3560.0,0.0,-3619.11
Candidate A,2022-03-29,2022-03-31,BULL_CALL,2070.0,2070.0,0.0,2007.65
Candidate A,2022-04-01,2022-04-07,BULL_CALL,-4462.5,-4462.5,0.0,-4517.8
Candidate A,2022-04-18,2022-04-21,BEAR_PUT,-3100.0,-3100.0,0.0,-3153.33
Candidate A,2022-04-25,2022-04-28,BEAR_PUT,-3500.0,-3500.0,0.0,-3555.63
Candidate A,2022-05-06,2022-05-12,BEAR_PUT,6380.0,6380.0,0.0,6255.05
Candidate A,2022-05-27,2022-06-02,BULL_CALL,5757.5,5757.5,0.0,5673.49
Candidate A,2022-06-10,2022-06-16,BEAR_PUT,6352.5,6352.5,0.0,6200.26
Candidate A,2022-06-27,2022-06-30,BULL_CALL,-3700.0,-3700.0,0.0,-3753.51
Candidate A,2022-07-18,2022-07-21,BULL_CALL,6635.0,6635.0,0.0,6552.64
Candidate A,2022-07-28,2022-08-04,BULL_CALL,6222.5,6222.5,0.0,6121.05
Candidate A,2022-08-05,2022-08-11,BULL_CALL,5810.0,5810.0,0.0,5729.57
Candidate A,2022-08-29,2022-09-01,BEAR_PUT,-3290.0,-3290.0,0.0,-3343.67
Candidate A,2022-09-08,2022-09-15,BULL_CALL,-420.0,-420.0,0.0,-483.61
Candidate A,2022-09-16,2022-09-22,BEAR_PUT,-3905.0,-3905.0,0.0,-3962.6
Candidate A,2022-09-23,2022-09-29,BEAR_PUT,5917.5,5917.5,0.0,5799.29
Candidate A,2022-10-18,2022-10-20,BULL_CALL,-260.0,-260.0,0.0,-316.74
Candidate A,2022-10-27,2022-11-03,BULL_CALL,5847.5,5847.5,0.0,5761.59
Candidate A,2022-11-07,2022-11-10,BULL_CALL,-3607.5,-3607.5,0.0,-3658.68
Candidate A,2022-11-11,2022-11-17,BULL_CALL,-4197.5,-4197.5,0.0,-4250.73
Candidate A,2022-11-24,2022-12-01,BULL_CALL,6020.0,6020.0,0.0,5935.31
Candidate A,2022-12-09,2022-12-15,BEAR_PUT,1245.0,1245.0,0.0,1185.58
Candidate A,2022-12-15,2022-12-22,BEAR_PUT,6952.5,6952.5,0.0,6872.42
Candidate A,2023-01-12,2023-01-19,BEAR_PUT,-3360.0,-3360.0,0.0,-3414.5
Candidate A,2023-01-27,2023-02-02,BEAR_PUT,-3690.0,-3690.0,0.0,-3748.28
Candidate A,2023-02-09,2023-02-16,BULL_CALL,2685.0,2685.0,0.0,2619.09
Candidate A,2023-03-13,2023-03-16,BEAR_PUT,5035.0,5035.0,0.0,4966.56
Candidate A,2023-03-24,2023-03-29,BEAR_PUT,-3175.0,-3175.0,0.0,-3228.12
Candidate A,2023-03-31,2023-04-06,BULL_CALL,6017.5,6017.5,0.0,5941.09
Candidate A,2023-04-27,2023-05-04,BULL_CALL,5935.0,5935.0,0.0,5845.7
Candidate A,2023-05-04,2023-05-11,BULL_CALL,-1252.5,-1252.5,0.0,-1308.53
Candidate A,2023-05-15,2023-05-18,BULL_CALL,-3270.0,-3270.0,0.0,-3320.12
Candidate A,2023-05-26,2023-06-01,BULL_CALL,-3660.0,-3660.0,0.0,-3711.08
Candidate A,2023-06-16,2023-06-22,BULL_CALL,-3547.5,-3547.5,0.0,-3598.19
Candidate A,2023-07-14,2023-07-20,BULL_CALL,6362.5,6362.5,0.0,6265.07
Candidate A,2023-08-17,2023-08-24,BEAR_PUT,-2900.0,-2900.0,0.0,-2951.61
Candidate A,2023-08-25,2023-08-31,BEAR_PUT,-3087.5,-3087.5,0.0,-3139.2
Candidate A,2023-08-31,2023-09-07,BEAR_PUT,-1982.5,-1982.5,0.0,-2033.13
Candidate A,2023-09-22,2023-09-28,BEAR_PUT,4002.5,4002.5,0.0,3940.35
Candidate A,2023-09-28,2023-10-05,BEAR_PUT,-2435.0,-2435.0,0.0,-2486.96
Candidate A,2023-10-17,2023-10-19,BULL_CALL,-3232.5,-3232.5,0.0,-3282.53
Candidate A,2023-10-23,2023-10-26,BEAR_PUT,6400.0,6400.0,0.0,6299.93
Candidate A,2023-11-13,2023-11-16,BULL_CALL,7150.0,7150.0,0.0,7067.88
Candidate A,2023-11-21,2023-11-23,BULL_CALL,-2680.0,-2680.0,0.0,-2729.98
Candidate A,2023-11-28,2023-11-30,BULL_CALL,6357.5,6357.5,0.0,6284.9
Candidate A,2023-12-08,2023-12-14,BULL_CALL,5685.0,5685.0,0.0,5607.98
Candidate A,2023-12-14,2023-12-21,BULL_CALL,-2005.0,-2005.0,0.0,-2066.38
Candidate A,2024-01-12,2024-01-18,BULL_CALL,-4437.5,-4437.5,0.0,-4492.56
Candidate A,2024-01-18,2024-01-25,BEAR_PUT,1677.5,1677.5,0.0,1613.26
Candidate A,2024-02-02,2024-02-08,BULL_CALL,-4502.5,-4502.5,0.0,-4560.16
Candidate A,2024-02-16,2024-02-22,BULL_CALL,4047.5,4047.5,0.0,3975.91
Candidate A,2024-02-22,2024-02-29,BULL_CALL,-4685.0,-4685.0,0.0,-4743.71
Candidate A,2024-03-01,2024-03-07,BULL_CALL,2612.5,2612.5,0.0,2542.79
Candidate A,2024-03-19,2024-03-21,BEAR_PUT,-3140.0,-3140.0,0.0,-3191.81
Candidate A,2024-03-28,2024-04-04,BULL_CALL,3725.0,3725.0,0.0,3654.0
Candidate A,2024-04-04,2024-04-10,BULL_CALL,5370.0,5370.0,0.0,5289.28
Candidate A,2024-04-10,2024-04-18,BULL_CALL,-4320.0,-4320.0,0.0,-4374.94
Candidate A,2024-04-29,2024-05-02,BULL_CALL,-2156.25,-2156.25,0.0,-2205.93
Candidate A,2024-05-02,2024-05-09,BULL_CALL,-2541.25,-2541.25,0.0,-2593.72
Candidate A,2024-05-09,2024-05-16,BEAR_PUT,-1616.25,-1616.25,0.0,-1667.97
Candidate A,2024-05-21,2024-05-23,BULL_CALL,3227.5,3227.5,0.0,3155.67
Candidate A,2024-06-04,2024-06-06,BEAR_PUT,-2098.75,-2098.75,0.0,-2159.38
Candidate A,2024-06-07,2024-06-13,BULL_CALL,140.0,140.0,0.0,81.45
Candidate A,2024-06-20,2024-06-27,BULL_CALL,2693.75,2693.75,0.0,2614.88
Candidate A,2024-07-01,2024-07-04,BULL_CALL,1773.75,1773.75,0.0,1716.34
Candidate A,2024-07-09,2024-07-11,BULL_CALL,-1697.5,-1697.5,0.0,-1746.42
Candidate A,2024-07-12,2024-07-18,BULL_CALL,2877.5,2877.5,0.0,2811.63
Candidate A,2024-07-26,2024-08-01,BULL_CALL,1792.5,1792.5,0.0,1733.89
Candidate A,2024-08-05,2024-08-08,BEAR_PUT,-1465.0,-1465.0,0.0,-1519.52
Candidate A,2024-08-20,2024-08-22,BULL_CALL,1165.0,1165.0,0.0,1110.94
Candidate A,2024-09-12,2024-09-19,BULL_CALL,-1347.5,-1347.5,0.0,-1398.77
Candidate A,2024-09-20,2024-09-26,BULL_CALL,3123.75,3123.75,0.0,3051.17
Candidate A,2024-10-03,2024-10-10,BEAR_PUT,3570.0,3570.0,0.0,3504.94
Candidate A,2024-10-17,2024-10-24,BEAR_PUT,3443.75,3443.75,0.0,3373.08
Candidate A,2024-11-04,2024-11-07,BEAR_PUT,-1961.25,-1961.25,0.0,-2016.07
Candidate A,2024-11-12,2024-11-14,BEAR_PUT,3272.5,3272.5,0.0,3202.84
Candidate A,2024-11-21,2024-11-28,BEAR_PUT,-1900.0,-1900.0,0.0,-1954.84
Candidate A,2024-12-02,2024-12-05,BULL_CALL,2721.25,2721.25,0.0,2647.08
Candidate A,2024-12-13,2024-12-19,BULL_CALL,-2115.0,-2115.0,0.0,-2167.29
Candidate A,2025-01-09,2025-01-16,BEAR_PUT,9678.75,9678.75,0.0,9578.85
Candidate A,2025-01-21,2025-01-23,BEAR_PUT,-3948.75,-3948.75,0.0,-4004.55
Candidate A,2025-01-27,2025-01-30,BEAR_PUT,-1927.5,-1927.5,0.0,-1980.21
Candidate A,2025-01-31,2025-02-06,BULL_CALL,-127.5,-127.5,0.0,-223.15
Candidate A,2025-02-20,2025-02-27,BEAR_PUT,9802.5,9802.5,0.0,9683.91
Candidate A,2025-03-18,2025-03-20,BULL_CALL,9483.75,9483.75,0.0,9376.94
Candidate A,2025-04-04,2025-04-09,BEAR_PUT,9423.75,9423.75,0.0,9281.53
Candidate A,2025-04-17,2025-04-24,BULL_CALL,8340.0,8340.0,0.0,8208.33
Candidate A,2025-05-02,2025-05-08,BULL_CALL,-6333.75,-6333.75,0.0,-6397.4
Candidate A,2025-05-09,2025-05-15,BEAR_PUT,-4972.5,-4972.5,0.0,-5051.45
Candidate A,2025-05-15,2025-05-22,BULL_CALL,-6656.25,-6656.25,0.0,-6725.05
Candidate A,2025-06-03,2025-06-05,BEAR_PUT,-5231.25,-5231.25,0.0,-5290.28
Candidate A,2025-06-06,2025-06-12,BULL_CALL,-6727.5,-6727.5,0.0,-6794.28
