candidate_id,regime_type,regime,trades,win_rate_pct,net_pnl_inr,profit_factor
Candidate A,TREND,BEAR,36,41.7,32855.17,1.45
Candidate A,TREND,BULL,99,46.5,12795.75,1.057
Candidate A,TREND,SIDEWAYS,64,51.6,85522.19,1.759
Candidate B,TREND,BEAR,36,38.9,34948.7,1.464
Candidate B,TREND,BULL,99,39.4,2146.06,1.009
Candidate B,TREND,SIDEWAYS,64,45.3,107040.8,1.933
Candidate C,TREND,BEAR,36,41.7,22718.55,1.385
Candidate C,TREND,BULL,99,47.5,11046.66,1.061
Candidate C,TREND,SIDEWAYS,64,54.7,61353.43,1.658
Candidate A,VIX,HIGH_VIX (>19),47,44.7,16872.97,1.144
Candidate A,VIX,LOW_VIX (<14),81,53.1,113823.43,1.792
Candidate A,VIX,MID_VIX (14-19),71,42.3,476.71,1.003
Candidate B,VIX,HIGH_VIX (>19),47,42.6,20625.61,1.177
Candidate B,VIX,LOW_VIX (<14),81,50.6,127756.28,1.908
Candidate B,VIX,MID_VIX (14-19),71,29.6,-4246.33,0.974
Candidate C,VIX,HIGH_VIX (>19),47,44.7,12282.38,1.129
Candidate C,VIX,LOW_VIX (<14),81,53.1,80494.64,1.682
Candidate C,VIX,MID_VIX (14-19),71,46.5,2341.62,1.019
