candidate_id,test_category,test_name,trades,net_pnl_inr,profit_factor
Candidate A,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.0,141,128058.78,1.496
Candidate A,COST_AND_SLIPPAGE,Cost_x2.0_Slip_x1.0,141,117881.48,1.45
Candidate A,COST_AND_SLIPPAGE,Cost_x3.0_Slip_x1.0,141,107704.26,1.405
Candidate A,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.25,141,127684.18,1.494
Candidate A,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.5,141,127309.56,1.493
Candidate A,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x2.0,141,126560.34,1.489
Candidate A,OUTLIER_REMOVAL,Best_1_Trades_Removed,140,116575.48,1.452
Candidate A,OUTLIER_REMOVAL,Best_3_Trades_Removed,138,96599.83,1.374
Candidate A,OUTLIER_REMOVAL,Best_5_Trades_Removed,136,77337.07,1.3
Candidate A,OUTLIER_REMOVAL,Best_10_Trades_Removed,131,32418.58,1.126
Candidate A,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_50k,5,-18172.04,36.34
Candidate A,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_75k,5,-18172.04,24.23
Candidate A,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_100k,5,-18172.04,18.17
Candidate A,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_50k,10,-36344.08,72.69
Candidate A,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_75k,10,-36344.08,48.46
Candidate A,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_100k,10,-36344.08,36.34
Candidate A,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_50k,15,-54516.11,109.03
Candidate A,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_75k,15,-54516.11,72.69
Candidate A,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_100k,15,-54516.11,54.52
Candidate A,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_50k,20,-72688.15,145.38
Candidate A,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_75k,20,-72688.15,96.92
Candidate A,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_100k,20,-72688.15,72.69
Candidate B,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.0,141,152308.03,1.548
Candidate B,COST_AND_SLIPPAGE,Cost_x2.0_Slip_x1.0,141,142944.39,1.507
Candidate B,COST_AND_SLIPPAGE,Cost_x3.0_Slip_x1.0,141,133580.63,1.466
Candidate B,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.25,141,151933.43,1.547
Candidate B,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.5,141,151558.81,1.545
Candidate B,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x2.0,141,150809.62,1.541
Candidate B,OUTLIER_REMOVAL,Best_1_Trades_Removed,140,137350.83,1.495
Candidate B,OUTLIER_REMOVAL,Best_3_Trades_Removed,138,109817.51,1.395
Candidate B,OUTLIER_REMOVAL,Best_5_Trades_Removed,136,84186.58,1.303
Candidate B,OUTLIER_REMOVAL,Best_10_Trades_Removed,131,27613.52,1.099
Candidate B,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_50k,5,-17575.34,35.15
Candidate B,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_75k,5,-17575.34,23.43
Candidate B,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_100k,5,-17575.34,17.58
Candidate B,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_50k,10,-35150.68,70.3
Candidate B,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_75k,10,-35150.68,46.87
Candidate B,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_100k,10,-35150.68,35.15
Candidate B,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_50k,15,-52726.02,105.45
Candidate B,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_75k,15,-52726.02,70.3
Candidate B,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_100k,15,-52726.02,52.73
Candidate B,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_50k,20,-70301.36,140.6
Candidate B,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_75k,20,-70301.36,93.74
Candidate B,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_100k,20,-70301.36,70.3
Candidate C,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.0,141,90567.2,1.436
Candidate C,COST_AND_SLIPPAGE,Cost_x2.0_Slip_x1.0,141,80160.85,1.379
Candidate C,COST_AND_SLIPPAGE,Cost_x3.0_Slip_x1.0,141,69754.55,1.324
Candidate C,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.25,141,90192.55,1.434
