sess,expiry,year,spot,settle,vix,type,buy_k,sell_k,buy_fill,sell_fill,debit_pts,lot,capital_req,gross_pts,gross,costs,net,is_win,cum_net,candidate_id,candidate_name,in_primary_5y
2019-03-28,2019-04-04,2019,11570.0,11598.0,17.05,BULL_CALL,11550.0,11750.0,120.0,36.7,83.3,75,6247.5,-35.3,-2647.5,62.77,-2710.27,0,-2710.27,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-05-24,2019-05-30,2019,11844.1,11945.9,19.41,BULL_CALL,11850.0,12050.0,95.7,26.8,68.9,75,5167.5,27.0,2025.0,67.35,1957.65,1,-752.6199999999999,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-05-30,2019-06-06,2019,11945.9,11843.75,16.41,BULL_CALL,11950.0,12150.0,83.95,20.85,63.1,75,4732.5,-63.1,-4732.5,53.01,-4785.51,0,-5538.13,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-06-14,2019-06-20,2019,11823.3,11831.75,13.66,BEAR_PUT,11800.0,11600.0,52.7,9.95,42.75,75,3206.25,-42.75,-3206.25,50.56,-3256.81,0,-8794.94,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-07-01,2019-07-04,2019,11865.6,11946.75,14.95,BULL_CALL,11850.0,12050.0,72.15,6.95,65.2,75,4890.0,31.55,2366.25,64.56,2301.69,1,-6493.25,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-07-08,2019-07-11,2019,11558.6,11582.9,13.07,BEAR_PUT,11550.0,11350.0,55.75,9.25,46.5,75,3487.5,-46.5,-3487.5,50.64,-3538.14,0,-10031.39,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-07-19,2019-07-25,2019,11419.25,11252.15,11.75,BEAR_PUT,11400.0,11200.0,58.25,14.0,44.25,75,3318.75,103.6,7770.0,71.61,7698.39,1,-2332.999999999999,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-07-29,2019-08-01,2019,11189.2,10980.0,12.13,BEAR_PUT,11200.0,11000.0,57.05,8.55,48.5,75,3637.5,151.5,11362.5,81.9,11280.6,1,8947.600000000002,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-08-01,2019-08-08,2019,10980.0,11032.45,13.59,BEAR_PUT,11000.0,10800.0,79.55,28.55,51.0,75,3825.0,-51.0,-3825.0,53.51,-3878.51,0,5069.090000000002,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-08-22,2019-08-29,2019,10741.35,10948.3,17.02,BEAR_PUT,10750.0,10550.0,105.8,37.75,68.05,75,5103.75,-68.05,-5103.75,55.57,-5159.32,0,-90.22999999999774,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-09-13,2019-09-19,2019,11075.9,10704.8,14.9,BULL_CALL,11100.0,11300.0,62.55,6.1,56.45,75,4233.75,-56.45,-4233.75,50.67,-4284.42,0,-4374.649999999998,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-09-19,2019-09-26,2019,10704.8,11571.2,15.35,BEAR_PUT,10700.0,10500.0,84.25,24.65,59.6,75,4470.0,-59.6,-4470.0,53.37,-4523.37,0,-8898.019999999997,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-10-07,2019-10-10,2019,11126.4,11234.55,17.58,BEAR_PUT,11150.0,10950.0,68.65,13.7,54.95,75,4121.25,-54.95,-4121.25,51.65,-4172.9,0,-13070.919999999996,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-10-17,2019-10-24,2019,11586.35,11582.6,16.36,BULL_CALL,11600.0,11800.0,79.25,17.55,61.7,75,4627.5,-61.7,-4627.5,52.49,-4679.99,0,-17750.909999999996,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-10-29,2019-10-31,2019,11786.85,11877.45,15.32,BULL_CALL,11800.0,12000.0,50.6,6.05,44.55,75,3341.25,32.9,2467.5,60.8,2406.7,1,-15344.209999999995,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-11-25,2019-11-28,2019,12073.75,12151.15,14.87,BULL_CALL,12050.0,12250.0,84.7,9.95,74.75,75,5606.25,26.4,1980.0,66.02,1913.98,1,-13430.229999999996,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-12-10,2019-12-12,2019,11856.8,11971.8,14.6,BEAR_PUT,11850.0,11650.0,34.9,2.5,32.4,75,2430.0,-32.4,-2430.0,49.05,-2479.05,0,-15909.279999999995,Candidate A,10D Breakout ATM Debit Spread (W200),0
2019-12-13,2019-12-19,2019,12086.7,12259.7,13.35,BULL_CALL,12100.0,12300.0,81.5,15.65,65.85,75,4938.75,93.85,7038.75,74.48,6964.27,1,-8945.009999999995,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-01-02,2020-01-09,2020,12282.2,12215.9,11.6,BULL_CALL,12300.0,12500.0,59.85,6.1,53.75,75,4031.25,-53.75,-4031.25,50.54,-4081.79,0,-13026.799999999996,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-01-13,2020-01-16,2020,12329.55,12355.5,14.08,BULL_CALL,12350.0,12550.0,47.15,2.85,44.3,75,3322.5,-38.8,-2910.0,50.42,-2960.42,0,-15987.219999999996,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-01-28,2020-01-30,2020,12055.8,12035.8,17.18,BEAR_PUT,12050.0,11850.0,45.0,5.9,39.1,75,2932.5,-24.9,-1867.5,51.8,-1919.3,0,-17906.519999999997,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-01-30,2020-02-06,2020,12035.8,12137.95,16.5,BEAR_PUT,12050.0,11850.0,153.4,73.3,80.1,75,6007.5,-80.1,-6007.5,61.03,-6068.53,0,-23975.049999999996,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-02-24,2020-02-27,2020,11829.4,11633.3,13.7,BEAR_PUT,11850.0,11650.0,98.7,31.6,67.1,75,5032.5,132.9,9967.5,85.34,9882.16,1,-14092.889999999996,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-03-06,2020-03-12,2020,10989.45,9590.15,23.25,BEAR_PUT,11000.0,10800.0,170.4,96.2,74.2,75,5565.0,125.8,9435.0,312.24,9122.76,1,-4970.129999999996,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-08-11,2020-08-13,2020,11322.5,11300.45,22.51,BULL_CALL,11300.0,11500.0,84.55,11.25,73.3,75,5497.5,-72.85,-5463.75,52.23,-5515.98,0,-10486.109999999995,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-08-18,2020-08-20,2020,11385.35,11312.2,21.31,BULL_CALL,11400.0,11600.0,57.3,4.65,52.65,75,3948.75,-52.65,-3948.75,50.29,-3999.04,0,-14485.149999999994,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-08-24,2020-08-27,2020,11466.45,11559.25,19.94,BULL_CALL,11450.0,11650.0,85.4,11.25,74.15,75,5561.25,35.1,2632.5,67.29,2565.21,1,-11919.939999999995,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-09-04,2020-09-10,2020,11333.85,11449.25,20.5,BEAR_PUT,11350.0,11150.0,118.55,52.4,66.15,75,4961.25,-66.15,-4961.25,57.5,-5018.75,0,-16938.689999999995,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-09-21,2020-09-24,2020,11250.55,10805.55,20.05,BEAR_PUT,11250.0,11050.0,95.7,35.7,60.0,75,4500.0,140.0,10500.0,127.13,10372.87,1,-6565.819999999994,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-10-06,2020-10-08,2020,11662.4,11834.6,19.71,BULL_CALL,11650.0,11850.0,65.5,5.75,59.75,75,4481.25,124.85,9363.75,76.27,9287.48,1,2721.6600000000053,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-10-29,2020-11-05,2020,11670.8,12120.3,23.28,BEAR_PUT,11650.0,11450.0,165.75,91.4,74.35,75,5576.25,-74.35,-5576.25,63.26,-5639.51,0,-2917.849999999995,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-11-05,2020-11-12,2020,12120.3,12690.8,23.2,BULL_CALL,12100.0,12300.0,144.6,55.25,89.35,75,6701.25,110.65,8298.75,157.89,8140.86,1,5223.010000000005,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-11-17,2020-11-19,2020,12874.2,12771.7,19.7,BULL_CALL,12850.0,13050.0,78.35,11.45,66.9,75,5017.5,-66.9,-5017.5,51.89,-5069.39,0,153.62000000000444,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-11-24,2020-11-26,2020,13055.15,12987.0,20.8,BULL_CALL,13050.0,13250.0,80.8,12.6,68.2,75,5115.0,-68.2,-5115.0,52.11,-5167.11,0,-5013.489999999995,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-12-01,2020-12-03,2020,13109.05,13133.9,19.82,BULL_CALL,13100.0,13300.0,95.85,18.85,77.0,75,5775.0,-43.1,-3232.5,58.07,-3290.57,0,-8304.059999999996,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-12-14,2020-12-17,2020,13558.15,13740.7,18.79,BULL_CALL,13550.0,13750.0,96.05,23.35,72.7,75,5452.5,118.0,8850.0,80.14,8769.86,1,465.80000000000473,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-12-21,2020-12-24,2020,13328.4,13749.25,18.62,BEAR_PUT,13350.0,13150.0,144.15,74.8,69.35,75,5201.25,-69.35,-5201.25,60.74,-5261.99,0,-4796.189999999995,Candidate A,10D Breakout ATM Debit Spread (W200),0
2020-12-28,2020-12-31,2020,13873.2,13981.75,19.97,BULL_CALL,13850.0,14050.0,112.25,26.1,86.15,75,6461.25,45.6,3420.0,73.0,3347.0,1,-1449.189999999995,Candidate A,10D Breakout ATM Debit Spread (W200),0
2021-01-01,2021-01-07,2021,14018.5,14137.35,21.1,BULL_CALL,14000.0,14200.0,123.65,36.15,87.5,75,6562.5,49.85,3738.75,75.22,3663.53,1,2214.340000000005,Candidate A,10D Breakout ATM Debit Spread (W200),0
2021-01-08,2021-01-14,2021,14347.25,14595.6,20.62,BULL_CALL,14350.0,14550.0,104.45,26.75,77.7,75,5827.5,122.3,9172.5,90.44,9082.06,1,11296.400000000005,Candidate A,10D Breakout ATM Debit Spread (W200),0
2021-01-25,2021-01-28,2021,14238.9,13817.55,22.42,BEAR_PUT,14250.0,14050.0,97.5,36.25,61.25,75,4593.75,138.75,10406.25,125.07,10281.18,1,21577.580000000005,Candidate A,10D Breakout ATM Debit Spread (W200),0
2021-02-02,2021-02-04,2021,14647.85,14895.65,23.32,BULL_CALL,14650.0,14850.0,103.6,33.65,69.95,75,5246.25,130.05,9753.75,91.04,9662.71,1,31240.290000000005,Candidate A,10D Breakout ATM Debit Spread (W200),0
2021-02-11,2021-02-18,2021,15173.3,15118.95,23.95,BULL_CALL,15150.0,15350.0,160.4,68.35,92.05,75,6903.75,-92.05,-6903.75,60.91,-6964.66,0,24275.630000000005,Candidate A,10D Breakout ATM Debit Spread (W200),0
2021-02-22,2021-02-25,2021,14675.7,15097.35,22.25,BEAR_PUT,14700.0,14500.0,131.85,62.0,69.85,75,5238.75,-69.85,-5238.75,59.0,-5297.75,0,18977.880000000005,Candidate A,10D Breakout ATM Debit Spread (W200),0
2021-02-26,2021-03-04,2021,14529.15,15080.75,22.89,BEAR_PUT,14550.0,14350.0,203.25,123.35,79.9,75,5992.5,-79.9,-5992.5,67.92,-6060.42,0,12917.460000000005,Candidate A,10D Breakout ATM Debit Spread (W200),0
