candidate_id,candidate_name,period_label,start_date,end_date,trades,win_rate_pct,avg_win_inr,avg_loss_inr,payoff_ratio,profit_factor,net_pnl_inr
Candidate A,10D Breakout ATM Debit Spread (W200),Train 2021-2022,2021-09-19,2022-12-31,36,47.2,5599.8,-3355.26,1.67,1.493,31446.7
Candidate A,10D Breakout ATM Debit Spread (W200),Test 2023,2023-01-01,2023-12-31,24,41.7,5483.86,-2929.9,1.87,1.337,13819.94
Candidate A,10D Breakout ATM Debit Spread (W200),Test 2024,2024-01-01,2024-12-31,32,53.1,2710.54,-2719.54,1.0,1.13,5286.06
Candidate A,10D Breakout ATM Debit Spread (W200),Test 2025,2025-01-01,2025-12-31,31,35.5,8260.32,-5112.12,1.62,0.889,-11378.91
Candidate A,10D Breakout ATM Debit Spread (W200),Test 2026,2026-01-01,2026-09-18,18,83.3,6608.27,-3413.0,1.94,9.681,88884.99
Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",Train 2021-2022,2021-09-19,2022-12-31,36,44.4,7522.15,-3454.37,2.18,1.742,51267.05
Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",Test 2023,2023-01-01,2023-12-31,24,41.7,6089.06,-2852.23,2.13,1.525,20959.38
Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",Test 2024,2024-01-01,2024-12-31,32,43.8,3065.71,-2430.57,1.26,0.981,-830.21
Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",Test 2025,2025-01-01,2025-12-31,31,32.3,11173.04,-5168.16,2.16,1.029,3199.07
Candidate B,"10D Breakout Convex OTM Debit Spread (W250, Off50)",Test 2026,2026-01-01,2026-09-18,18,66.7,7841.92,-2731.71,2.87,5.741,77712.74
Candidate C,10D Breakout Squeeze Debit Spread (W150),Train 2021-2022,2021-09-19,2022-12-31,36,52.8,3673.46,-2978.79,1.23,1.378,19156.29
Candidate C,10D Breakout Squeeze Debit Spread (W150),Test 2023,2023-01-01,2023-12-31,24,41.7,4236.33,-2388.06,1.77,1.267,8930.42
Candidate C,10D Breakout Squeeze Debit Spread (W150),Test 2024,2024-01-01,2024-12-31,32,53.1,2370.93,-2178.9,1.09,1.233,7622.41
Candidate C,10D Breakout Squeeze Debit Spread (W150),Test 2025,2025-01-01,2025-12-31,31,38.7,5655.09,-4345.8,1.3,0.822,-14709.18
Candidate C,10D Breakout Squeeze Debit Spread (W150),Test 2026,2026-01-01,2026-09-18,18,83.3,5189.33,-2757.54,1.88,9.409,69567.26
