param_type,param_value,trades,wins,losses,win_rate_pct,gross_pnl,costs,net_pnl,avg_trade,worst_trade,profit_factor,max_dd_inr
EM_MULTIPLIER,1.62,139,124,15,89.2,31090.4,16670.11,14420.29,103.74,-9567.18,1.214,37627.2
EM_MULTIPLIER,1.71,139,126,13,90.6,39151.35,16603.43,22547.92,162.22,-9724.8,1.499,26549.24
EM_MULTIPLIER,1.8,139,127,12,91.4,38320.1,16558.7,21761.4,156.56,-9724.8,1.592,25787.29
EM_MULTIPLIER,1.89,139,129,10,92.8,39236.05,16508.66,22727.39,163.51,-9817.96,1.889,18003.91
EM_MULTIPLIER,1.98,139,128,11,92.1,35324.55,16472.81,18851.74,135.62,-9886.73,1.893,17004.55
WING_WIDTH_PTS,150,139,125,14,89.9,28153.65,16572.93,11580.72,83.31,-7284.44,1.338,24469.89
WING_WIDTH_PTS,200,139,127,12,91.4,38320.1,16558.7,21761.4,156.56,-9724.8,1.592,25787.29
WING_WIDTH_PTS,250,139,129,10,92.8,48367.85,16546.28,31821.57,228.93,-12145.15,1.82,26775.74
MAX_VIX_FILTER,18,117,108,9,92.3,39170.15,13868.21,25301.94,216.26,-7916.46,2.208,15333.84
MAX_VIX_FILTER,20,139,127,12,91.4,38320.1,16558.7,21761.4,156.56,-9724.8,1.592,25787.29
MAX_VIX_FILTER,22,148,133,15,89.9,29939.6,17621.91,12317.69,83.23,-9724.8,1.246,36376.9
RSI_LOWER_BOUND,35,148,136,12,91.9,43065.2,17621.29,25443.91,171.92,-9724.8,1.692,25135.59
RSI_LOWER_BOUND,38,139,127,12,91.4,38320.1,16558.7,21761.4,156.56,-9724.8,1.592,25787.29
RSI_LOWER_BOUND,40,135,123,12,91.1,33370.35,16060.09,17310.26,128.22,-9724.8,1.471,25787.29
RSI_UPPER_BOUND,68,133,121,12,91.0,36294.35,15853.81,20440.54,153.69,-9724.8,1.556,26113.4
RSI_UPPER_BOUND,70,139,127,12,91.4,38320.1,16558.7,21761.4,156.56,-9724.8,1.592,25787.29
RSI_UPPER_BOUND,72,144,131,13,91.0,30657.6,17151.93,13505.67,93.79,-9724.8,1.292,32922.01
