trade_id,date,expiry,engine_a_gross,engine_b_gross,diff_gross,engine_a_costs,engine_b_costs,diff_costs,engine_a_net,engine_b_net,diff_net
31,2021-09-30,2021-10-07,408.0,408.0,0.0,115.98,115.98,0.0,292.02,292.02,0.0
32,2021-10-07,2021-10-14,234.0,234.0,0.0,115.53,115.53,0.0,118.47,118.47,0.0
33,2021-10-21,2021-10-28,427.5,427.5,0.0,116.1,116.1,0.0,311.4,311.4,0.0
34,2021-11-03,2021-11-11,348.5,348.5,0.0,115.74,115.74,0.0,232.76,232.76,0.0
35,2021-11-11,2021-11-18,296.5,296.5,0.0,115.5,115.5,0.0,181.0,181.0,0.0
36,2021-12-09,2021-12-16,437.5,437.5,0.0,116.05,116.05,0.0,321.45,321.45,0.0
37,2021-12-16,2021-12-23,448.5,448.5,0.0,115.88,115.88,0.0,332.62,332.62,0.0
38,2021-12-23,2021-12-30,635.5,635.5,0.0,116.79,116.79,0.0,518.71,518.71,0.0
39,2021-12-30,2022-01-06,484.5,484.5,0.0,116.2,116.2,0.0,368.3,368.3,0.0
40,2022-01-06,2022-01-13,608.5,608.5,0.0,116.57,116.57,0.0,491.93,491.93,0.0
41,2022-01-13,2022-01-20,331.5,331.5,0.0,115.62,115.62,0.0,215.88,215.88,0.0
42,2022-02-03,2022-02-10,765.0,765.0,0.0,116.92,116.92,0.0,648.08,648.08,0.0
43,2022-02-10,2022-02-17,309.0,309.0,0.0,115.62,115.62,0.0,193.38,193.38,0.0
44,2022-04-21,2022-04-28,474.5,474.5,0.0,116.18,116.18,0.0,358.32,358.32,0.0
45,2022-06-09,2022-06-16,-9574.0,-9574.0,0.0,150.8,150.8,0.0,-9724.8,-9724.8,0.0
46,2022-07-14,2022-07-21,-2264.5,-2264.5,0.0,117.45,117.45,0.0,-2381.95,-2381.95,0.0
47,2022-07-21,2022-07-28,478.5,478.5,0.0,115.88,115.88,0.0,362.62,362.62,0.0
48,2022-07-28,2022-08-04,421.0,421.0,0.0,115.79,115.79,0.0,305.21,305.21,0.0
49,2022-09-01,2022-09-08,793.5,793.5,0.0,116.7,116.7,0.0,676.8,676.8,0.0
50,2022-09-08,2022-09-15,267.0,267.0,0.0,115.4,115.4,0.0,151.6,151.6,0.0
51,2022-09-15,2022-09-22,492.5,492.5,0.0,116.05,116.05,0.0,376.45,376.45,0.0
52,2022-09-22,2022-09-29,-3587.0,-3587.0,0.0,118.44,118.44,0.0,-3705.44,-3705.44,0.0
53,2022-10-06,2022-10-13,336.0,336.0,0.0,115.56,115.56,0.0,220.44,220.44,0.0
54,2022-10-27,2022-11-03,389.5,389.5,0.0,115.57,115.57,0.0,273.93,273.93,0.0
55,2022-11-10,2022-11-17,252.5,252.5,0.0,115.36,115.36,0.0,137.14,137.14,0.0
56,2022-11-17,2022-11-24,239.5,239.5,0.0,115.38,115.38,0.0,124.12,124.12,0.0
57,2022-11-24,2022-12-01,211.5,211.5,0.0,115.39,115.39,0.0,96.11,96.11,0.0
58,2022-12-08,2022-12-15,190.0,190.0,0.0,115.23,115.23,0.0,74.77,74.77,0.0
59,2022-12-15,2022-12-22,456.0,456.0,0.0,115.88,115.88,0.0,340.12,340.12,0.0
60,2022-12-22,2022-12-29,400.0,400.0,0.0,116.05,116.05,0.0,283.95,283.95,0.0
61,2022-12-29,2023-01-05,226.5,226.5,0.0,115.42,115.42,0.0,111.08,111.08,0.0
62,2023-01-05,2023-01-12,284.5,284.5,0.0,115.32,115.32,0.0,169.18,169.18,0.0
63,2023-01-12,2023-01-19,514.0,514.0,0.0,115.82,115.82,0.0,398.18,398.18,0.0
64,2023-01-25,2023-02-02,1198.5,1198.5,0.0,117.5,117.5,0.0,1081.0,1081.0,0.0
65,2023-02-09,2023-02-16,291.5,291.5,0.0,115.46,115.46,0.0,176.04,176.04,0.0
66,2023-02-16,2023-02-23,-1639.0,-1639.0,0.0,116.68,116.68,0.0,-1755.68,-1755.68,0.0
67,2023-03-09,2023-03-16,-7796.0,-7796.0,0.0,120.46,120.46,0.0,-7916.46,-7916.46,0.0
68,2023-04-20,2023-04-27,167.5,167.5,0.0,115.1,115.1,0.0,52.4,52.4,0.0
69,2023-05-04,2023-05-11,218.0,218.0,0.0,115.19,115.19,0.0,102.81,102.81,0.0
70,2023-05-11,2023-05-18,214.5,214.5,0.0,115.32,115.31,0.01,99.18,99.19,-0.01
71,2023-05-18,2023-05-25,202.5,202.5,0.0,115.2,115.2,0.0,87.3,87.3,0.0
72,2023-05-25,2023-06-01,135.0,135.0,0.0,115.06,115.06,0.0,19.94,19.94,0.0
73,2023-06-01,2023-06-08,322.0,322.0,0.0,115.33,115.33,0.0,206.67,206.67,0.0
74,2023-06-15,2023-06-22,195.0,195.0,0.0,115.27,115.27,0.0,79.73,79.73,0.0
75,2023-07-13,2023-07-20,-6190.5,-6190.5,0.0,119.23,119.23,0.0,-6309.73,-6309.73,0.0
76,2023-07-27,2023-08-03,657.5,657.5,0.0,116.14,116.14,0.0,541.36,541.36,0.0
77,2023-08-03,2023-08-10,371.5,371.5,0.0,115.6,115.6,0.0,255.9,255.9,0.0
78,2023-08-17,2023-08-24,205.0,205.0,0.0,115.14,115.14,0.0,89.86,89.86,0.0
79,2023-08-24,2023-08-31,300.0,300.0,0.0,115.31,115.31,0.0,184.69,184.69,0.0
80,2023-08-31,2023-09-07,349.5,349.5,0.0,115.36,115.36,0.0,234.14,234.14,0.0
81,2023-09-07,2023-09-14,297.0,297.0,0.0,115.41,115.41,0.0,181.59,181.59,0.0
