trade_id,sess,expiry,spot,settle,vix,rsi,em,short_call,long_call,short_put,long_put,fill_sc,fill_lc,fill_sp,fill_lp,credit_pts,max_risk,lot,gross,brokerage,stt,exchange_fees,gst,stamp_duty,sebi,slippage,total_costs,net,breach_side
31,2021-09-30,2021-10-07,17618.15,17790.35,18.84,68.66570975850259,388.49,18300.0,18500.0,16900.0,16700.0,7.13,4.51,12.86,7.32,8.16,9592.0,50,408.0,80.0,0.62,0.8,14.54,0.02,0.0,20.0,115.98,292.02,none
32,2021-10-07,2021-10-14,17790.35,18338.55,17.33,58.78552569165237,360.85,18450.0,18650.0,17150.0,16950.0,3.99,2.56,9.92,6.67,4.68,9766.0,50,234.0,80.0,0.43,0.58,14.5,0.01,0.0,20.0,115.53,118.47,none
33,2021-10-21,2021-10-28,18178.1,17857.25,18.31,67.01250186454476,389.56,18900.0,19100.0,17500.0,17300.0,7.43,5.22,13.96,7.62,8.55,9572.5,50,427.5,80.0,0.67,0.86,14.55,0.02,0.0,20.0,116.1,311.4,none
34,2021-11-03,2021-11-11,17829.2,17873.6,17.06,49.8221810004215,356.0,18450.0,18650.0,17200.0,17000.0,6.58,3.91,10.32,6.02,6.97,9651.5,50,348.5,80.0,0.53,0.67,14.52,0.01,0.0,20.0,115.74,232.76,none
35,2021-11-11,2021-11-18,17873.6,17764.8,16.31,53.4507691152153,341.2,18500.0,18700.0,17250.0,17050.0,5.68,3.41,8.32,4.66,5.93,9703.5,50,296.5,80.0,0.44,0.55,14.5,0.01,0.0,20.0,115.5,181.0,none
36,2021-12-09,2021-12-16,17516.85,17248.4,17.27,49.32450582807695,354.07,18150.0,18350.0,16900.0,16700.0,4.49,2.61,16.4,9.53,8.75,9562.5,50,437.5,80.0,0.65,0.83,14.55,0.02,0.0,20.0,116.05,321.45,none
37,2021-12-16,2021-12-23,17248.4,17072.6,17.22,43.54994501418106,347.63,17850.0,18050.0,16600.0,16400.0,7.63,4.21,11.47,5.92,8.97,9551.5,50,448.5,80.0,0.6,0.73,14.53,0.02,0.0,20.0,115.88,332.62,none
38,2021-12-23,2021-12-30,17072.6,17203.95,16.58,42.07689254272108,331.3,17650.0,17850.0,16500.0,16300.0,7.73,3.91,22.58,13.69,12.71,9364.5,50,635.5,80.0,0.95,1.2,14.62,0.03,0.0,20.0,116.79,518.71,none
39,2021-12-30,2022-01-06,17203.95,17745.9,16.24,49.26786399004135,327.0,17800.0,18000.0,16600.0,16400.0,3.84,2.66,18.99,10.48,9.69,9515.5,50,484.5,80.0,0.71,0.9,14.56,0.02,0.0,20.0,116.2,368.3,none
40,2022-01-06,2022-01-13,17745.9,18257.8,17.23,65.47398052529954,357.87,18400.0,18600.0,17100.0,16900.0,8.22,3.81,19.49,11.73,12.17,9391.5,50,608.5,80.0,0.87,1.08,14.6,0.02,0.0,20.0,116.57,491.93,none
41,2022-01-13,2022-01-20,18257.8,17757.0,17.18,68.52470253210022,367.12,18900.0,19100.0,17600.0,17400.0,4.24,2.16,11.27,6.72,6.63,9668.5,50,331.5,80.0,0.48,0.61,14.51,0.01,0.0,20.0,115.62,215.88,none
42,2022-02-03,2022-02-10,17560.2,17605.85,18.65,54.74479141466749,383.31,18250.0,18450.0,16850.0,16650.0,6.83,3.46,25.77,13.84,15.3,9235.0,50,765.0,80.0,1.02,1.25,14.63,0.03,0.0,20.0,116.92,648.08,none
43,2022-02-10,2022-02-17,17605.85,17304.6,18.56,48.523684264741135,382.45,18300.0,18500.0,16900.0,16700.0,4.24,2.21,11.17,7.02,6.18,9691.0,50,309.0,80.0,0.48,0.62,14.51,0.01,0.0,20.0,115.62,193.38,none
44,2022-04-21,2022-04-28,17392.6,17245.05,18.67,45.76939913497943,380.06,18100.0,18300.0,16700.0,16500.0,5.93,3.06,16.7,10.08,9.49,9525.5,50,474.5,80.0,0.71,0.89,14.56,0.02,0.0,20.0,116.18,358.32,none
45,2022-06-09,2022-06-16,16478.1,15360.6,19.84,46.559919150548076,382.64,17150.0,17350.0,15800.0,15600.0,4.89,2.46,12.96,6.87,8.52,9574.0,50,-9574.0,80.0,15.52,17.65,17.58,0.01,0.04,20.0,150.8,-9724.8,full_wing_put
46,2022-07-14,2022-07-21,15938.65,16605.25,18.52,49.64541733437957,345.49,16550.0,16750.0,15300.0,15100.0,4.93,2.11,13.81,6.67,9.96,9502.0,50,-2264.5,80.0,0.59,2.07,14.77,0.01,0.0,20.0,117.45,-2381.95,call
47,2022-07-21,2022-07-28,16605.25,16929.6,16.82,65.11918788306508,326.9,17200.0,17400.0,16000.0,15800.0,3.99,1.65,15.4,8.17,9.57,9521.5,50,478.5,80.0,0.61,0.73,14.53,0.01,0.0,20.0,115.88,362.62,none
48,2022-07-28,2022-08-04,16929.6,17382.0,18.13,63.322141877516124,359.24,17600.0,17800.0,16300.0,16100.0,4.29,1.86,13.71,7.72,8.42,9579.0,50,421.0,80.0,0.56,0.69,14.52,0.01,0.0,20.0,115.79,305.21,none
49,2022-09-01,2022-09-08,17542.8,17798.75,18.7,62.70313750089406,383.95,18250.0,18450.0,16850.0,16650.0,9.37,3.51,20.99,10.98,15.87,9206.5,50,793.5,80.0,0.95,1.12,14.6,0.02,0.0,20.0,116.7,676.8,none
50,2022-09-08,2022-09-15,17798.75,17877.4,19.37,57.29655398981566,403.51,18550.0,18750.0,17050.0,16850.0,2.99,1.55,9.72,5.82,5.34,9733.0,50,267.0,80.0,0.4,0.5,14.49,0.01,0.0,20.0,115.4,151.6,none
51,2022-09-15,2022-09-22,17877.4,17629.8,18.28,65.02946644637666,382.49,18550.0,18750.0,17200.0,17000.0,6.18,3.21,15.15,8.27,9.85,9507.5,50,492.5,80.0,0.67,0.82,14.55,0.02,0.0,20.0,116.05,376.45,none
52,2022-09-22,2022-09-29,17629.8,16818.1,19.33,53.11089167591726,398.86,18350.0,18550.0,16900.0,16700.0,6.73,3.31,14.31,7.57,10.16,9492.0,50,-3587.0,80.0,0.66,2.85,14.91,0.02,0.01,20.0,118.44,-3705.44,put
53,2022-10-06,2022-10-13,17331.8,17014.35,19.57,48.12131143971018,396.98,18050.0,18250.0,16600.0,16400.0,3.14,2.01,11.76,6.17,6.72,9664.0,50,336.0,80.0,0.47,0.58,14.5,0.01,0.0,20.0,115.56,220.44,none
54,2022-10-27,2022-11-03,17736.95,18052.7,16.88,58.199838749706174,350.42,18350.0,18550.0,17100.0,16900.0,4.59,2.51,10.77,5.06,7.79,9610.5,50,389.5,80.0,0.48,0.57,14.5,0.01,0.0,20.0,115.57,273.93,none
55,2022-11-10,2022-11-17,18028.2,18343.9,15.92,66.37368860070464,335.92,18650.0,18850.0,17400.0,17200.0,4.59,2.51,7.53,4.56,5.05,9747.5,50,252.5,80.0,0.38,0.48,14.49,0.01,0.0,20.0,115.36,137.14,none
56,2022-11-17,2022-11-24,18343.9,18484.1,15.1,68.89697803236487,324.2,18950.0,19150.0,17750.0,17550.0,3.49,2.41,8.77,5.06,4.79,9760.5,50,239.5,80.0,0.38,0.49,14.49,0.01,0.0,20.0,115.38,124.12,none
57,2022-11-24,2022-12-01,18484.1,18812.5,14.04,60.47964218932977,303.74,19050.0,19250.0,17950.0,17750.0,3.34,2.46,8.82,5.47,4.23,9788.5,50,211.5,80.0,0.38,0.5,14.49,0.01,0.0,20.0,115.39,96.11,none
58,2022-12-08,2022-12-15,18609.35,18414.9,14.08,59.89284972284364,306.67,19150.0,19350.0,18050.0,17850.0,4.69,2.91,5.68,3.66,3.8,9810.0,50,190.0,80.0,0.32,0.42,14.48,0.01,0.0,20.0,115.23,74.77,none
59,2022-12-15,2022-12-22,18414.9,18127.35,12.89,61.97743306004197,277.82,18900.0,19100.0,17900.0,17700.0,7.88,4.16,11.27,5.87,9.12,9544.0,50,456.0,80.0,0.6,0.73,14.53,0.02,0.0,20.0,115.88,340.12,none
60,2022-12-22,2022-12-29,18127.35,18191.0,15.56,42.70720680440695,330.13,18700.0,18900.0,17550.0,17350.0,7.78,5.17,12.86,7.47,8.0,9600.0,50,400.0,80.0,0.64,0.83,14.55,0.02,0.0,20.0,116.05,283.95,none
61,2022-12-29,2023-01-05,18191.0,17992.15,15.4,44.52254095356945,327.88,18800.0,19000.0,17600.0,17400.0,3.14,2.01,9.52,6.12,4.53,9773.5,50,226.5,80.0,0.4,0.52,14.49,0.01,0.0,20.0,115.42,111.08,none
62,2023-01-05,2023-01-12,17992.15,17858.2,15.2,42.89942226380056,320.08,18550.0,18750.0,17400.0,17200.0,5.38,2.91,6.53,3.31,5.69,9715.5,50,284.5,80.0,0.37,0.45,14.48,0.01,0.0,20.0,115.32,169.18,none
63,2023-01-12,2023-01-19,17858.2,18107.85,15.44,41.31432250047083,322.72,18450.0,18650.0,17300.0,17100.0,7.53,3.76,11.42,4.91,10.28,9486.0,50,514.0,80.0,0.59,0.69,14.52,0.01,0.0,20.0,115.82,398.18,none
64,2023-01-25,2023-02-02,17891.95,17610.4,13.66,50.68834877736857,286.05,18400.0,18600.0,17400.0,17200.0,19.94,7.72,21.88,10.13,23.97,8801.5,50,1198.5,80.0,1.31,1.49,14.67,0.03,0.0,20.0,117.5,1081.0,none
65,2023-02-09,2023-02-16,17893.45,18035.85,13.6,48.63507266475449,284.82,18400.0,18600.0,17400.0,17200.0,4.54,2.36,8.92,5.27,5.83,9708.5,50,291.5,80.0,0.42,0.53,14.5,0.01,0.0,20.0,115.46,176.04,none
66,2023-02-16,2023-02-23,18035.85,17511.25,12.86,54.42207832053151,271.47,18500.0,18700.0,17550.0,17350.0,5.18,2.86,9.22,5.57,5.97,9701.5,50,-1639.0,80.0,0.45,1.54,14.68,0.01,0.0,20.0,116.68,-1755.68,put
67,2023-03-09,2023-03-16,17589.6,16985.6,12.45,51.8114094730088,256.31,18050.0,18250.0,17150.0,16950.0,5.88,2.66,10.02,4.76,8.48,9576.0,50,-7796.0,80.0,0.5,4.69,15.25,0.01,0.01,20.0,120.46,-7916.46,put
68,2023-04-20,2023-04-27,17624.45,17915.05,12.15,55.82355874621875,250.63,18100.0,18300.0,17150.0,16950.0,2.39,1.81,6.33,3.56,3.35,9832.5,50,167.5,80.0,0.27,0.35,14.46,0.01,0.0,20.0,115.1,52.4,none
69,2023-05-04,2023-05-11,18255.8,18297.0,11.84,69.51626056469824,252.98,18700.0,18900.0,17800.0,17600.0,3.19,1.75,6.93,4.01,4.36,9782.0,50,218.0,80.0,0.32,0.4,14.47,0.01,0.0,20.0,115.19,102.81,none
70,2023-05-11,2023-05-18,18297.0,18129.95,13.08,69.5497234887319,280.11,18800.0,19000.0,17800.0,17600.0,3.14,2.01,8.27,5.11,4.29,9785.5,50,214.5,80.0,0.36,0.46,14.48,0.01,0.0,20.0,115.32,99.18,none
71,2023-05-18,2023-05-25,18129.95,18321.15,13.11,58.65761894343469,278.19,18650.0,18850.0,17650.0,17450.0,4.09,2.86,6.03,3.21,4.05,9797.5,50,202.5,80.0,0.32,0.4,14.47,0.01,0.0,20.0,115.2,87.3,none
