start_capital,risk_pct,ending_capital,cagr_pct,max_dd_inr,max_dd_pct,max_losing_streak,skipped_trades,candidate_id,period
50000.0,0.03,129003.3,20.87,32955.49,25.55,7,0,Candidate 1 Baseline (5Y),5Y_PRIMARY
50000.0,0.04,154180.15,25.26,27235.29,17.66,7,0,Candidate 1 Baseline (5Y),5Y_PRIMARY
50000.0,0.05,197332.57,31.6,38336.0,19.43,7,0,Candidate 1 Baseline (5Y),5Y_PRIMARY
50000.0,0.06,271520.93,40.27,53637.12,19.75,7,0,Candidate 1 Baseline (5Y),5Y_PRIMARY
75000.0,0.03,184983.09,19.79,28212.93,15.25,7,0,Candidate 1 Baseline (5Y),5Y_PRIMARY
75000.0,0.04,225790.82,24.66,39996.4,17.71,7,0,Candidate 1 Baseline (5Y),5Y_PRIMARY
75000.0,0.05,314082.27,33.17,58229.24,18.54,7,0,Candidate 1 Baseline (5Y),5Y_PRIMARY
75000.0,0.06,303981.25,32.3,72808.07,23.95,7,0,Candidate 1 Baseline (5Y),5Y_PRIMARY
100000.0,0.03,272344.43,22.19,35702.08,13.11,7,0,Candidate 1 Baseline (5Y),5Y_PRIMARY
100000.0,0.04,342598.87,27.93,54451.9,15.89,7,0,Candidate 1 Baseline (5Y),5Y_PRIMARY
100000.0,0.05,375267.01,30.28,78331.38,20.87,7,0,Candidate 1 Baseline (5Y),5Y_PRIMARY
100000.0,0.06,419417.28,33.21,89105.24,21.25,7,0,Candidate 1 Baseline (5Y),5Y_PRIMARY
50000.0,0.03,72105.6,4.91,49333.09,68.42,12,40,Candidate 1 Baseline (7.6Y),7.6Y_SECONDARY
50000.0,0.04,72000.07,4.89,49333.09,68.52,12,40,Candidate 1 Baseline (7.6Y),7.6Y_SECONDARY
50000.0,0.05,71762.41,4.84,49333.09,68.75,12,40,Candidate 1 Baseline (7.6Y),7.6Y_SECONDARY
50000.0,0.06,74659.71,5.39,49333.09,66.08,12,40,Candidate 1 Baseline (7.6Y),7.6Y_SECONDARY
75000.0,0.03,77306.7,0.4,73250.43,94.75,12,4,Candidate 1 Baseline (7.6Y),7.6Y_SECONDARY
75000.0,0.04,72081.97,-0.52,74251.19,99.0,12,7,Candidate 1 Baseline (7.6Y),7.6Y_SECONDARY
75000.0,0.05,71844.31,-0.56,74251.19,99.0,12,7,Candidate 1 Baseline (7.6Y),7.6Y_SECONDARY
75000.0,0.06,110445.76,5.2,81748.33,74.02,12,1,Candidate 1 Baseline (7.6Y),7.6Y_SECONDARY
100000.0,0.03,93836.06,-0.83,84380.71,84.38,12,0,Candidate 1 Baseline (7.6Y),7.6Y_SECONDARY
100000.0,0.04,138296.99,4.34,84951.81,61.43,12,0,Candidate 1 Baseline (7.6Y),7.6Y_SECONDARY
100000.0,0.05,130587.69,3.55,90809.3,69.54,12,0,Candidate 1 Baseline (7.6Y),7.6Y_SECONDARY
100000.0,0.06,175346.82,7.63,92586.59,52.8,12,0,Candidate 1 Baseline (7.6Y),7.6Y_SECONDARY
50000.0,0.03,74164.2,8.2,16333.73,22.02,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (5Y),5Y_PRIMARY
50000.0,0.04,74164.2,8.2,16333.73,22.02,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (5Y),5Y_PRIMARY
50000.0,0.05,92292.55,13.04,19087.69,20.68,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (5Y),5Y_PRIMARY
50000.0,0.06,100566.54,15.0,19087.69,18.98,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (5Y),5Y_PRIMARY
75000.0,0.03,103089.29,6.57,17524.05,17.0,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (5Y),5Y_PRIMARY
75000.0,0.04,117292.55,9.36,19087.69,16.27,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (5Y),5Y_PRIMARY
75000.0,0.05,170377.45,17.83,23813.4,13.98,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (5Y),5Y_PRIMARY
75000.0,0.06,177480.64,18.8,34281.17,19.32,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (5Y),5Y_PRIMARY
100000.0,0.03,142292.55,7.31,19087.69,13.41,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (5Y),5Y_PRIMARY
100000.0,0.04,194187.13,14.19,25003.72,12.88,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (5Y),5Y_PRIMARY
100000.0,0.05,209307.08,15.92,37443.24,17.89,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (5Y),5Y_PRIMARY
100000.0,0.06,254466.48,20.54,48353.23,19.0,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (5Y),5Y_PRIMARY
50000.0,0.03,88594.84,7.78,16333.73,18.44,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (7.6Y),7.6Y_SECONDARY
50000.0,0.04,106723.19,10.43,19087.69,17.89,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (7.6Y),7.6Y_SECONDARY
50000.0,0.05,134749.78,13.86,20278.01,15.05,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (7.6Y),7.6Y_SECONDARY
50000.0,0.06,174477.48,17.77,29265.54,16.77,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (7.6Y),7.6Y_SECONDARY
75000.0,0.03,131723.19,7.65,19087.69,14.49,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (7.6Y),7.6Y_SECONDARY
75000.0,0.04,183913.97,12.46,23813.4,12.95,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (7.6Y),7.6Y_SECONDARY
75000.0,0.05,214678.18,14.76,42901.09,19.98,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (7.6Y),7.6Y_SECONDARY
75000.0,0.06,246271.08,16.84,53368.86,21.67,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (7.6Y),7.6Y_SECONDARY
100000.0,0.03,192793.09,8.97,22249.76,11.54,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (7.6Y),7.6Y_SECONDARY
100000.0,0.04,239794.07,12.13,37443.24,15.61,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (7.6Y),7.6Y_SECONDARY
100000.0,0.05,282795.14,14.58,56530.93,19.99,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (7.6Y),7.6Y_SECONDARY
100000.0,0.06,356029.14,18.08,77182.26,21.68,7,0,Candidate 1 Upgraded (VIX Filter D + ATR >= 0.25) (7.6Y),7.6Y_SECONDARY
