execution_date,expiry_date,spread_type,long_strike,short_strike,lot_size,debit_pts,exit_spread_val,recorded_gross,reconciled_gross,gross_diff,recorded_costs,recorded_net,reconciled_net,net_diff,is_perfect_match
2019-07-09,2019-07-11,BEAR_PUT,11500.0,11350.0,75,35.3,0.0,-2647.5,-2647.5,0.0,50.47,-2697.97,-2697.97,0.0,1
2019-07-22,2019-07-25,BEAR_PUT,11350.0,11200.0,75,33.45,97.85,4830.0,4830.0,0.0,64.31,4765.69,4765.69,0.0,1
2019-07-30,2019-08-01,BEAR_PUT,11150.0,11000.0,75,21.35,150.0,9648.75,9648.75,0.0,73.62,9575.13,9575.13,0.0,1
2019-08-02,2019-08-08,BEAR_PUT,10900.0,10750.0,75,49.1,0.0,-3682.5,-3682.5,0.0,54.83,-3737.33,-3737.33,0.0,1
2019-12-16,2019-12-19,BULL_CALL,12200.0,12350.0,75,29.1,59.7,2295.0,2295.0,0.0,58.31,2236.69,2236.69,0.0,1
2020-02-13,2020-02-20,BULL_CALL,12250.0,12400.0,75,54.1,0.0,-4057.5,-4057.5,0.0,51.77,-4109.27,-4109.27,0.0,1
2020-02-25,2020-02-27,BEAR_PUT,11850.0,11700.0,75,58.1,150.0,6892.5,6892.5,0.0,86.37,6806.13,6806.13,0.0,1
2021-07-16,2021-07-22,BULL_CALL,16000.0,16150.0,50,52.05,0.0,-2602.5,-2602.5,0.0,50.46,-2652.96,-2652.96,0.0,1
2021-08-13,2021-08-18,BULL_CALL,16450.0,16600.0,50,32.75,118.85,4305.0,4305.0,0.0,60.47,4244.53,4244.53,0.0,1
2023-04-03,2023-04-06,BULL_CALL,17500.0,17650.0,50,31.55,99.15,3380.0,3380.0,0.0,58.28,3321.72,3321.72,0.0,1
2023-05-05,2023-05-11,BULL_CALL,18150.0,18300.0,50,54.3,147.0,4635.0,4635.0,0.0,66.09,4568.91,4568.91,0.0,1
2023-05-16,2023-05-18,BULL_CALL,18500.0,18650.0,50,28.15,0.0,-1407.5,-1407.5,0.0,48.53,-1456.03,-1456.03,0.0,1
2023-05-29,2023-06-01,BULL_CALL,18650.0,18800.0,50,35.2,0.0,-1760.0,-1760.0,0.0,49.2,-1809.2,-1809.2,0.0,1
