candidate,category,test_name,trades,net_pnl_inr,profit_factor
Baseline,COST_AND_SLIPPAGE,Cost_1.0x_Slip_1.0x,228,-7109.84,0.981
Baseline,COST_AND_SLIPPAGE,Cost_2.0x_Slip_1.0x,228,-22014.55,0.943
Baseline,COST_AND_SLIPPAGE,Cost_3.0x_Slip_1.0x,228,-36919.28,0.907
Baseline,COST_AND_SLIPPAGE,Cost_1.0x_Slip_1.25x,228,-7783.1,0.98
Baseline,COST_AND_SLIPPAGE,Cost_1.0x_Slip_1.5x,228,-8456.3,0.978
Baseline,COST_AND_SLIPPAGE,Cost_1.0x_Slip_2.0x,228,-9802.76,0.974
Baseline,OUTLIER_REMOVAL,Best_1_Trades_Removed,227,-16684.97,0.956
Baseline,OUTLIER_REMOVAL,Best_3_Trades_Removed,225,-33907.9,0.911
Baseline,OUTLIER_REMOVAL,Best_5_Trades_Removed,223,-50040.95,0.869
Baseline,OUTLIER_REMOVAL,Best_10_Trades_Removed,218,-87812.92,0.77
Baseline,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_50k,5,-13048.18,26.1
Baseline,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_75k,5,-13048.18,17.4
Baseline,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_100k,5,-13048.18,13.05
Baseline,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_50k,10,-26096.37,52.19
Baseline,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_75k,10,-26096.37,34.8
Baseline,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_100k,10,-26096.37,26.1
Baseline,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_50k,15,-39144.55,78.29
Baseline,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_75k,15,-39144.55,52.19
Baseline,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_100k,15,-39144.55,39.14
Baseline,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_50k,20,-52192.74,104.39
Baseline,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_75k,20,-52192.74,69.59
Baseline,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_100k,20,-52192.74,52.19
Upgraded,COST_AND_SLIPPAGE,Cost_1.0x_Slip_1.0x,45,38594.84,1.59
Upgraded,COST_AND_SLIPPAGE,Cost_2.0x_Slip_1.0x,45,35659.98,1.534
Upgraded,COST_AND_SLIPPAGE,Cost_3.0x_Slip_1.0x,45,32725.1,1.481
Upgraded,COST_AND_SLIPPAGE,Cost_1.0x_Slip_1.25x,45,38463.63,1.587
Upgraded,COST_AND_SLIPPAGE,Cost_1.0x_Slip_1.5x,45,38332.46,1.584
Upgraded,COST_AND_SLIPPAGE,Cost_1.0x_Slip_2.0x,45,38070.05,1.579
Upgraded,OUTLIER_REMOVAL,Best_1_Trades_Removed,44,29019.71,1.443
Upgraded,OUTLIER_REMOVAL,Best_3_Trades_Removed,42,11796.78,1.18
Upgraded,OUTLIER_REMOVAL,Best_5_Trades_Removed,40,-1197.56,0.982
Upgraded,OUTLIER_REMOVAL,Best_10_Trades_Removed,35,-28662.29,0.562
Upgraded,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_50k,5,-13634.47,27.27
Upgraded,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_75k,5,-13634.47,18.18
Upgraded,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_100k,5,-13634.47,13.63
Upgraded,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_50k,10,-27268.93,54.54
Upgraded,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_75k,10,-27268.93,36.36
Upgraded,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_100k,10,-27268.93,27.27
Upgraded,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_50k,15,-40903.4,81.81
Upgraded,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_75k,15,-40903.4,54.54
Upgraded,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_100k,15,-40903.4,40.9
Upgraded,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_50k,20,-54537.87,109.08
Upgraded,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_75k,20,-54537.87,72.72
Upgraded,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_100k,20,-54537.87,54.54
