category,filter_or_candidate,period,trades,win_rate_pct,net_pnl_inr,profit_factor
VIX_FILTER,Baseline,DEV 2019-2021,79,26.6,-66807.06,0.593
VIX_FILTER,Baseline,VAL 2022-2023,61,41.0,24237.6,1.285
VIX_FILTER,Baseline,OOS 2024,33,33.3,-10618.8,0.706
VIX_FILTER,Baseline,OOS 2025,32,37.5,4175.97,1.058
VIX_FILTER,Baseline,OOS 2026,23,56.5,41902.45,2.744
VIX_FILTER,Baseline,FULL 7.6Y,228,36.0,-7109.84,0.981
VIX_FILTER,Filter A (VIX < 14),DEV 2019-2021,16,37.5,2059.77,1.076
VIX_FILTER,Filter A (VIX < 14),VAL 2022-2023,29,48.3,21638.7,1.602
VIX_FILTER,Filter A (VIX < 14),OOS 2024,17,29.4,-6092.09,0.696
VIX_FILTER,Filter A (VIX < 14),OOS 2025,21,33.3,-7764.43,0.845
VIX_FILTER,Filter A (VIX < 14),OOS 2026,15,53.3,30277.69,2.65
VIX_FILTER,Filter A (VIX < 14),FULL 7.6Y,98,40.8,40119.64,1.265
VIX_FILTER,Filter B (VIX < 14 or > 19),DEV 2019-2021,48,31.2,-31507.95,0.684
VIX_FILTER,Filter B (VIX < 14 or > 19),VAL 2022-2023,39,43.6,18638.3,1.338
VIX_FILTER,Filter B (VIX < 14 or > 19),OOS 2024,18,33.3,-3506.64,0.825
VIX_FILTER,Filter B (VIX < 14 or > 19),OOS 2025,21,33.3,-7764.43,0.845
VIX_FILTER,Filter B (VIX < 14 or > 19),OOS 2026,16,56.2,34053.26,2.855
VIX_FILTER,Filter B (VIX < 14 or > 19),FULL 7.6Y,142,38.0,9912.54,1.041
VIX_FILTER,Filter C (VIX < 13 or > 19),DEV 2019-2021,40,32.5,-24006.01,0.712
VIX_FILTER,Filter C (VIX < 13 or > 19),VAL 2022-2023,34,38.2,8975.01,1.168
VIX_FILTER,Filter C (VIX < 13 or > 19),OOS 2024,11,36.4,-39.62,0.996
VIX_FILTER,Filter C (VIX < 13 or > 19),OOS 2025,18,27.8,-16303.91,0.661
VIX_FILTER,Filter C (VIX < 13 or > 19),OOS 2026,11,63.6,29564.74,3.746
VIX_FILTER,Filter C (VIX < 13 or > 19),FULL 7.6Y,114,36.8,-1809.79,0.991
VIX_FILTER,Filter D (VIX < 14 and dVIX <= 0),DEV 2019-2021,12,41.7,8118.93,1.416
VIX_FILTER,Filter D (VIX < 14 and dVIX <= 0),VAL 2022-2023,17,47.1,15493.78,1.738
VIX_FILTER,Filter D (VIX < 14 and dVIX <= 0),OOS 2024,11,27.3,-6410.15,0.572
VIX_FILTER,Filter D (VIX < 14 and dVIX <= 0),OOS 2025,10,40.0,754.92,1.036
VIX_FILTER,Filter D (VIX < 14 and dVIX <= 0),OOS 2026,10,50.0,16489.51,2.168
VIX_FILTER,Filter D (VIX < 14 and dVIX <= 0),FULL 7.6Y,60,41.7,34446.99,1.379
VIX_FILTER,Filter E Low (VIX < 14),DEV 2019-2021,16,37.5,2059.77,1.076
VIX_FILTER,Filter E Low (VIX < 14),VAL 2022-2023,29,48.3,21638.7,1.602
VIX_FILTER,Filter E Low (VIX < 14),OOS 2024,17,29.4,-6092.09,0.696
VIX_FILTER,Filter E Low (VIX < 14),OOS 2025,21,33.3,-7764.43,0.845
VIX_FILTER,Filter E Low (VIX < 14),OOS 2026,15,53.3,30277.69,2.65
VIX_FILTER,Filter E Low (VIX < 14),FULL 7.6Y,98,40.8,40119.64,1.265
VIX_FILTER,Filter E High (VIX > 19),DEV 2019-2021,32,28.1,-33567.72,0.539
VIX_FILTER,Filter E High (VIX > 19),VAL 2022-2023,10,30.0,-3000.4,0.843
VIX_FILTER,Filter E High (VIX > 19),OOS 2024,1,100.0,2585.45,0.0
VIX_FILTER,Filter E High (VIX > 19),OOS 2025,0,0.0,0.0,0.0
VIX_FILTER,Filter E High (VIX > 19),OOS 2026,1,100.0,3775.57,0.0
VIX_FILTER,Filter E High (VIX > 19),FULL 7.6Y,44,31.8,-30207.1,0.672
QUALITY_FILTER,Mag >= 0.10%,DEV 2019-2021,71,26.8,-59967.62,0.594
QUALITY_FILTER,Mag >= 0.10%,VAL 2022-2023,52,46.2,31954.86,1.449
QUALITY_FILTER,Mag >= 0.10%,OOS 2024,32,40.6,369.99,1.012
QUALITY_FILTER,Mag >= 0.10%,OOS 2025,28,39.3,9006.08,1.154
QUALITY_FILTER,Mag >= 0.10%,OOS 2026,17,58.8,28260.73,2.75
QUALITY_FILTER,Mag >= 0.10%,FULL 7.6Y,200,38.5,9624.04,1.03
QUALITY_FILTER,Mag >= 0.20%,DEV 2019-2021,63,28.6,-41105.54,0.68
QUALITY_FILTER,Mag >= 0.20%,VAL 2022-2023,49,44.9,24798.92,1.358
QUALITY_FILTER,Mag >= 0.20%,OOS 2024,28,39.3,-4284.42,0.854
QUALITY_FILTER,Mag >= 0.20%,OOS 2025,22,36.4,4346.69,1.09
QUALITY_FILTER,Mag >= 0.20%,OOS 2026,16,56.2,22760.1,2.409
QUALITY_FILTER,Mag >= 0.20%,FULL 7.6Y,178,38.2,6515.75,1.022
QUALITY_FILTER,Mag >= 0.30%,DEV 2019-2021,54,25.9,-35948.84,0.667
QUALITY_FILTER,Mag >= 0.30%,VAL 2022-2023,43,46.5,31722.12,1.559
QUALITY_FILTER,Mag >= 0.30%,OOS 2024,25,28.0,-19505.06,0.408
QUALITY_FILTER,Mag >= 0.30%,OOS 2025,19,42.1,14866.33,1.392
QUALITY_FILTER,Mag >= 0.30%,OOS 2026,13,53.8,18037.82,2.23
QUALITY_FILTER,Mag >= 0.30%,FULL 7.6Y,154,36.4,9172.37,1.037
QUALITY_FILTER,ATR >= 0.25,DEV 2019-2021,52,28.8,-29733.71,0.714
QUALITY_FILTER,ATR >= 0.25,VAL 2022-2023,45,46.7,33156.43,1.562
QUALITY_FILTER,ATR >= 0.25,OOS 2024,27,33.3,-14608.5,0.557
QUALITY_FILTER,ATR >= 0.25,OOS 2025,21,42.9,14743.84,1.35
QUALITY_FILTER,ATR >= 0.25,OOS 2026,14,57.1,22833.8,2.911
QUALITY_FILTER,ATR >= 0.25,FULL 7.6Y,159,39.0,26391.86,1.106
QUALITY_FILTER,ATR >= 0.50,DEV 2019-2021,35,31.4,-3865.71,0.94
QUALITY_FILTER,ATR >= 0.50,VAL 2022-2023,34,44.1,21868.4,1.455
QUALITY_FILTER,ATR >= 0.50,OOS 2024,15,20.0,-11877.3,0.381
QUALITY_FILTER,ATR >= 0.50,OOS 2025,14,42.9,17101.77,1.687
QUALITY_FILTER,ATR >= 0.50,OOS 2026,3,66.7,12222.15,6.456
QUALITY_FILTER,ATR >= 0.50,FULL 7.6Y,101,36.6,35449.31,1.223
QUALITY_FILTER,ADX >= 20,DEV 2019-2021,54,22.2,-63250.05,0.47
QUALITY_FILTER,ADX >= 20,VAL 2022-2023,41,34.1,-6332.65,0.902
QUALITY_FILTER,ADX >= 20,OOS 2024,10,40.0,960.03,1.091
QUALITY_FILTER,ADX >= 20,OOS 2025,18,44.4,15236.87,1.43
QUALITY_FILTER,ADX >= 20,OOS 2026,10,50.0,1470.95,1.098
QUALITY_FILTER,ADX >= 20,FULL 7.6Y,133,32.3,-51914.85,0.788
QUALITY_FILTER,ADX >= 25,DEV 2019-2021,38,23.7,-39576.09,0.528
QUALITY_FILTER,ADX >= 25,VAL 2022-2023,20,30.0,-6961.23,0.797
QUALITY_FILTER,ADX >= 25,OOS 2024,7,42.9,2366.91,1.385
QUALITY_FILTER,ADX >= 25,OOS 2025,8,37.5,2860.81,1.173
QUALITY_FILTER,ADX >= 25,OOS 2026,4,100.0,10297.75,0.0
QUALITY_FILTER,ADX >= 25,FULL 7.6Y,77,32.5,-31011.85,0.78
QUALITY_FILTER,Vol >= 1.2x,DEV 2019-2021,11,27.3,-11210.6,0.514
QUALITY_FILTER,Vol >= 1.2x,VAL 2022-2023,14,35.7,2591.93,1.121
QUALITY_FILTER,Vol >= 1.2x,OOS 2024,12,33.3,1250.58,1.117
QUALITY_FILTER,Vol >= 1.2x,OOS 2025,6,33.3,4125.11,1.328
QUALITY_FILTER,Vol >= 1.2x,OOS 2026,6,83.3,22788.95,11.173
