trade_idx,signal_date,execution_date,equity_before,risk_budget,debit_per_lot,lots,effective_risk_pct,status,trade_net,equity_after,drawdown_inr,drawdown_pct,timing_mode,starting_capital
0,2021-09-23,2021-09-23,50000.0,2500.0,4292.5,1,8.58,EXECUTED,-4346.18,45653.82,4346.18,8.69,TEST_A_ORIGINAL,50000.0
1,2021-10-08,2021-10-08,45653.82,2282.69,3427.5,1,7.51,EXECUTED,8981.85,54635.67,0.0,0.0,TEST_A_ORIGINAL,50000.0
2,2021-10-28,2021-10-28,54635.67,2731.78,3327.5,1,6.09,EXECUTED,-3381.39,51254.28,3381.39,6.19,TEST_A_ORIGINAL,50000.0
3,2021-11-12,2021-11-12,51254.28,2562.71,3900.0,1,7.61,EXECUTED,-3951.27,47303.01,7332.66,13.42,TEST_A_ORIGINAL,50000.0
4,2021-11-18,2021-11-18,47303.01,2365.15,2825.0,1,5.97,EXECUTED,5296.2,52599.21,2036.46,3.73,TEST_A_ORIGINAL,50000.0
5,2021-11-26,2021-11-26,52599.21,2629.96,3772.5,1,7.17,EXECUTED,-3828.95,48770.26,5865.41,10.74,TEST_A_ORIGINAL,50000.0
6,2021-12-06,2021-12-06,48770.26,2438.51,3080.0,1,6.32,EXECUTED,-3132.28,45637.98,8997.69,16.47,TEST_A_ORIGINAL,50000.0
7,2021-12-20,2021-12-20,45637.98,2281.9,2885.0,1,6.32,EXECUTED,-2938.57,42699.41,11936.26,21.85,TEST_A_ORIGINAL,50000.0
8,2021-12-31,2021-12-31,42699.41,2134.97,4055.0,1,9.5,EXECUTED,8358.63,51058.04,3577.63,6.55,TEST_A_ORIGINAL,50000.0
9,2022-01-10,2022-01-10,51058.04,2552.9,3652.5,1,7.15,EXECUTED,6667.11,57725.15,0.0,0.0,TEST_A_ORIGINAL,50000.0
10,2022-01-17,2022-01-17,57725.15,2886.26,3625.0,1,6.28,EXECUTED,-3675.84,54049.31,3675.84,6.37,TEST_A_ORIGINAL,50000.0
