trade_idx,signal_date,execution_date,expiry_date,dte_sessions,long_strike,short_strike,long_fill_price,short_fill_price,debit_pts,settlement_price,data_valid,synthetic_pricing,lookahead_status
0,2021-09-23,2021-09-23,2021-09-30,5,17850.0,18100.0,127.35,41.5,85.85,17618.15,1,0,CONTAMINATED_SAME_DAY_CLOSE
1,2021-10-08,2021-10-08,2021-10-14,4,17950.0,18200.0,84.4,15.85,68.55,18338.55,1,0,CONTAMINATED_SAME_DAY_CLOSE
2,2021-10-28,2021-10-28,2021-11-03,4,17800.0,17550.0,116.85,50.3,66.55,17829.2,1,0,CONTAMINATED_SAME_DAY_CLOSE
3,2021-11-12,2021-11-12,2021-11-18,4,18150.0,18400.0,95.95,17.95,78.0,17764.8,1,0,CONTAMINATED_SAME_DAY_CLOSE
4,2021-11-18,2021-11-18,2021-11-25,4,17700.0,17450.0,81.25,24.75,56.5,17536.25,1,0,CONTAMINATED_SAME_DAY_CLOSE
5,2021-11-26,2021-11-26,2021-12-02,4,17000.0,16750.0,150.6,75.15,75.45,17401.65,1,0,CONTAMINATED_SAME_DAY_CLOSE
6,2021-12-06,2021-12-06,2021-12-09,3,16850.0,16600.0,96.1,34.5,61.6,17516.85,1,0,CONTAMINATED_SAME_DAY_CLOSE
7,2021-12-20,2021-12-20,2021-12-23,3,16550.0,16300.0,107.5,49.8,57.7,17072.6,1,0,CONTAMINATED_SAME_DAY_CLOSE
8,2021-12-31,2021-12-31,2022-01-06,4,17400.0,17650.0,102.6,21.5,81.1,17745.9,1,0,CONTAMINATED_SAME_DAY_CLOSE
9,2022-01-10,2022-01-10,2022-01-13,3,18050.0,18300.0,92.5,19.45,73.05,18257.8,1,0,CONTAMINATED_SAME_DAY_CLOSE
10,2022-01-17,2022-01-17,2022-01-20,3,18350.0,18600.0,87.6,15.1,72.5,17757.0,1,0,CONTAMINATED_SAME_DAY_CLOSE
11,2022-01-21,2022-01-21,2022-01-27,3,17550.0,17300.0,119.8,50.25,69.55,17110.15,1,0,CONTAMINATED_SAME_DAY_CLOSE
12,2022-01-27,2022-01-27,2022-02-03,5,17050.0,16800.0,225.25,130.9,94.35,17560.2,1,0,CONTAMINATED_SAME_DAY_CLOSE
13,2022-02-14,2022-02-14,2022-02-17,3,16800.0,16550.0,156.65,82.3,74.35,17304.6,1,0,CONTAMINATED_SAME_DAY_CLOSE
14,2022-03-29,2022-03-29,2022-03-31,2,17400.0,17650.0,73.2,11.2,62.0,17464.75,1,0,CONTAMINATED_SAME_DAY_CLOSE
15,2022-04-01,2022-04-01,2022-04-07,4,17700.0,17950.0,122.9,32.15,90.75,17639.55,1,0,CONTAMINATED_SAME_DAY_CLOSE
16,2022-04-18,2022-04-18,2022-04-21,3,17100.0,16850.0,87.2,28.25,58.95,17392.6,1,0,CONTAMINATED_SAME_DAY_CLOSE
17,2022-04-25,2022-04-25,2022-04-28,3,16900.0,16650.0,117.15,46.0,71.15,17245.05,1,0,CONTAMINATED_SAME_DAY_CLOSE
18,2022-05-06,2022-05-06,2022-05-12,4,16350.0,16100.0,153.45,77.5,75.95,15808.0,1,0,CONTAMINATED_SAME_DAY_CLOSE
19,2022-05-27,2022-05-27,2022-06-02,4,16400.0,16650.0,127.8,42.2,85.6,16628.0,1,0,CONTAMINATED_SAME_DAY_CLOSE
20,2022-06-10,2022-06-10,2022-06-16,4,16150.0,15900.0,123.6,49.0,74.6,15360.6,1,0,CONTAMINATED_SAME_DAY_CLOSE
21,2022-06-27,2022-06-27,2022-06-30,3,15900.0,16150.0,94.4,23.4,71.0,15780.25,1,0,CONTAMINATED_SAME_DAY_CLOSE
22,2022-07-18,2022-07-18,2022-07-21,3,16350.0,16600.0,64.6,7.4,57.2,16605.25,1,0,CONTAMINATED_SAME_DAY_CLOSE
23,2022-07-28,2022-07-28,2022-08-04,5,17000.0,17250.0,109.7,33.1,76.6,17382.0,1,0,CONTAMINATED_SAME_DAY_CLOSE
24,2022-08-05,2022-08-05,2022-08-11,3,17450.0,17700.0,114.05,31.1,82.95,17659.0,1,0,CONTAMINATED_SAME_DAY_CLOSE
25,2022-08-29,2022-08-29,2022-09-01,2,17250.0,17000.0,93.5,30.3,63.2,17542.8,1,0,CONTAMINATED_SAME_DAY_CLOSE
26,2022-09-08,2022-09-08,2022-09-15,5,17850.0,18100.0,133.3,43.8,89.5,17877.4,1,0,CONTAMINATED_SAME_DAY_CLOSE
27,2022-09-16,2022-09-16,2022-09-22,4,17500.0,17250.0,142.45,60.9,81.55,17629.8,1,0,CONTAMINATED_SAME_DAY_CLOSE
28,2022-09-23,2022-09-23,2022-09-29,4,17300.0,17050.0,164.0,76.35,87.65,16818.1,1,0,CONTAMINATED_SAME_DAY_CLOSE
29,2022-10-18,2022-10-18,2022-10-20,2,17550.0,17800.0,61.1,5.75,55.35,17563.95,1,0,CONTAMINATED_SAME_DAY_CLOSE
30,2022-10-27,2022-10-27,2022-11-03,5,17800.0,18050.0,114.9,32.15,82.75,18052.7,1,0,CONTAMINATED_SAME_DAY_CLOSE
31,2022-11-07,2022-11-07,2022-11-10,2,18250.0,18500.0,66.35,7.3,59.05,18028.2,1,0,CONTAMINATED_SAME_DAY_CLOSE
32,2022-11-11,2022-11-11,2022-11-17,4,18400.0,18650.0,94.45,16.95,77.5,18343.9,1,0,CONTAMINATED_SAME_DAY_CLOSE
33,2022-11-24,2022-11-24,2022-12-01,5,18550.0,18800.0,85.25,15.05,70.2,18812.5,1,0,CONTAMINATED_SAME_DAY_CLOSE
34,2022-12-09,2022-12-09,2022-12-15,4,18450.0,18200.0,67.25,14.8,52.45,18414.9,1,0,CONTAMINATED_SAME_DAY_CLOSE
35,2022-12-15,2022-12-15,2022-12-22,5,18350.0,18100.0,82.25,25.05,57.2,18127.35,1,0,CONTAMINATED_SAME_DAY_CLOSE
36,2023-01-12,2023-01-12,2023-01-19,5,17800.0,17550.0,103.35,36.75,66.6,18107.85,1,0,CONTAMINATED_SAME_DAY_CLOSE
37,2023-01-27,2023-01-27,2023-02-02,4,17550.0,17300.0,149.75,72.35,77.4,17610.4,1,0,CONTAMINATED_SAME_DAY_CLOSE
38,2023-02-09,2023-02-09,2023-02-16,5,17950.0,18200.0,96.4,19.45,76.95,18035.85,1,0,CONTAMINATED_SAME_DAY_CLOSE
39,2023-03-13,2023-03-13,2023-03-16,3,17100.0,16850.0,88.95,27.7,61.25,16985.6,1,0,CONTAMINATED_SAME_DAY_CLOSE
40,2023-03-24,2023-03-24,2023-03-29,3,16900.0,16650.0,86.8,26.9,59.9,17080.7,1,0,CONTAMINATED_SAME_DAY_CLOSE
41,2023-03-31,2023-03-31,2023-04-06,3,17400.0,17650.0,78.85,9.5,69.35,17599.15,1,0,CONTAMINATED_SAME_DAY_CLOSE
42,2023-04-27,2023-04-27,2023-05-04,4,17950.0,18200.0,78.6,9.05,69.55,18255.8,1,0,CONTAMINATED_SAME_DAY_CLOSE
43,2023-05-04,2023-05-04,2023-05-11,5,18300.0,18550.0,72.55,10.6,61.95,18297.0,1,0,CONTAMINATED_SAME_DAY_CLOSE
44,2023-05-15,2023-05-15,2023-05-18,3,18450.0,18700.0,50.75,2.8,47.95,18129.95,1,0,CONTAMINATED_SAME_DAY_CLOSE
45,2023-05-26,2023-05-26,2023-06-01,4,18550.0,18800.0,64.95,6.2,58.75,18487.75,1,0,CONTAMINATED_SAME_DAY_CLOSE
46,2023-06-16,2023-06-16,2023-06-22,4,18900.0,19150.0,58.8,5.15,53.65,18771.25,1,0,CONTAMINATED_SAME_DAY_CLOSE
47,2023-07-14,2023-07-14,2023-07-20,4,19600.0,19850.0,67.55,7.0,60.55,19979.15,1,0,CONTAMINATED_SAME_DAY_CLOSE
48,2023-08-17,2023-08-17,2023-08-24,5,19300.0,19050.0,66.6,16.0,50.6,19386.7,1,0,CONTAMINATED_SAME_DAY_CLOSE
49,2023-08-25,2023-08-25,2023-08-31,4,19200.0,18950.0,69.25,14.9,54.35,19253.8,1,0,CONTAMINATED_SAME_DAY_CLOSE
50,2023-08-31,2023-08-31,2023-09-07,5,19200.0,18950.0,50.9,14.8,36.1,19727.05,1,0,CONTAMINATED_SAME_DAY_CLOSE
51,2023-09-22,2023-09-22,2023-09-28,4,19600.0,19350.0,50.45,11.7,38.75,19523.55,1,0,CONTAMINATED_SAME_DAY_CLOSE
52,2023-09-28,2023-09-28,2023-10-05,4,19450.0,19200.0,67.4,23.35,44.05,19545.75,1,0,CONTAMINATED_SAME_DAY_CLOSE
53,2023-10-17,2023-10-17,2023-10-19,2,19850.0,20100.0,48.95,2.95,46.0,19624.7,1,0,CONTAMINATED_SAME_DAY_CLOSE
54,2023-10-23,2023-10-23,2023-10-26,2,19250.0,19000.0,77.7,14.3,63.4,18857.25,1,0,CONTAMINATED_SAME_DAY_CLOSE
55,2023-11-13,2023-11-13,2023-11-16,2,19500.0,19750.0,41.45,3.1,38.35,19765.2,1,0,CONTAMINATED_SAME_DAY_CLOSE
56,2023-11-21,2023-11-21,2023-11-23,2,19850.0,20100.0,42.85,3.45,39.4,19802.0,1,0,CONTAMINATED_SAME_DAY_CLOSE
57,2023-11-28,2023-11-28,2023-11-30,2,19950.0,20200.0,51.85,1.65,50.2,20133.15,1,0,CONTAMINATED_SAME_DAY_CLOSE
58,2023-12-08,2023-12-08,2023-12-14,4,21000.0,21250.0,110.5,29.25,81.25,21182.7,1,0,CONTAMINATED_SAME_DAY_CLOSE
59,2023-12-14,2023-12-14,2023-12-21,5,21250.0,21500.0,133.75,41.0,92.75,21255.05,1,0,CONTAMINATED_SAME_DAY_CLOSE
60,2024-01-12,2024-01-12,2024-01-18,4,21950.0,22200.0,116.9,31.05,85.85,21462.25,1,0,CONTAMINATED_SAME_DAY_CLOSE
61,2024-01-18,2024-01-18,2024-01-25,4,21400.0,21150.0,110.2,46.2,64.0,21352.6,1,0,CONTAMINATED_SAME_DAY_CLOSE
62,2024-02-02,2024-02-02,2024-02-08,4,21900.0,22150.0,146.85,54.0,92.85,21717.95,1,0,CONTAMINATED_SAME_DAY_CLOSE
63,2024-02-16,2024-02-16,2024-02-22,4,22100.0,22350.0,129.5,41.95,87.55,22217.45,1,0,CONTAMINATED_SAME_DAY_CLOSE
64,2024-02-22,2024-02-22,2024-02-29,5,22250.0,22500.0,162.8,60.85,101.95,21982.8,1,0,CONTAMINATED_SAME_DAY_CLOSE
65,2024-03-01,2024-03-01,2024-03-07,4,22400.0,22650.0,134.8,41.5,93.3,22493.55,1,0,CONTAMINATED_SAME_DAY_CLOSE
66,2024-03-19,2024-03-19,2024-03-21,2,21750.0,21500.0,70.5,14.9,55.6,22011.95,1,0,CONTAMINATED_SAME_DAY_CLOSE
67,2024-03-28,2024-03-28,2024-04-04,4,22400.0,22650.0,127.85,35.4,92.45,22514.65,1,0,CONTAMINATED_SAME_DAY_CLOSE
68,2024-04-04,2024-04-04,2024-04-10,4,22550.0,22800.0,127.1,34.75,92.35,22753.8,1,0,CONTAMINATED_SAME_DAY_CLOSE
69,2024-04-10,2024-04-10,2024-04-18,4,22800.0,23050.0,114.75,30.15,84.6,21995.85,1,0,CONTAMINATED_SAME_DAY_CLOSE
70,2024-04-29,2024-04-29,2024-05-02,2,22700.0,22950.0,82.65,9.95,72.7,22648.2,1,0,CONTAMINATED_SAME_DAY_CLOSE
71,2024-05-02,2024-05-02,2024-05-09,5,22700.0,22950.0,152.25,47.7,104.55,21957.5,1,0,CONTAMINATED_SAME_DAY_CLOSE
72,2024-05-09,2024-05-09,2024-05-16,5,21900.0,21650.0,123.4,55.95,67.45,22403.85,1,0,CONTAMINATED_SAME_DAY_CLOSE
73,2024-05-21,2024-05-21,2024-05-23,2,22600.0,22850.0,70.05,9.8,60.25,22967.65,1,0,CONTAMINATED_SAME_DAY_CLOSE
74,2024-06-04,2024-06-04,2024-06-06,2,21850.0,21600.0,323.15,213.5,109.65,22821.4,1,0,CONTAMINATED_SAME_DAY_CLOSE
75,2024-06-07,2024-06-07,2024-06-13,4,23350.0,23600.0,183.65,82.85,100.8,23398.9,1,0,CONTAMINATED_SAME_DAY_CLOSE
76,2024-06-20,2024-06-20,2024-06-27,5,23600.0,23850.0,133.05,40.0,93.05,24044.5,1,0,CONTAMINATED_SAME_DAY_CLOSE
77,2024-07-01,2024-07-01,2024-07-04,3,24200.0,24450.0,98.0,22.1,75.9,24302.15,1,0,CONTAMINATED_SAME_DAY_CLOSE
78,2024-07-09,2024-07-09,2024-07-11,2,24500.0,24750.0,57.3,4.7,52.6,24315.95,1,0,CONTAMINATED_SAME_DAY_CLOSE
79,2024-07-12,2024-07-12,2024-07-18,3,24550.0,24800.0,102.6,22.15,80.45,24800.85,1,0,CONTAMINATED_SAME_DAY_CLOSE
80,2024-07-26,2024-07-26,2024-08-01,4,24900.0,25150.0,119.05,30.7,88.35,25010.9,1,0,CONTAMINATED_SAME_DAY_CLOSE
81,2024-08-05,2024-08-05,2024-08-08,3,24000.0,23750.0,180.3,118.65,61.65,24117.0,1,0,CONTAMINATED_SAME_DAY_CLOSE
82,2024-08-20,2024-08-20,2024-08-22,2,24750.0,25000.0,57.8,5.95,51.85,24811.5,1,0,CONTAMINATED_SAME_DAY_CLOSE
83,2024-09-12,2024-09-12,2024-09-19,5,25450.0,25700.0,94.6,30.7,63.9,25415.8,1,0,CONTAMINATED_SAME_DAY_CLOSE
84,2024-09-20,2024-09-20,2024-09-26,4,25850.0,26100.0,91.4,21.45,69.95,26216.05,1,0,CONTAMINATED_SAME_DAY_CLOSE
85,2024-10-03,2024-10-03,2024-10-10,5,25200.0,24950.0,123.45,64.05,59.4,24998.45,1,0,CONTAMINATED_SAME_DAY_CLOSE
86,2024-10-17,2024-10-17,2024-10-24,5,24700.0,24450.0,118.95,54.7,64.25,24399.4,1,0,CONTAMINATED_SAME_DAY_CLOSE
87,2024-11-04,2024-11-04,2024-11-07,3,23950.0,23700.0,172.65,87.3,85.35,24199.35,1,0,CONTAMINATED_SAME_DAY_CLOSE
88,2024-11-12,2024-11-12,2024-11-14,2,23850.0,23600.0,84.9,20.2,64.7,23532.7,1,0,CONTAMINATED_SAME_DAY_CLOSE
89,2024-11-21,2024-11-21,2024-11-28,5,23300.0,23050.0,171.0,90.8,80.2,23914.15,1,0,CONTAMINATED_SAME_DAY_CLOSE
90,2024-12-02,2024-12-02,2024-12-05,3,24350.0,24600.0,130.85,38.25,92.6,24708.4,1,0,CONTAMINATED_SAME_DAY_CLOSE
91,2024-12-13,2024-12-13,2024-12-19,4,24800.0,25050.0,128.9,41.65,87.25,23951.7,1,0,CONTAMINATED_SAME_DAY_CLOSE
92,2025-01-09,2025-01-09,2025-01-16,5,23500.0,23250.0,140.0,64.85,75.15,23311.8,1,0,CONTAMINATED_SAME_DAY_CLOSE
93,2025-01-21,2025-01-21,2025-01-23,2,22950.0,22700.0,72.8,22.9,49.9,23205.35,1,0,CONTAMINATED_SAME_DAY_CLOSE
94,2025-01-27,2025-01-27,2025-01-30,3,22800.0,22550.0,131.8,53.25,78.55,23249.5,1,0,CONTAMINATED_SAME_DAY_CLOSE
95,2025-01-31,2025-01-31,2025-02-06,4,23550.0,23800.0,253.45,134.8,118.65,23603.35,1,0,CONTAMINATED_SAME_DAY_CLOSE
96,2025-02-20,2025-02-20,2025-02-27,4,22850.0,22600.0,122.7,51.05,71.65,22545.05,1,0,CONTAMINATED_SAME_DAY_CLOSE
97,2025-03-18,2025-03-18,2025-03-20,2,22900.0,23150.0,65.75,6.6,59.15,23190.65,1,0,CONTAMINATED_SAME_DAY_CLOSE
98,2025-04-04,2025-04-04,2025-04-09,3,22850.0,22600.0,105.65,34.85,70.8,22399.15,1,0,CONTAMINATED_SAME_DAY_CLOSE
99,2025-04-17,2025-04-17,2025-04-24,4,23900.0,24150.0,164.6,71.05,93.55,24246.7,1,0,CONTAMINATED_SAME_DAY_CLOSE
100,2025-05-02,2025-05-02,2025-05-08,4,24400.0,24650.0,135.2,49.65,85.55,24273.8,1,0,CONTAMINATED_SAME_DAY_CLOSE
101,2025-05-09,2025-05-09,2025-05-15,4,23950.0,23700.0,220.7,148.6,72.1,25062.1,1,0,CONTAMINATED_SAME_DAY_CLOSE
102,2025-05-15,2025-05-15,2025-05-22,5,25100.0,25350.0,168.5,74.35,94.15,24609.7,1,0,CONTAMINATED_SAME_DAY_CLOSE
103,2025-06-03,2025-06-03,2025-06-05,2,24500.0,24250.0,99.75,32.5,67.25,24750.9,1,0,CONTAMINATED_SAME_DAY_CLOSE
104,2025-06-06,2025-06-06,2025-06-12,4,25050.0,25300.0,156.95,61.75,95.2,24888.2,1,0,CONTAMINATED_SAME_DAY_CLOSE
105,2025-07-10,2025-07-10,2025-07-17,5,25300.0,25050.0,101.05,36.9,64.15,25111.45,1,0,CONTAMINATED_SAME_DAY_CLOSE
106,2025-07-18,2025-07-18,2025-07-24,4,24900.0,24650.0,78.1,27.5,50.6,25062.1,1,0,CONTAMINATED_SAME_DAY_CLOSE
107,2025-07-25,2025-07-25,2025-07-31,4,24800.0,24550.0,96.65,31.5,65.15,24768.35,1,0,CONTAMINATED_SAME_DAY_CLOSE
108,2025-08-01,2025-08-01,2025-08-07,4,24500.0,24250.0,117.1,49.0,68.1,24596.15,1,0,CONTAMINATED_SAME_DAY_CLOSE
109,2025-08-08,2025-08-08,2025-08-14,4,24300.0,24050.0,88.65,32.0,56.65,24631.3,1,0,CONTAMINATED_SAME_DAY_CLOSE
110,2025-08-18,2025-08-18,2025-08-21,3,24950.0,25200.0,102.6,25.95,76.65,25083.75,1,0,CONTAMINATED_SAME_DAY_CLOSE
111,2025-08-29,2025-08-29,2025-09-02,2,24400.0,24150.0,60.2,12.85,47.35,24579.6,1,0,CONTAMINATED_SAME_DAY_CLOSE
112,2025-09-10,2025-09-10,2025-09-16,4,25000.0,25250.0,118.25,30.15,88.1,25239.1,1,0,CONTAMINATED_SAME_DAY_CLOSE
113,2025-09-16,2025-09-16,2025-09-23,5,25300.0,25550.0,120.65,34.7,85.95,25169.5,1,0,CONTAMINATED_SAME_DAY_CLOSE
114,2025-09-25,2025-09-25,2025-09-30,3,24850.0,24600.0,50.85,12.5,38.35,24611.1,1,0,CONTAMINATED_SAME_DAY_CLOSE
115,2025-10-09,2025-10-09,2025-10-14,3,25250.0,25500.0,66.25,10.0,56.25,25145.5,1,0,CONTAMINATED_SAME_DAY_CLOSE
116,2025-10-15,2025-10-15,2025-10-20,3,25350.0,25600.0,122.0,24.0,98.0,25843.15,1,0,CONTAMINATED_SAME_DAY_CLOSE
117,2025-10-29,2025-10-29,2025-11-04,4,26100.0,26350.0,161.4,58.45,102.95,25597.65,1,0,CONTAMINATED_SAME_DAY_CLOSE
118,2025-11-04,2025-11-04,2025-11-11,4,25550.0,25300.0,104.9,38.5,66.4,25694.95,1,0,CONTAMINATED_SAME_DAY_CLOSE
119,2025-11-14,2025-11-14,2025-11-18,2,25950.0,26200.0,90.7,22.85,67.85,25910.05,1,0,CONTAMINATED_SAME_DAY_CLOSE
120,2025-11-19,2025-11-19,2025-11-25,4,26100.0,26350.0,128.7,41.0,87.7,25884.8,1,0,CONTAMINATED_SAME_DAY_CLOSE
121,2025-11-26,2025-11-26,2025-12-02,4,26250.0,26500.0,119.65,33.6,86.05,26032.2,1,0,CONTAMINATED_SAME_DAY_CLOSE
122,2025-12-09,2025-12-09,2025-12-16,5,25800.0,25550.0,97.5,31.85,65.65,25860.1,1,0,CONTAMINATED_SAME_DAY_CLOSE
123,2026-01-02,2026-01-02,2026-01-06,2,26400.0,26650.0,35.5,2.7,32.8,26178.7,1,0,CONTAMINATED_SAME_DAY_CLOSE
124,2026-01-08,2026-01-08,2026-01-13,3,25850.0,25600.0,66.65,15.55,51.1,25732.3,1,0,CONTAMINATED_SAME_DAY_CLOSE
125,2026-01-14,2026-01-14,2026-01-20,3,25600.0,25350.0,87.55,29.25,58.3,25232.5,1,0,CONTAMINATED_SAME_DAY_CLOSE
126,2026-02-03,2026-02-03,2026-02-10,5,25800.0,26050.0,169.5,81.5,88.0,25935.15,1,0,CONTAMINATED_SAME_DAY_CLOSE
