timing_mode,signal_date,execution_date,expiry_date,dte_sessions,vix,signal_spot,exec_spot,type,long_strike,short_strike,wing_width,long_contract,short_contract,long_raw_price,short_raw_price,long_fill_price,short_fill_price,debit_pts,lot_size,capital_required_inr,settlement_price,long_exit_intrinsic,short_exit_intrinsic,gross_payoff_inr,statutory_costs_inr,net_pnl_inr,is_win,cum_net_pnl,period
ORIGINAL_SAME_DAY_CLOSE,2021-09-23,2021-09-23,2021-09-30,5,16.49,17822.95,17822.95,BULL_CALL,17850.0,18100.0,250.0,NIFTY_2021-09-30_17850.0_CE,NIFTY_2021-09-30_18100.0_CE,127.25,41.6,127.35,41.5,85.85,50,4292.5,17618.15,0.0,0.0,-4292.5,53.68,-4346.18,0,-4346.18,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2021-10-08,2021-10-08,2021-10-14,4,16.16,17895.2,17895.2,BULL_CALL,17950.0,18200.0,250.0,NIFTY_2021-10-14_17950.0_CE,NIFTY_2021-10-14_18200.0_CE,84.3,15.95,84.4,15.85,68.55,50,3427.5,18338.55,388.55,138.55,9072.5,90.65,8981.85,1,4635.67,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2021-10-28,2021-10-28,2021-11-03,4,16.83,17857.25,17857.25,BEAR_PUT,17800.0,17550.0,250.0,NIFTY_2021-11-03_17800.0_PE,NIFTY_2021-11-03_17550.0_PE,116.75,50.4,116.85,50.3,66.55,50,3327.5,17829.2,0.0,0.0,-3327.5,53.89,-3381.39,0,1254.2800000000002,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2021-11-12,2021-11-12,2021-11-18,4,16.35,18102.75,18102.75,BULL_CALL,18150.0,18400.0,250.0,NIFTY_2021-11-18_18150.0_CE,NIFTY_2021-11-18_18400.0_CE,95.85,18.05,95.95,17.95,78.0,50,3900.0,17764.8,0.0,0.0,-3900.0,51.27,-3951.27,0,-2696.99,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2021-11-18,2021-11-18,2021-11-25,4,14.98,17764.8,17764.8,BEAR_PUT,17700.0,17450.0,250.0,NIFTY_2021-11-25_17700.0_PE,NIFTY_2021-11-25_17450.0_PE,81.15,24.85,81.25,24.75,56.5,50,2825.0,17536.25,163.75,0.0,5362.5,66.3,5296.2,1,2599.21,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2021-11-26,2021-11-26,2021-12-02,4,16.66,17026.45,17026.45,BEAR_PUT,17000.0,16750.0,250.0,NIFTY_2021-12-02_17000.0_PE,NIFTY_2021-12-02_16750.0_PE,150.5,75.25,150.6,75.15,75.45,50,3772.5,17401.65,0.0,0.0,-3772.5,56.45,-3828.95,0,-1229.7399999999998,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2021-12-06,2021-12-06,2021-12-09,3,18.46,16912.25,16912.25,BEAR_PUT,16850.0,16600.0,250.0,NIFTY_2021-12-09_16850.0_PE,NIFTY_2021-12-09_16600.0_PE,96.0,34.6,96.1,34.5,61.6,50,3080.0,17516.85,0.0,0.0,-3080.0,52.28,-3132.28,0,-4362.02,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2021-12-20,2021-12-20,2021-12-23,3,16.34,16614.2,16614.2,BEAR_PUT,16550.0,16300.0,250.0,NIFTY_2021-12-23_16550.0_PE,NIFTY_2021-12-23_16300.0_PE,107.4,49.9,107.5,49.8,57.7,50,2885.0,17072.6,0.0,0.0,-2885.0,53.57,-2938.57,0,-7300.59,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2021-12-31,2021-12-31,2022-01-06,4,16.57,17354.05,17354.05,BULL_CALL,17400.0,17650.0,250.0,NIFTY_2022-01-06_17400.0_CE,NIFTY_2022-01-06_17650.0_CE,102.5,21.6,102.6,21.5,81.1,50,4055.0,17745.9,345.9,95.9,8445.0,86.37,8358.63,1,1058.039999999999,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-01-10,2022-01-10,2022-01-13,3,17.6,18003.3,18003.3,BULL_CALL,18050.0,18300.0,250.0,NIFTY_2022-01-13_18050.0_CE,NIFTY_2022-01-13_18300.0_CE,92.4,19.55,92.5,19.45,73.05,50,3652.5,18257.8,207.8,0.0,6737.5,70.39,6667.11,1,7725.149999999999,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-01-17,2022-01-17,2022-01-20,3,16.56,18308.1,18308.1,BULL_CALL,18350.0,18600.0,250.0,NIFTY_2022-01-20_18350.0_CE,NIFTY_2022-01-20_18600.0_CE,87.5,15.2,87.6,15.1,72.5,50,3625.0,17757.0,0.0,0.0,-3625.0,50.84,-3675.84,0,4049.3099999999986,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-01-21,2022-01-21,2022-01-27,3,17.79,17617.15,17617.15,BEAR_PUT,17550.0,17300.0,250.0,NIFTY_2022-01-27_17550.0_PE,NIFTY_2022-01-27_17300.0_PE,119.7,50.35,119.8,50.25,69.55,50,3477.5,17110.15,439.85,189.85,9022.5,100.08,8922.42,1,12971.73,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-01-27,2022-01-27,2022-02-03,5,21.36,17110.15,17110.15,BEAR_PUT,17050.0,16800.0,250.0,NIFTY_2022-02-03_17050.0_PE,NIFTY_2022-02-03_16800.0_PE,225.15,131.0,225.25,130.9,94.35,50,4717.5,17560.2,0.0,0.0,-4717.5,62.16,-4779.66,0,8192.07,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-02-14,2022-02-14,2022-02-17,3,18.68,16842.8,16842.8,BEAR_PUT,16800.0,16550.0,250.0,NIFTY_2022-02-17_16800.0_PE,NIFTY_2022-02-17_16550.0_PE,156.55,82.4,156.65,82.3,74.35,50,3717.5,17304.6,0.0,0.0,-3717.5,57.07,-3774.57,0,4417.5,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-03-29,2022-03-29,2022-03-31,2,22.61,17325.3,17325.3,BULL_CALL,17400.0,17650.0,250.0,NIFTY_2022-03-31_17400.0_CE,NIFTY_2022-03-31_17650.0_CE,73.1,11.3,73.2,11.2,62.0,50,3100.0,17464.75,64.75,0.0,137.5,56.12,81.38,1,4498.88,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-04-01,2022-04-01,2022-04-07,4,20.56,17670.45,17670.45,BULL_CALL,17700.0,17950.0,250.0,NIFTY_2022-04-07_17700.0_CE,NIFTY_2022-04-07_17950.0_CE,122.8,32.25,122.9,32.15,90.75,50,4537.5,17639.55,0.0,0.0,-4537.5,52.97,-4590.47,0,-91.59000000000015,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-04-18,2022-04-18,2022-04-21,3,17.79,17173.65,17173.65,BEAR_PUT,17100.0,16850.0,250.0,NIFTY_2022-04-21_17100.0_PE,NIFTY_2022-04-21_16850.0_PE,87.1,28.35,87.2,28.25,58.95,50,2947.5,17392.6,0.0,0.0,-2947.5,51.63,-2999.13,0,-3090.7200000000003,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-04-25,2022-04-25,2022-04-28,3,18.35,16953.95,16953.95,BEAR_PUT,16900.0,16650.0,250.0,NIFTY_2022-04-28_16900.0_PE,NIFTY_2022-04-28_16650.0_PE,117.05,46.1,117.15,46.0,71.15,50,3557.5,17245.05,0.0,0.0,-3557.5,53.64,-3611.14,0,-6701.860000000001,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-05-06,2022-05-06,2022-05-12,4,20.29,16411.25,16411.25,BEAR_PUT,16350.0,16100.0,250.0,NIFTY_2022-05-12_16350.0_PE,NIFTY_2022-05-12_16100.0_PE,153.35,77.6,153.45,77.5,75.95,50,3797.5,15808.0,542.0,292.0,8702.5,115.21,8587.29,1,1885.4300000000003,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-05-27,2022-05-27,2022-06-02,4,22.72,16352.45,16352.45,BULL_CALL,16400.0,16650.0,250.0,NIFTY_2022-06-02_16400.0_CE,NIFTY_2022-06-02_16650.0_CE,127.7,42.3,127.8,42.2,85.6,50,4280.0,16628.0,228.0,0.0,7120.0,74.72,7045.28,1,8930.71,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-06-10,2022-06-10,2022-06-16,4,19.14,16201.8,16201.8,BEAR_PUT,16150.0,15900.0,250.0,NIFTY_2022-06-16_16150.0_PE,NIFTY_2022-06-16_15900.0_PE,123.5,49.1,123.6,49.0,74.6,50,3730.0,15360.6,789.4,539.4,8770.0,142.63,8627.37,1,17558.08,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-06-27,2022-06-27,2022-06-30,3,20.55,15832.05,15832.05,BULL_CALL,15900.0,16150.0,250.0,NIFTY_2022-06-30_15900.0_CE,NIFTY_2022-06-30_16150.0_CE,94.3,23.5,94.4,23.4,71.0,50,3550.0,15780.25,0.0,0.0,-3550.0,51.55,-3601.55,0,13956.530000000002,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-07-18,2022-07-18,2022-07-21,3,17.6,16278.5,16278.5,BULL_CALL,16350.0,16600.0,250.0,NIFTY_2022-07-21_16350.0_CE,NIFTY_2022-07-21_16600.0_CE,64.5,7.5,64.6,7.4,57.2,50,2860.0,16605.25,255.25,5.25,9640.0,73.31,9566.69,1,23523.22,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-07-28,2022-07-28,2022-08-04,5,18.13,16929.6,16929.6,BULL_CALL,17000.0,17250.0,250.0,NIFTY_2022-08-04_17000.0_CE,NIFTY_2022-08-04_17250.0_CE,109.6,33.2,109.7,33.1,76.6,50,3830.0,17382.0,382.0,132.0,8670.0,91.69,8578.31,1,32101.53,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-08-05,2022-08-05,2022-08-11,3,19.26,17397.5,17397.5,BULL_CALL,17450.0,17700.0,250.0,NIFTY_2022-08-11_17450.0_CE,NIFTY_2022-08-11_17700.0_CE,113.95,31.2,114.05,31.1,82.95,50,4147.5,17659.0,209.0,0.0,6302.5,71.87,6230.63,1,38332.159999999996,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-08-29,2022-08-29,2022-09-01,2,18.22,17312.9,17312.9,BEAR_PUT,17250.0,17000.0,250.0,NIFTY_2022-09-01_17250.0_PE,NIFTY_2022-09-01_17000.0_PE,93.4,30.4,93.5,30.3,63.2,50,3160.0,17542.8,0.0,0.0,-3160.0,51.95,-3211.95,0,35120.21,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-09-08,2022-09-08,2022-09-15,5,19.37,17798.75,17798.75,BULL_CALL,17850.0,18100.0,250.0,NIFTY_2022-09-15_17850.0_CE,NIFTY_2022-09-15_18100.0_CE,133.2,43.9,133.3,43.8,89.5,50,4475.0,17877.4,27.4,0.0,-3105.0,56.53,-3161.53,0,31958.68,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-09-16,2022-09-16,2022-09-22,4,18.39,17530.85,17530.85,BEAR_PUT,17500.0,17250.0,250.0,NIFTY_2022-09-22_17500.0_PE,NIFTY_2022-09-22_17250.0_PE,142.35,61.0,142.45,60.9,81.55,50,4077.5,17629.8,0.0,0.0,-4077.5,55.33,-4132.83,0,27825.85,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-09-23,2022-09-23,2022-09-29,4,18.82,17327.35,17327.35,BEAR_PUT,17300.0,17050.0,250.0,NIFTY_2022-09-29_17300.0_PE,NIFTY_2022-09-29_17050.0_PE,163.9,76.45,164.0,76.35,87.65,50,4382.5,16818.1,481.9,231.9,8117.5,108.15,8009.35,1,35835.2,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-10-18,2022-10-18,2022-10-20,2,18.42,17486.95,17486.95,BULL_CALL,17550.0,17800.0,250.0,NIFTY_2022-10-20_17550.0_CE,NIFTY_2022-10-20_17800.0_CE,61.0,5.85,61.1,5.75,55.35,50,2767.5,17563.95,13.95,0.0,-2070.0,50.73,-2120.73,0,33714.469999999994,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-10-27,2022-10-27,2022-11-03,5,16.88,17736.95,17736.95,BULL_CALL,17800.0,18050.0,250.0,NIFTY_2022-11-03_17800.0_CE,NIFTY_2022-11-03_18050.0_CE,114.8,32.25,114.9,32.15,82.75,50,4137.5,18052.7,252.7,2.7,8362.5,76.07,8286.43,1,42000.899999999994,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-11-07,2022-11-07,2022-11-10,2,15.66,18202.8,18202.8,BULL_CALL,18250.0,18500.0,250.0,NIFTY_2022-11-10_18250.0_CE,NIFTY_2022-11-10_18500.0_CE,66.25,7.4,66.35,7.3,59.05,50,2952.5,18028.2,0.0,0.0,-2952.5,49.7,-3002.2,0,38998.7,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-11-11,2022-11-11,2022-11-17,4,15.57,18349.7,18349.7,BULL_CALL,18400.0,18650.0,250.0,NIFTY_2022-11-17_18400.0_CE,NIFTY_2022-11-17_18650.0_CE,94.35,17.05,94.45,16.95,77.5,50,3875.0,18343.9,0.0,0.0,-3875.0,51.16,-3926.16,0,35072.53999999999,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-11-24,2022-11-24,2022-12-01,5,14.04,18484.1,18484.1,BULL_CALL,18550.0,18800.0,250.0,NIFTY_2022-12-01_18550.0_CE,NIFTY_2022-12-01_18800.0_CE,85.15,15.15,85.25,15.05,70.2,50,3510.0,18812.5,262.5,12.5,8990.0,75.3,8914.7,1,43987.23999999999,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-12-09,2022-12-09,2022-12-15,4,13.4,18496.6,18496.6,BEAR_PUT,18450.0,18200.0,250.0,NIFTY_2022-12-15_18450.0_PE,NIFTY_2022-12-15_18200.0_PE,67.15,14.9,67.25,14.8,52.45,50,2622.5,18414.9,35.1,0.0,-867.5,53.42,-920.92,0,43066.31999999999,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2022-12-15,2022-12-15,2022-12-22,5,12.89,18414.9,18414.9,BEAR_PUT,18350.0,18100.0,250.0,NIFTY_2022-12-22_18350.0_PE,NIFTY_2022-12-22_18100.0_PE,82.15,25.15,82.25,25.05,57.2,50,2860.0,18127.35,222.65,0.0,8272.5,71.77,8200.73,1,51267.04999999999,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-01-12,2023-01-12,2023-01-19,5,15.44,17858.2,17858.2,BEAR_PUT,17800.0,17550.0,250.0,NIFTY_2023-01-19_17800.0_PE,NIFTY_2023-01-19_17550.0_PE,103.25,36.85,103.35,36.75,66.6,50,3330.0,18107.85,0.0,0.0,-3330.0,52.64,-3382.64,0,47884.40999999999,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-01-27,2023-01-27,2023-02-02,4,14.66,17604.35,17604.35,BEAR_PUT,17550.0,17300.0,250.0,NIFTY_2023-02-02_17550.0_PE,NIFTY_2023-02-02_17300.0_PE,149.65,72.45,149.75,72.35,77.4,50,3870.0,17610.4,0.0,0.0,-3870.0,56.25,-3926.25,0,43958.15999999999,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-02-09,2023-02-09,2023-02-16,5,13.6,17893.45,17893.45,BULL_CALL,17950.0,18200.0,250.0,NIFTY_2023-02-16_17950.0_CE,NIFTY_2023-02-16_18200.0_CE,96.3,19.55,96.4,19.45,76.95,50,3847.5,18035.85,85.85,0.0,445.0,59.28,385.72,1,44343.87999999999,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-03-13,2023-03-13,2023-03-16,3,13.41,17154.3,17154.3,BEAR_PUT,17100.0,16850.0,250.0,NIFTY_2023-03-16_17100.0_PE,NIFTY_2023-03-16_16850.0_PE,88.85,27.8,88.95,27.7,61.25,50,3062.5,16985.6,114.4,0.0,2657.5,62.18,2595.32,1,46939.19999999999,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-03-24,2023-03-24,2023-03-29,3,14.49,16945.05,16945.05,BEAR_PUT,16900.0,16650.0,250.0,NIFTY_2023-03-29_16900.0_PE,NIFTY_2023-03-29_16650.0_PE,86.7,27.0,86.8,26.9,59.9,50,2995.0,17080.7,0.0,0.0,-2995.0,51.53,-3046.53,0,43892.66999999999,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-03-31,2023-03-31,2023-04-06,3,13.63,17359.75,17359.75,BULL_CALL,17400.0,17650.0,250.0,NIFTY_2023-04-06_17400.0_CE,NIFTY_2023-04-06_17650.0_CE,78.75,9.6,78.85,9.5,69.35,50,3467.5,17599.15,199.15,0.0,6490.0,68.56,6421.44,1,50314.10999999999,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-04-27,2023-04-27,2023-05-04,4,11.65,17915.05,17915.05,BULL_CALL,17950.0,18200.0,250.0,NIFTY_2023-05-04_17950.0_CE,NIFTY_2023-05-04_18200.0_CE,78.5,9.15,78.6,9.05,69.55,50,3477.5,18255.8,305.8,55.8,9022.5,79.99,8942.51,1,59256.619999999995,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-05-04,2023-05-04,2023-05-11,5,11.84,18255.8,18255.8,BULL_CALL,18300.0,18550.0,250.0,NIFTY_2023-05-11_18300.0_CE,NIFTY_2023-05-11_18550.0_CE,72.45,10.7,72.55,10.6,61.95,50,3097.5,18297.0,0.0,0.0,-3097.5,50.1,-3147.6,0,56109.02,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-05-15,2023-05-15,2023-05-18,3,12.85,18398.85,18398.85,BULL_CALL,18450.0,18700.0,250.0,NIFTY_2023-05-18_18450.0_CE,NIFTY_2023-05-18_18700.0_CE,50.65,2.9,50.75,2.8,47.95,50,2397.5,18129.95,0.0,0.0,-2397.5,48.95,-2446.45,0,53662.57,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-05-26,2023-05-26,2023-06-01,4,12.52,18499.35,18499.35,BULL_CALL,18550.0,18800.0,250.0,NIFTY_2023-06-01_18550.0_CE,NIFTY_2023-06-01_18800.0_CE,64.85,6.3,64.95,6.2,58.75,50,2937.5,18487.75,0.0,0.0,-2937.5,49.59,-2987.09,0,50675.479999999996,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-06-16,2023-06-16,2023-06-22,4,11.08,18826.0,18826.0,BULL_CALL,18900.0,19150.0,250.0,NIFTY_2023-06-22_18900.0_CE,NIFTY_2023-06-22_19150.0_CE,58.7,5.25,58.8,5.15,53.65,50,2682.5,18771.25,0.0,0.0,-2682.5,49.34,-2731.84,0,47943.64,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-07-14,2023-07-14,2023-07-20,4,10.94,19564.5,19564.5,BULL_CALL,19600.0,19850.0,250.0,NIFTY_2023-07-20_19600.0_CE,NIFTY_2023-07-20_19850.0_CE,67.45,7.1,67.55,7.0,60.55,50,3027.5,19979.15,379.15,129.15,9472.5,88.45,9384.05,1,57327.69,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-08-17,2023-08-17,2023-08-24,5,12.13,19365.25,19365.25,BEAR_PUT,19300.0,19050.0,250.0,NIFTY_2023-08-24_19300.0_PE,NIFTY_2023-08-24_19050.0_PE,66.5,16.1,66.6,16.0,50.6,50,2530.0,19386.7,0.0,0.0,-2530.0,50.24,-2580.24,0,54747.450000000004,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-08-25,2023-08-25,2023-08-31,4,11.7,19265.8,19265.8,BEAR_PUT,19200.0,18950.0,250.0,NIFTY_2023-08-31_19200.0_PE,NIFTY_2023-08-31_18950.0_PE,69.15,15.0,69.25,14.9,54.35,50,2717.5,19253.8,0.0,0.0,-2717.5,50.26,-2767.76,0,51979.69,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-08-31,2023-08-31,2023-09-07,5,11.8,19253.8,19253.8,BEAR_PUT,19200.0,18950.0,250.0,NIFTY_2023-09-07_19200.0_PE,NIFTY_2023-09-07_18950.0_PE,50.8,14.9,50.9,14.8,36.1,50,1805.0,19727.05,0.0,0.0,-1805.0,49.68,-1854.68,0,50125.01,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-09-22,2023-09-22,2023-09-28,4,10.82,19674.25,19674.25,BEAR_PUT,19600.0,19350.0,250.0,NIFTY_2023-09-28_19600.0_PE,NIFTY_2023-09-28_19350.0_PE,50.35,11.8,50.45,11.7,38.75,50,1937.5,19523.55,76.45,0.0,1885.0,56.52,1828.48,1,51953.490000000005,5Y_PRIMARY
ORIGINAL_SAME_DAY_CLOSE,2023-09-28,2023-09-28,2023-10-05,4,11.59,19523.55,19523.55,BEAR_PUT,19450.0,19200.0,250.0,NIFTY_2023-10-05_19450.0_PE,NIFTY_2023-10-05_19200.0_PE,67.3,23.45,67.4,23.35,44.05,50,2202.5,19545.75,0.0,0.0,-2202.5,50.71,-2253.21,0,49700.280000000006,5Y_PRIMARY
