start_capital,risk_pct,ending_capital,cagr_pct,max_dd_inr,max_dd_pct,max_losing_streak,skipped_trades,candidate_id,candidate_name,period
50000.0,0.01,112408.06,17.59,32955.49,29.32,7,0,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",5Y_PRIMARY
50000.0,0.02,111695.08,17.44,32955.49,29.5,7,0,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",5Y_PRIMARY
50000.0,0.03,129003.3,20.87,32955.49,25.55,7,0,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",5Y_PRIMARY
50000.0,0.05,197332.57,31.6,38336.0,19.43,7,0,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",5Y_PRIMARY
75000.0,0.01,137170.4,12.83,32955.49,24.03,7,0,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",5Y_PRIMARY
75000.0,0.02,143972.77,13.93,32955.49,22.89,7,0,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",5Y_PRIMARY
75000.0,0.03,184983.09,19.79,28212.93,15.25,7,0,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",5Y_PRIMARY
75000.0,0.05,314082.27,33.17,58229.24,18.54,7,0,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",5Y_PRIMARY
100000.0,0.01,161695.08,10.09,32955.49,20.38,7,0,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",5Y_PRIMARY
100000.0,0.02,191544.62,13.88,26137.31,13.65,7,0,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",5Y_PRIMARY
100000.0,0.03,272344.43,22.19,35702.08,13.11,7,0,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",5Y_PRIMARY
100000.0,0.05,375267.01,30.28,78331.38,20.87,7,0,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",5Y_PRIMARY
50000.0,0.01,72580.92,5.0,49333.09,67.97,12,40,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",7.6Y_SECONDARY
50000.0,0.02,72343.26,4.95,49333.09,68.19,12,40,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",7.6Y_SECONDARY
50000.0,0.03,72105.6,4.91,49333.09,68.42,12,40,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",7.6Y_SECONDARY
50000.0,0.05,71762.41,4.84,49333.09,68.75,12,40,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",7.6Y_SECONDARY
75000.0,0.01,78019.68,0.52,73250.43,93.89,12,4,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",7.6Y_SECONDARY
75000.0,0.02,77782.02,0.48,73250.43,94.17,12,4,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",7.6Y_SECONDARY
75000.0,0.03,77306.7,0.4,73250.43,94.75,12,4,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",7.6Y_SECONDARY
75000.0,0.05,71844.31,-0.56,74251.19,99.0,12,7,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",7.6Y_SECONDARY
