candidate_id,execution_date,expiry_date,type,lot_size,debit_pts,capital_required_inr,gross_payoff_inr,statutory_costs_inr,net_pnl_inr,discrepancy
Candidate 1,2021-09-24,2021-09-30,BULL_CALL,50,45.3,2265.0,-2265.0,53.97,-2318.97,0.0
Candidate 1,2021-10-11,2021-10-14,BULL_CALL,50,60.9,3045.0,4455.0,102.51,4352.49,0.0
Candidate 1,2021-10-29,2021-11-03,BEAR_PUT,50,37.95,1897.5,-1897.5,56.11,-1953.61,0.0
Candidate 1,2021-11-15,2021-11-18,BULL_CALL,50,12.6,630.0,-630.0,50.8,-680.8,0.0
Candidate 1,2021-11-22,2021-11-25,BEAR_PUT,50,59.2,2960.0,4540.0,74.63,4465.37,0.0
Candidate 1,2021-11-25,2021-12-02,BEAR_PUT,50,44.3,2215.0,-2215.0,56.66,-2271.66,0.0
Candidate 1,2021-12-07,2021-12-09,BEAR_PUT,50,20.2,1010.0,-1010.0,55.17,-1065.17,0.0
Candidate 1,2021-12-21,2021-12-23,BEAR_PUT,50,42.75,2137.5,-2137.5,55.63,-2193.13,0.0
Candidate 1,2022-01-03,2022-01-06,BULL_CALL,50,51.3,2565.0,4935.0,83.36,4851.64,0.0
Candidate 1,2022-01-11,2022-01-13,BULL_CALL,50,77.2,3860.0,3640.0,74.1,3565.9,0.0
Candidate 1,2022-01-18,2022-01-20,BULL_CALL,50,47.75,2387.5,-2387.5,50.79,-2438.29,0.0
Candidate 1,2022-01-24,2022-01-27,BEAR_PUT,50,67.25,3362.5,4137.5,103.66,4033.84,0.0
Candidate 1,2022-01-28,2022-02-03,BEAR_PUT,50,90.25,4512.5,-4512.5,65.61,-4578.11,0.0
Candidate 1,2022-02-15,2022-02-17,BEAR_PUT,50,45.55,2277.5,-2277.5,61.89,-2339.39,0.0
Candidate 1,2022-03-30,2022-03-31,BULL_CALL,50,32.1,1605.0,-1605.0,50.59,-1655.59,0.0
Candidate 1,2022-04-04,2022-04-07,BULL_CALL,50,42.95,2147.5,-2147.5,51.3,-2198.8,0.0
Candidate 1,2022-04-19,2022-04-21,BEAR_PUT,50,59.8,2990.0,-2990.0,53.22,-3043.22,0.0
Candidate 1,2022-04-26,2022-04-28,BEAR_PUT,50,17.45,872.5,-872.5,53.43,-925.93,0.0
Candidate 1,2022-05-09,2022-05-12,BEAR_PUT,50,40.25,2012.5,5487.5,100.05,5387.45,0.0
Candidate 1,2022-05-30,2022-06-02,BULL_CALL,50,55.25,2762.5,-1362.5,54.24,-1416.74,0.0
Candidate 1,2022-06-13,2022-06-16,BEAR_PUT,50,12.8,640.0,6860.0,108.19,6751.81,0.0
Candidate 1,2022-06-28,2022-06-30,BULL_CALL,50,50.6,2530.0,-2530.0,54.88,-2584.88,0.0
Candidate 1,2022-07-07,2022-07-14,BULL_CALL,50,70.6,3530.0,-3530.0,56.74,-3586.74,0.0
Candidate 1,2022-07-19,2022-07-21,BULL_CALL,50,68.9,3445.0,4055.0,90.03,3964.97,0.0
Candidate 1,2022-07-29,2022-08-04,BULL_CALL,50,21.4,1070.0,6430.0,76.58,6353.42,0.0
Candidate 1,2022-08-08,2022-08-11,BULL_CALL,50,68.1,3405.0,4095.0,74.16,4020.84,0.0
Candidate 1,2022-08-30,2022-09-01,BEAR_PUT,50,30.2,1510.0,-1510.0,52.72,-1562.72,0.0
Candidate 1,2022-09-09,2022-09-15,BULL_CALL,50,61.7,3085.0,-3085.0,54.64,-3139.64,0.0
Candidate 1,2022-09-19,2022-09-22,BEAR_PUT,50,24.4,1220.0,-1220.0,55.95,-1275.95,0.0
Candidate 1,2022-09-26,2022-09-29,BEAR_PUT,50,84.9,4245.0,3255.0,85.22,3169.78,0.0
Candidate 1,2022-10-19,2022-10-20,BULL_CALL,50,51.2,2560.0,-2560.0,49.85,-2609.85,0.0
Candidate 1,2022-10-28,2022-11-03,BULL_CALL,50,55.2,2760.0,4740.0,81.18,4658.82,0.0
Candidate 1,2022-11-09,2022-11-10,BULL_CALL,50,32.75,1637.5,-1637.5,48.89,-1686.39,0.0
Candidate 1,2022-11-14,2022-11-17,BULL_CALL,50,50.85,2542.5,-2542.5,51.33,-2593.83,0.0
Candidate 1,2022-11-25,2022-12-01,BULL_CALL,50,48.55,2427.5,5072.5,72.65,4999.85,0.0
Candidate 1,2022-12-12,2022-12-15,BEAR_PUT,50,30.45,1522.5,-1522.5,49.86,-1572.36,0.0
Candidate 1,2022-12-16,2022-12-22,BEAR_PUT,50,31.55,1577.5,4555.0,63.56,4491.44,0.0
Candidate 1,2022-12-22,2022-12-29,BEAR_PUT,50,44.95,2247.5,702.5,60.17,642.33,0.0
Candidate 1,2023-01-13,2023-01-19,BEAR_PUT,50,53.5,2675.0,-2675.0,53.72,-2728.72,0.0
Candidate 1,2023-01-19,2023-01-25,BULL_CALL,50,58.35,2917.5,-2917.5,55.78,-2973.28,0.0
Candidate 1,2023-01-30,2023-02-02,BEAR_PUT,50,3.55,177.5,-177.5,60.16,-237.66,0.0
Candidate 1,2023-02-10,2023-02-16,BULL_CALL,50,53.2,2660.0,4132.5,65.48,4067.02,0.0
