candidate_id,regime_type,regime,trades,win_rate_pct,net_pnl_inr,profit_factor
Candidate 1,TREND,BEAR,48,47.9,59556.17,1.985
Candidate 1,TREND,BULL,115,31.3,-66911.88,0.681
Candidate 1,TREND,SIDEWAYS,65,35.4,245.87,1.002
Candidate 2,TREND,BEAR,46,50.0,68383.92,1.858
Candidate 2,TREND,BULL,114,35.1,-94913.79,0.666
Candidate 2,TREND,SIDEWAYS,65,38.5,433.91,1.003
Candidate 3,TREND,BEAR,48,45.8,89433.73,1.863
Candidate 3,TREND,BULL,115,33.0,-123230.9,0.633
Candidate 3,TREND,SIDEWAYS,65,36.9,-25298.54,0.867
Candidate 1,VIX,HIGH_VIX (>19),52,34.6,-19527.05,0.799
Candidate 1,VIX,LOW_VIX (<14),94,41.5,44698.29,1.313
Candidate 1,VIX,MID_VIX (14-19),82,30.5,-32281.08,0.771
Candidate 2,VIX,HIGH_VIX (>19),48,37.5,-41223.84,0.69
Candidate 2,VIX,LOW_VIX (<14),94,44.7,59094.58,1.308
Candidate 2,VIX,MID_VIX (14-19),83,33.7,-43966.7,0.771
Candidate 3,VIX,HIGH_VIX (>19),52,34.6,-44548.98,0.734
Candidate 3,VIX,LOW_VIX (<14),94,42.6,66190.62,1.299
Candidate 3,VIX,MID_VIX (14-19),82,31.7,-80737.35,0.664
