candidate_id,test_category,test_name,trades,net_pnl_inr,profit_factor
Candidate 1,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.0,158,62883.38,1.277
Candidate 1,COST_AND_SLIPPAGE,Cost_x2.0_Slip_x1.0,158,52280.6,1.225
Candidate 1,COST_AND_SLIPPAGE,Cost_x3.0_Slip_x1.0,158,41677.81,1.175
Candidate 1,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.25,158,62461.29,1.275
Candidate 1,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.5,158,62039.28,1.272
Candidate 1,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x2.0,158,61195.08,1.268
Candidate 1,OUTLIER_REMOVAL,Best_1_Trades_Removed,157,53934.44,1.237
Candidate 1,OUTLIER_REMOVAL,Best_3_Trades_Removed,155,37406.74,1.165
Candidate 1,OUTLIER_REMOVAL,Best_5_Trades_Removed,153,21770.81,1.096
Candidate 1,OUTLIER_REMOVAL,Best_10_Trades_Removed,148,-14676.51,0.935
Candidate 1,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_50k,5,-12089.43,24.18
Candidate 1,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_75k,5,-12089.43,16.12
Candidate 1,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_100k,5,-12089.43,12.09
Candidate 1,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_50k,10,-24178.86,48.36
Candidate 1,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_75k,10,-24178.86,32.24
Candidate 1,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_100k,10,-24178.86,24.18
Candidate 1,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_50k,15,-36268.3,72.54
Candidate 1,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_75k,15,-36268.3,48.36
Candidate 1,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_100k,15,-36268.3,36.27
Candidate 1,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_50k,20,-48357.73,96.72
Candidate 1,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_75k,20,-48357.73,64.48
Candidate 1,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_100k,20,-48357.73,48.36
Candidate 2,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.0,157,68812.14,1.223
Candidate 2,COST_AND_SLIPPAGE,Cost_x2.0_Slip_x1.0,157,57866.76,1.184
Candidate 2,COST_AND_SLIPPAGE,Cost_x3.0_Slip_x1.0,157,46921.37,1.147
Candidate 2,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.25,157,68391.31,1.221
Candidate 2,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.5,157,67970.51,1.22
Candidate 2,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x2.0,157,67128.76,1.217
Candidate 2,OUTLIER_REMOVAL,Best_1_Trades_Removed,156,57425.92,1.186
Candidate 2,OUTLIER_REMOVAL,Best_3_Trades_Removed,154,36203.34,1.117
Candidate 2,OUTLIER_REMOVAL,Best_5_Trades_Removed,152,16524.58,1.054
Candidate 2,OUTLIER_REMOVAL,Best_10_Trades_Removed,147,-29370.85,0.905
Candidate 2,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_50k,5,-17545.24,35.09
Candidate 2,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_75k,5,-17545.24,23.39
Candidate 2,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_100k,5,-17545.24,17.55
Candidate 2,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_50k,10,-35090.48,70.18
Candidate 2,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_75k,10,-35090.48,46.79
Candidate 2,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_100k,10,-35090.48,35.09
Candidate 2,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_50k,15,-52635.72,105.27
Candidate 2,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_75k,15,-52635.72,70.18
Candidate 2,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_100k,15,-52635.72,52.64
Candidate 2,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_50k,20,-70180.96,140.36
Candidate 2,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_75k,20,-70180.96,93.57
Candidate 2,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_100k,20,-70180.96,70.18
Candidate 3,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.0,158,65955.22,1.172
Candidate 3,COST_AND_SLIPPAGE,Cost_x2.0_Slip_x1.0,158,54973.19,1.141
Candidate 3,COST_AND_SLIPPAGE,Cost_x3.0_Slip_x1.0,158,43991.23,1.111
Candidate 3,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.25,158,65531.88,1.17
Candidate 3,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x1.5,158,65108.53,1.169
Candidate 3,COST_AND_SLIPPAGE,Cost_x1.0_Slip_x2.0,158,64261.89,1.167
Candidate 3,OUTLIER_REMOVAL,Best_1_Trades_Removed,157,52867.76,1.138
Candidate 3,OUTLIER_REMOVAL,Best_3_Trades_Removed,155,28219.09,1.073
Candidate 3,OUTLIER_REMOVAL,Best_5_Trades_Removed,153,4234.12,1.011
Candidate 3,OUTLIER_REMOVAL,Best_10_Trades_Removed,148,-52665.17,0.863
Candidate 3,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_50k,5,-20440.56,40.88
Candidate 3,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_75k,5,-20440.56,27.25
Candidate 3,LOSS_STREAK_SIMULATION,5_Consecutive_Losses_on_100k,5,-20440.56,20.44
Candidate 3,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_50k,10,-40881.13,81.76
Candidate 3,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_75k,10,-40881.13,54.51
Candidate 3,LOSS_STREAK_SIMULATION,10_Consecutive_Losses_on_100k,10,-40881.13,40.88
Candidate 3,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_50k,15,-61321.69,122.64
Candidate 3,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_75k,15,-61321.69,81.76
Candidate 3,LOSS_STREAK_SIMULATION,15_Consecutive_Losses_on_100k,15,-61321.69,61.32
Candidate 3,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_50k,20,-81762.26,163.52
Candidate 3,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_75k,20,-81762.26,109.02
Candidate 3,LOSS_STREAK_SIMULATION,20_Consecutive_Losses_on_100k,20,-81762.26,81.76
