signal_date,execution_date,year,expiry_date,dte_sessions,vix,signal_spot,exec_spot,type,long_strike,short_strike,wing_width,strike_offset,long_raw_price,short_raw_price,long_fill_price,short_fill_price,debit_pts,lot_size,capital_required_inr,settlement_price,gross_payoff_inr,statutory_costs_inr,net_pnl_inr,is_win,cum_net_pnl,candidate_id,candidate_name,in_primary_5y
2019-03-28,2019-03-29,2019,2019-04-04,4,17.05,11570.0,11625.45,BULL_CALL,11700.0,11850.0,150.0,50.0,69.4,25.0,69.5,24.9,44.6,75,3345.0,11598.0,-3345.0,52.71,-3397.71,0,-3397.71,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",0
2019-04-16,2019-04-18,2019,2019-04-25,4,21.39,11787.15,11856.15,BULL_CALL,11900.0,12050.0,150.0,50.0,49.45,9.3,49.55,9.2,40.35,75,3026.25,11641.8,-3026.25,50.35,-3076.6,0,-6474.3099999999995,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",0
2019-05-24,2019-05-27,2019,2019-05-30,3,19.41,11844.1,11855.5,BULL_CALL,11900.0,12050.0,150.0,50.0,61.25,20.0,61.35,19.9,41.45,75,3108.75,11945.9,333.75,58.21,275.54,1,-6198.7699999999995,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",0
2019-05-30,2019-05-31,2019,2019-06-06,3,16.41,11945.9,11999.8,BULL_CALL,12050.0,12200.0,150.0,50.0,48.1,14.5,48.2,14.4,33.8,75,2535.0,11843.75,-2535.0,50.76,-2585.76,0,-8784.529999999999,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",0
2019-06-14,2019-06-17,2019,2019-06-20,3,13.66,11823.3,11844.0,BEAR_PUT,11800.0,11650.0,150.0,50.0,48.2,16.1,48.3,16.0,32.3,75,2422.5,11831.75,-2422.5,50.91,-2473.41,0,-11257.939999999999,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",0
2019-07-01,2019-07-02,2019,2019-07-04,2,14.95,11865.6,11890.3,BULL_CALL,11950.0,12100.0,150.0,50.0,29.5,3.85,29.6,3.75,25.85,75,1938.75,11946.75,-1938.75,48.92,-1987.67,0,-13245.609999999999,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",0
2019-07-08,2019-07-09,2019,2019-07-11,2,13.07,11558.6,11531.6,BEAR_PUT,11500.0,11350.0,150.0,50.0,47.0,11.9,47.1,11.8,35.3,75,2647.5,11582.9,-2647.5,50.47,-2697.97,0,-15943.579999999998,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",0
2019-07-19,2019-07-22,2019,2019-07-25,3,11.75,11419.25,11392.85,BEAR_PUT,11350.0,11200.0,150.0,50.0,48.15,14.9,48.25,14.8,33.45,75,2508.75,11252.15,4830.0,64.31,4765.69,1,-11177.89,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",0
2019-07-29,2019-07-30,2019,2019-08-01,2,12.13,11189.2,11213.7,BEAR_PUT,11150.0,11000.0,150.0,50.0,28.95,7.8,29.05,7.7,21.35,75,1601.25,10980.0,9648.75,73.62,9575.13,1,-1602.7600000000002,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",0
2019-08-01,2019-08-02,2019,2019-08-08,4,13.59,10980.0,10930.3,BEAR_PUT,10900.0,10750.0,150.0,50.0,87.75,38.85,87.85,38.75,49.1,75,3682.5,11032.45,-3682.5,54.83,-3737.33,0,-5340.09,Candidate 1,"Causal 10D Breakout OTM Debit Spread (W150, Off50)",0
