cagr_5th,cagr_25th,cagr_50th_median,cagr_75th,cagr_95th,max_dd_5th,max_dd_25th,max_dd_50th_median,max_dd_75th,max_dd_95th,prob_dd_20pct,prob_dd_30pct,prob_dd_40pct,prob_dd_50pct,candidate,simulation_type,capital_tier
4.08,6.33,7.66,8.85,10.25,2.75,3.86,5.33,7.36,12.12,0.36,0.02,0.0,0.0,C1_TREND_AUTO_1.8SD_W200,bootstrap,"Rs_50,000"
7.59,7.59,7.59,7.59,7.59,5.12,5.3,5.3,6.71,8.82,0.0,0.0,0.0,0.0,C1_TREND_AUTO_1.8SD_W200,permutation,"Rs_50,000"
2.12,3.36,4.11,4.8,5.62,1.71,2.27,3.14,4.26,6.82,0.0,0.0,0.0,0.0,C1_TREND_AUTO_1.8SD_W200,bootstrap,"Rs_100,000"
4.07,4.07,4.07,4.07,4.07,3.07,3.13,3.13,3.98,5.23,0.0,0.0,0.0,0.0,C1_TREND_AUTO_1.8SD_W200,permutation,"Rs_100,000"
2.54,4.65,5.82,6.81,7.92,0.0,3.29,5.68,6.59,12.06,0.34,0.0,0.0,0.0,C2_BULL_PUT_1.8SD_W200,bootstrap,"Rs_50,000"
5.71,5.71,5.71,5.71,5.71,5.54,5.79,5.79,5.79,8.5,0.0,0.0,0.0,0.0,C2_BULL_PUT_1.8SD_W200,permutation,"Rs_50,000"
1.3,2.43,3.08,3.63,4.26,0.0,1.9,3.26,3.68,6.64,0.0,0.0,0.0,0.0,C2_BULL_PUT_1.8SD_W200,bootstrap,"Rs_100,000"
3.01,3.01,3.01,3.01,3.01,3.21,3.29,3.29,3.29,4.87,0.0,0.0,0.0,0.0,C2_BULL_PUT_1.8SD_W200,permutation,"Rs_100,000"
1.43,2.27,2.77,3.21,3.75,0.1,0.16,2.61,2.72,4.85,0.0,0.0,0.0,0.0,C3_TREND_AUTO_2.0SD_W100,bootstrap,"Rs_50,000"
2.72,2.72,2.72,2.72,2.72,2.58,2.62,2.62,2.66,2.72,0.0,0.0,0.0,0.0,C3_TREND_AUTO_2.0SD_W100,permutation,"Rs_50,000"
0.72,1.16,1.42,1.66,1.94,0.05,0.09,1.4,1.44,2.54,0.0,0.0,0.0,0.0,C3_TREND_AUTO_2.0SD_W100,bootstrap,"Rs_100,000"
1.4,1.4,1.4,1.4,1.4,1.39,1.4,1.4,1.42,1.45,0.0,0.0,0.0,0.0,C3_TREND_AUTO_2.0SD_W100,permutation,"Rs_100,000"
