candidate,param_type,param_value,trades,win_rate_pct,net_pnl,profit_factor
C1_TREND_AUTO,EM_MULTIPLIER,1.62,139,95.7,21736.07,1.92
C1_TREND_AUTO,EM_MULTIPLIER,1.71,139,95.7,22614.77,2.481
C1_TREND_AUTO,EM_MULTIPLIER,1.8,139,95.0,22097.52,3.196
C1_TREND_AUTO,EM_MULTIPLIER,1.89,139,95.0,21591.39,5.166
C1_TREND_AUTO,EM_MULTIPLIER,1.98,139,92.1,20843.7,12.606
C1_TREND_AUTO,WING_WIDTH,100,139,89.9,4927.25,1.469
C1_TREND_AUTO,WING_WIDTH,150,139,95.0,14629.25,2.429
C1_TREND_AUTO,WING_WIDTH,200,139,95.0,22097.52,3.196
C1_TREND_AUTO,WING_WIDTH,250,139,96.4,28691.04,3.884
C1_TREND_AUTO,MAX_VIX,16,97,95.9,16908.67,5.748
C1_TREND_AUTO,MAX_VIX,18,117,96.6,21233.17,6.963
C1_TREND_AUTO,MAX_VIX,20,139,95.0,22097.52,3.196
C1_TREND_AUTO,MAX_VIX,22,148,95.3,24090.93,3.394
