trade_id,date,expiry,engine_a_gross,engine_b_gross,diff_gross,engine_a_costs,engine_b_costs,diff_costs,engine_a_net,engine_b_net,diff_net
1,2021-09-30,2021-10-07,277.0,277.0,0.0,58.21,58.21,0.0,218.79,218.79,0.0
2,2021-10-07,2021-10-14,162.5,162.5,0.0,58.01,58.01,0.0,104.49,104.49,0.0
3,2021-10-21,2021-10-28,317.0,317.0,0.0,58.29,58.29,0.0,258.71,258.71,0.0
4,2021-11-03,2021-11-11,215.0,215.0,0.0,58.01,58.01,0.0,156.99,156.99,0.0
5,2021-11-11,2021-11-18,183.0,183.0,0.0,57.85,57.85,0.0,125.15,125.15,0.0
6,2021-12-09,2021-12-16,94.0,94.0,0.0,57.55,57.55,0.0,36.45,36.45,0.0
7,2021-12-16,2021-12-23,171.0,171.0,0.0,57.79,57.79,0.0,113.21,113.21,0.0
8,2021-12-23,2021-12-30,191.0,191.0,0.0,57.79,57.79,0.0,133.21,133.21,0.0
9,2021-12-30,2022-01-06,59.0,59.0,0.0,57.52,57.52,0.0,1.48,1.48,0.0
10,2022-01-06,2022-01-13,388.0,388.0,0.0,58.75,58.75,0.0,329.25,329.25,0.0
11,2022-01-13,2022-01-20,227.5,227.5,0.0,58.09,58.09,0.0,169.41,169.41,0.0
12,2022-02-03,2022-02-10,596.5,596.5,0.0,59.2,59.2,0.0,537.3,537.3,0.0
13,2022-02-10,2022-02-17,207.5,207.5,0.0,58.1,58.1,0.0,149.4,149.4,0.0
14,2022-04-21,2022-04-28,331.0,331.0,0.0,58.53,58.53,0.0,272.47,272.47,0.0
15,2022-06-09,2022-06-16,121.5,121.5,0.0,57.57,57.57,0.0,63.93,63.93,0.0
16,2022-07-14,2022-07-21,-2621.5,-2621.5,0.0,59.2,59.2,0.0,-2680.7,-2680.7,0.0
17,2022-07-21,2022-07-28,361.5,361.5,0.0,58.39,58.39,0.0,303.11,303.11,0.0
18,2022-07-28,2022-08-04,299.5,299.5,0.0,58.27,58.27,0.0,241.23,241.23,0.0
19,2022-09-01,2022-09-08,500.5,500.5,0.0,58.82,58.82,0.0,441.68,441.68,0.0
20,2022-09-08,2022-09-15,195.0,195.0,0.0,57.97,57.97,0.0,137.03,137.03,0.0
21,2022-09-15,2022-09-22,344.0,344.0,0.0,58.38,58.38,0.0,285.62,285.62,0.0
22,2022-09-22,2022-09-29,-3758.0,-3758.0,0.0,60.73,60.73,0.0,-3818.73,-3818.73,0.0
23,2022-10-06,2022-10-13,56.5,56.5,0.0,57.45,57.45,0.0,-0.95,-0.95,0.0
24,2022-10-27,2022-11-03,285.5,285.5,0.0,58.01,58.01,0.0,227.49,227.49,0.0
25,2022-11-10,2022-11-17,148.5,148.5,0.0,57.8,57.8,0.0,90.7,90.7,0.0
26,2022-11-17,2022-11-24,185.5,185.5,0.0,57.89,57.89,0.0,127.61,127.61,0.0
27,2022-11-24,2022-12-01,167.5,167.5,0.0,57.91,57.91,0.0,109.59,109.59,0.0
28,2022-12-08,2022-12-15,101.0,101.0,0.0,57.66,57.66,0.0,43.34,43.34,0.0
29,2022-12-15,2022-12-22,270.0,270.0,0.0,58.07,58.07,0.0,211.93,211.93,0.0
30,2022-12-22,2022-12-29,130.5,130.5,0.0,57.83,57.83,0.0,72.67,72.67,0.0
31,2022-12-29,2023-01-05,56.5,56.5,0.0,57.45,57.45,0.0,-0.95,-0.95,0.0
32,2023-01-05,2023-01-12,123.5,123.5,0.0,57.62,57.62,0.0,65.88,65.88,0.0
33,2023-01-12,2023-01-19,188.5,188.5,0.0,57.77,57.77,0.0,130.73,130.73,0.0
34,2023-01-25,2023-02-02,611.0,611.0,0.0,58.65,58.65,0.0,552.35,552.35,0.0
35,2023-02-09,2023-02-16,109.0,109.0,0.0,57.55,57.55,0.0,51.45,51.45,0.0
36,2023-02-16,2023-02-23,116.0,116.0,0.0,57.6,57.6,0.0,58.4,58.4,0.0
37,2023-03-09,2023-03-16,161.0,161.0,0.0,57.64,57.64,0.0,103.36,103.36,0.0
38,2023-04-20,2023-04-27,138.5,138.5,0.0,57.7,57.7,0.0,80.8,80.8,0.0
39,2023-05-04,2023-05-11,146.0,146.0,0.0,57.75,57.75,0.0,88.25,88.25,0.0
40,2023-05-11,2023-05-18,158.0,158.0,0.0,57.86,57.86,0.0,100.14,100.14,0.0
41,2023-05-18,2023-05-25,141.0,141.0,0.0,57.67,57.67,0.0,83.33,83.33,0.0
42,2023-05-25,2023-06-01,126.0,126.0,0.0,57.67,57.67,0.0,68.33,68.33,0.0
43,2023-06-01,2023-06-08,193.5,193.5,0.0,57.74,57.74,0.0,135.76,135.76,0.0
44,2023-06-15,2023-06-22,148.5,148.5,0.0,57.81,57.81,0.0,90.69,90.69,0.0
45,2023-07-13,2023-07-20,126.0,126.0,0.0,57.74,57.74,0.0,68.26,68.26,0.0
46,2023-07-27,2023-08-03,248.0,248.0,0.0,57.97,57.97,0.0,190.03,190.03,0.0
47,2023-08-03,2023-08-10,195.5,195.5,0.0,57.83,57.83,0.0,137.67,137.67,0.0
48,2023-08-17,2023-08-24,126.0,126.0,0.0,57.64,57.64,0.0,68.36,68.36,0.0
49,2023-08-24,2023-08-31,203.5,203.5,0.0,57.77,57.77,0.0,145.73,145.73,0.0
50,2023-08-31,2023-09-07,146.0,146.0,0.0,57.57,57.57,0.0,88.43,88.43,0.0
51,2023-09-07,2023-09-14,202.5,202.5,0.0,57.93,57.93,0.0,144.57,144.57,0.0
52,2023-09-21,2023-09-28,304.5,304.5,0.0,58.11,58.11,0.0,246.39,246.39,0.0
53,2023-10-05,2023-10-12,34.5,34.5,0.0,57.4,57.4,0.0,-22.9,-22.9,0.0
54,2023-10-12,2023-10-19,265.0,265.0,0.0,58.06,58.06,0.0,206.94,206.94,0.0
55,2023-11-16,2023-11-23,181.0,181.0,0.0,57.81,57.81,0.0,123.19,123.19,0.0
56,2024-01-04,2024-01-11,106.0,106.0,0.0,57.68,57.68,0.0,48.32,48.32,0.0
57,2024-01-11,2024-01-18,287.5,287.5,0.0,58.02,58.02,0.0,229.48,229.48,0.0
58,2024-02-01,2024-02-08,299.5,299.5,0.0,58.26,58.26,0.0,241.24,241.24,0.0
59,2024-02-08,2024-02-15,359.0,359.0,0.0,58.37,58.37,0.0,300.63,300.63,0.0
60,2024-02-15,2024-02-22,210.0,210.0,0.0,58.03,58.03,0.0,151.97,151.97,0.0
61,2024-02-22,2024-02-29,269.5,269.5,0.0,58.13,58.13,0.0,211.37,211.37,0.0
62,2024-02-29,2024-03-07,195.0,195.0,0.0,57.94,57.94,0.0,137.06,137.06,0.0
63,2024-03-14,2024-03-21,218.0,218.0,0.0,57.93,57.93,0.0,160.07,160.07,0.0
64,2024-04-18,2024-04-25,447.0,447.0,0.0,58.26,58.26,0.0,388.74,388.74,0.0
65,2024-05-02,2024-05-09,-2207.5,-2207.5,0.0,54.0,54.0,0.0,-2261.5,-2261.5,0.0
66,2024-05-09,2024-05-16,84.0,84.0,0.0,52.53,52.53,0.0,31.47,31.47,0.0
67,2024-06-06,2024-06-13,196.75,196.75,0.0,53.25,53.25,0.0,143.5,143.5,0.0
68,2024-06-20,2024-06-27,121.25,121.25,0.0,52.64,52.64,0.0,68.61,68.61,0.0
69,2024-06-27,2024-07-04,203.75,203.75,0.0,53.04,53.04,0.0,150.71,150.71,0.0
70,2024-07-25,2024-08-01,229.0,229.0,0.0,52.92,52.92,0.0,176.08,176.08,0.0
71,2024-08-14,2024-08-22,144.25,144.25,0.0,52.81,52.81,0.0,91.44,91.44,0.0
72,2024-08-22,2024-08-29,65.0,65.0,0.0,52.6,52.6,0.0,12.4,12.4,0.0
73,2024-08-29,2024-09-05,71.25,71.25,0.0,52.59,52.59,0.0,18.66,18.66,0.0
74,2024-09-05,2024-09-12,63.75,63.75,0.0,52.55,52.55,0.0,11.2,11.2,0.0
75,2024-09-12,2024-09-19,165.0,165.0,0.0,53.0,53.0,0.0,112.0,112.0,0.0
76,2024-09-19,2024-09-26,148.75,148.75,0.0,53.03,53.03,0.0,95.72,95.72,0.0
77,2024-10-03,2024-10-10,236.25,236.25,0.0,53.65,53.65,0.0,182.6,182.6,0.0
