trade_id,candidate,sess,expiry,spot,settle,vix,rsi,em,lot,structure,spread_type,short_strike,wing_strike,short_fill,wing_fill,credit_pts,wing_width,max_risk,gross,brokerage,stt,exchange_fees,gst,stamp_duty,sebi,slippage,total_costs,net
1,C1_TREND_AUTO_1.8SD_W200,2021-09-30,2021-10-07,17618.15,17790.35,18.84,68.66570975850259,388.49,50,spread,BULL_PUT,16900.0,16700.0,12.86,7.32,5.54,200.0,9723.0,277.0,40.0,0.4,0.5,7.29,0.01,0.0,10.0,58.21,218.79
2,C1_TREND_AUTO_1.8SD_W200,2021-10-07,2021-10-14,17790.35,18338.55,17.33,58.78552569165237,360.85,50,spread,BULL_PUT,17150.0,16950.0,9.92,6.67,3.25,200.0,9837.5,162.5,40.0,0.31,0.41,7.27,0.01,0.0,10.0,58.01,104.49
3,C1_TREND_AUTO_1.8SD_W200,2021-10-21,2021-10-28,18178.1,17857.25,18.31,67.01250186454476,389.56,50,spread,BULL_PUT,17500.0,17300.0,13.96,7.62,6.34,200.0,9683.0,317.0,40.0,0.44,0.54,7.3,0.01,0.0,10.0,58.29,258.71
4,C1_TREND_AUTO_1.8SD_W200,2021-11-03,2021-11-11,17829.2,17873.6,17.06,49.8221810004215,356.0,50,spread,BULL_PUT,17200.0,17000.0,10.32,6.02,4.3,200.0,9785.0,215.0,40.0,0.32,0.41,7.27,0.01,0.0,10.0,58.01,156.99
5,C1_TREND_AUTO_1.8SD_W200,2021-11-11,2021-11-18,17873.6,17764.8,16.31,53.4507691152153,341.2,50,spread,BULL_PUT,17250.0,17050.0,8.32,4.66,3.66,200.0,9817.0,183.0,40.0,0.26,0.32,7.26,0.01,0.0,10.0,57.85,125.15
6,C1_TREND_AUTO_1.8SD_W200,2021-12-09,2021-12-16,17516.85,17248.4,17.27,49.32450582807695,354.07,50,spread,BEAR_CALL,18150.0,18350.0,4.49,2.61,1.88,200.0,9906.0,94.0,40.0,0.14,0.18,7.23,0.0,0.0,10.0,57.55,36.45
7,C1_TREND_AUTO_1.8SD_W200,2021-12-16,2021-12-23,17248.4,17072.6,17.22,43.54994501418106,347.63,50,spread,BEAR_CALL,17850.0,18050.0,7.63,4.21,3.42,200.0,9829.0,171.0,40.0,0.24,0.3,7.25,0.01,0.0,10.0,57.79,113.21
8,C1_TREND_AUTO_1.8SD_W200,2021-12-23,2021-12-30,17072.6,17203.95,16.58,42.07689254272108,331.3,50,spread,BEAR_CALL,17650.0,17850.0,7.73,3.91,3.82,200.0,9809.0,191.0,40.0,0.24,0.29,7.25,0.01,0.0,10.0,57.79,133.21
9,C1_TREND_AUTO_1.8SD_W200,2021-12-30,2022-01-06,17203.95,17745.9,16.24,49.26786399004135,327.0,50,spread,BEAR_CALL,17800.0,18000.0,3.84,2.66,1.18,200.0,9941.0,59.0,40.0,0.12,0.16,7.23,0.0,0.0,10.0,57.52,1.48
10,C1_TREND_AUTO_1.8SD_W200,2022-01-06,2022-01-13,17745.9,18257.8,17.23,65.47398052529954,357.87,50,spread,BULL_PUT,17100.0,16900.0,19.49,11.73,7.76,200.0,9612.0,388.0,40.0,0.61,0.78,7.34,0.02,0.0,10.0,58.75,329.25
11,C1_TREND_AUTO_1.8SD_W200,2022-01-13,2022-01-20,18257.8,17757.0,17.18,68.52470253210022,367.12,50,spread,BULL_PUT,17600.0,17400.0,11.27,6.72,4.55,200.0,9772.5,227.5,40.0,0.35,0.45,7.28,0.01,0.0,10.0,58.09,169.41
12,C1_TREND_AUTO_1.8SD_W200,2022-02-03,2022-02-10,17560.2,17605.85,18.65,54.74479141466749,383.31,50,spread,BULL_PUT,16850.0,16650.0,25.77,13.84,11.93,200.0,9403.5,596.5,40.0,0.81,0.99,7.38,0.02,0.0,10.0,59.2,537.3
