candidate,year,trades,wins,losses,win_rate_pct,gross_pnl,costs,net_pnl,max_dd,profit_factor
C1_TREND_AUTO_1.8SD_W200,2019,12,8,4,66.7,-13539.75,823.28,-14363.03,15618.62,0.084
C1_TREND_AUTO_1.8SD_W200,2020,10,9,1,90.0,-10866.0,652.32,-11518.32,14498.35,0.206
C1_TREND_AUTO_1.8SD_W200,2021,20,20,0,100.0,5050.0,1193.16,3856.84,0.0,Inf
C1_TREND_AUTO_1.8SD_W200,2022,22,18,4,81.8,-1405.5,1282.07,-2687.57,5091.71,0.587
C1_TREND_AUTO_1.8SD_W200,2023,24,23,1,95.8,4393.0,1386.86,3006.14,22.9,132.272
C1_TREND_AUTO_1.8SD_W200,2024,29,27,2,93.1,2225.25,1594.27,630.98,2276.71,1.178
C1_TREND_AUTO_1.8SD_W200,2025,34,34,0,100.0,15385.05,2193.34,13191.71,0.0,Inf
C1_TREND_AUTO_1.8SD_W200,2026,21,21,0,100.0,8109.4,1301.62,6807.78,0.0,Inf
C2_BULL_PUT_1.8SD_W200,2019,9,7,2,77.8,976.5,567.99,408.51,847.08,1.474
C2_BULL_PUT_1.8SD_W200,2020,9,8,1,88.9,-12106.5,587.2,-12693.7,14498.35,0.124
C2_BULL_PUT_1.8SD_W200,2021,15,15,0,100.0,4338.5,899.65,3438.85,0.0,Inf
C2_BULL_PUT_1.8SD_W200,2022,17,16,1,94.1,851.0,992.57,-141.57,3818.73,0.963
C2_BULL_PUT_1.8SD_W200,2023,16,16,0,100.0,2903.5,925.06,1978.44,0.0,Inf
C2_BULL_PUT_1.8SD_W200,2024,22,21,1,95.5,1884.75,1207.27,677.48,2261.5,1.3
C2_BULL_PUT_1.8SD_W200,2025,25,25,0,100.0,10447.3,1624.97,8822.33,0.0,Inf
C2_BULL_PUT_1.8SD_W200,2026,13,13,0,100.0,4603.95,805.36,3798.59,0.0,Inf
C3_TREND_AUTO_2.0SD_W100,2019,18,8,10,44.4,-6022.5,1202.35,-7224.85,7537.44,0.065
C3_TREND_AUTO_2.0SD_W100,2020,10,6,4,60.0,-5666.25,655.63,-6321.88,7305.86,0.141
C3_TREND_AUTO_2.0SD_W100,2021,20,13,7,65.0,2109.0,1190.7,918.3,72.73,10.039
C3_TREND_AUTO_2.0SD_W100,2022,22,15,7,68.2,789.5,1276.44,-486.94,1543.52,0.706
C3_TREND_AUTO_2.0SD_W100,2023,24,15,9,62.5,1856.0,1385.06,470.94,53.38,3.838
C3_TREND_AUTO_2.0SD_W100,2024,29,20,9,69.0,2545.75,1588.53,957.22,76.14,6.708
C3_TREND_AUTO_2.0SD_W100,2025,34,30,4,88.2,6418.2,2180.85,4237.35,23.16,76.599
C3_TREND_AUTO_2.0SD_W100,2026,21,19,2,90.5,3228.55,1294.8,1933.75,8.38,62.33
