start_capital,sizing_type,param_val,ending_capital,cagr_pct,max_dd_inr,max_dd_pct,max_losing_streak,skipped_trades,risk_of_ruin,candidate_id,candidate_name,period
50000.0,RISK_PCT,0.01,102731.91,15.49,28761.31,27.71,6,0,0,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),5Y_PRIMARY
50000.0,RISK_PCT,0.01,62615.74,-99.99,51693.84,81.2,10,0,1,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),7.6Y_SECONDARY
50000.0,RISK_PCT,0.02,101781.27,15.28,28761.31,27.97,6,0,0,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),5Y_PRIMARY
50000.0,RISK_PCT,0.02,62378.08,-99.99,51693.84,81.51,10,0,1,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),7.6Y_SECONDARY
50000.0,RISK_PCT,0.03,127692.11,20.63,28761.31,22.34,6,0,0,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),5Y_PRIMARY
50000.0,RISK_PCT,0.03,61902.76,-99.99,51693.84,82.12,10,0,1,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),7.6Y_SECONDARY
50000.0,RISK_PCT,0.05,271392.72,40.26,54241.71,18.76,6,0,0,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),5Y_PRIMARY
50000.0,RISK_PCT,0.05,61321.91,-99.99,51693.84,82.89,10,0,1,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),7.6Y_SECONDARY
50000.0,RISK_PCT,0.08,420203.67,53.07,131507.71,28.71,6,0,0,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),5Y_PRIMARY
50000.0,RISK_PCT,0.08,204992.33,20.28,55184.52,24.65,10,0,0,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),7.6Y_SECONDARY
50000.0,RISK_PCT,0.1,544834.11,61.23,190592.95,31.1,6,0,0,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),5Y_PRIMARY
50000.0,RISK_PCT,0.1,184004.99,-99.99,58645.19,28.28,10,0,1,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),7.6Y_SECONDARY
50000.0,RISK_PCT,0.12,504563.37,58.78,236529.66,40.5,6,0,0,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),5Y_PRIMARY
50000.0,RISK_PCT,0.12,222.44,-99.99,71429.35,99.69,10,122,1,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),7.6Y_SECONDARY
50000.0,RISK_PCT,0.15,466837.24,56.33,310263.34,54.95,6,0,0,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),5Y_PRIMARY
50000.0,RISK_PCT,0.15,281898.46,-99.99,149985.74,43.2,10,3,1,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),7.6Y_SECONDARY
50000.0,FIXED_LOT,1.0,62615.74,-99.99,51693.84,81.2,10,0,1,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),7.6Y_SECONDARY
50000.0,FIXED_FRACTION,0.15,281898.46,-99.99,149985.74,43.2,10,3,1,Candidate HF-1,HF Directional Breakout Debit Spread (ATR >= 0.25),7.6Y_SECONDARY
