execution_date,expiry_date,spread_type,long_strike,short_strike,lot_size,debit_pts,exit_spread_val,recorded_gross,reconciled_gross,gross_diff,recorded_costs,recorded_net,reconciled_net,net_diff,is_perfect_match
2019-03-29,2019-04-04,BULL_CALL,11700.0,11850.0,75,44.6,0.0,-3345.0,-3345.0,0.0,52.71,-3397.71,-3397.71,0.0,1
2019-04-18,2019-04-25,BULL_CALL,11900.0,12050.0,75,40.35,0.0,-3026.25,-3026.25,0.0,50.35,-3076.6,-3076.6,0.0,1
2019-06-04,2019-06-06,BULL_CALL,12100.0,12250.0,75,34.9,0.0,-2617.5,-2617.5,0.0,49.51,-2667.01,-2667.01,0.0,1
2019-07-09,2019-07-11,BEAR_PUT,11500.0,11350.0,75,35.3,0.0,-2647.5,-2647.5,0.0,50.47,-2697.97,-2697.97,0.0,1
2019-07-22,2019-07-25,BEAR_PUT,11350.0,11200.0,75,33.45,97.85,4830.0,4830.0,0.0,64.31,4765.69,4765.69,0.0,1
2019-07-30,2019-08-01,BEAR_PUT,11150.0,11000.0,75,21.35,150.0,9648.75,9648.75,0.0,73.62,9575.13,9575.13,0.0,1
2019-08-02,2019-08-08,BEAR_PUT,10900.0,10750.0,75,49.1,0.0,-3682.5,-3682.5,0.0,54.83,-3737.33,-3737.33,0.0,1
2019-08-06,2019-08-08,BEAR_PUT,10750.0,10600.0,75,43.25,0.0,-3243.75,-3243.75,0.0,53.33,-3297.08,-3297.08,0.0,1
2019-08-23,2019-08-29,BEAR_PUT,10650.0,10500.0,75,39.25,0.0,-2943.75,-2943.75,0.0,53.84,-2997.59,-2997.59,0.0,1
2019-09-20,2019-09-26,BEAR_PUT,10700.0,10550.0,75,42.75,0.0,-3206.25,-3206.25,0.0,53.23,-3259.48,-3259.48,0.0,1
2019-09-23,2019-09-26,BULL_CALL,11600.0,11750.0,75,32.1,0.0,-2407.5,-2407.5,0.0,52.41,-2459.91,-2459.91,0.0,1
2019-10-18,2019-10-24,BULL_CALL,11650.0,11800.0,75,36.6,0.0,-2745.0,-2745.0,0.0,51.25,-2796.25,-2796.25,0.0,1
2019-10-30,2019-10-31,BULL_CALL,11950.0,12100.0,75,12.7,0.0,-952.5,-952.5,0.0,48.26,-1000.76,-1000.76,0.0,1
2019-11-26,2019-11-28,BULL_CALL,12150.0,12300.0,75,36.2,1.15,-2628.75,-2628.75,0.0,50.06,-2678.81,-2678.81,0.0,1
2019-11-28,2019-12-05,BULL_CALL,12200.0,12350.0,75,34.0,0.0,-2550.0,-2550.0,0.0,50.56,-2600.56,-2600.56,0.0,1
2019-12-11,2019-12-12,BEAR_PUT,11800.0,11650.0,75,15.0,0.0,-1125.0,-1125.0,0.0,48.1,-1173.1,-1173.1,0.0,1
2019-12-16,2019-12-19,BULL_CALL,12200.0,12350.0,75,29.1,59.7,2295.0,2295.0,0.0,58.31,2236.69,2236.69,0.0,1
2019-12-18,2019-12-19,BULL_CALL,12250.0,12400.0,75,11.15,9.7,-108.75,-108.75,0.0,49.28,-158.03,-158.03,0.0,1
2020-01-07,2020-01-09,BEAR_PUT,12050.0,11900.0,75,41.6,0.0,-3120.0,-3120.0,0.0,51.88,-3171.88,-3171.88,0.0,1
2020-01-14,2020-01-16,BULL_CALL,12400.0,12550.0,75,19.55,0.0,-1466.25,-1466.25,0.0,48.48,-1514.73,-1514.73,0.0,1
2020-01-29,2020-01-30,BEAR_PUT,12050.0,11900.0,75,23.35,14.2,-686.25,-686.25,0.0,51.17,-737.42,-737.42,0.0,1
2020-02-13,2020-02-20,BULL_CALL,12250.0,12400.0,75,54.1,0.0,-4057.5,-4057.5,0.0,51.77,-4109.27,-4109.27,0.0,1
2020-02-25,2020-02-27,BEAR_PUT,11850.0,11700.0,75,58.1,150.0,6892.5,6892.5,0.0,86.37,6806.13,6806.13,0.0,1
2020-03-09,2020-03-12,BEAR_PUT,10700.0,10550.0,75,56.0,150.0,7050.0,7050.0,0.0,257.21,6792.79,6792.79,0.0,1
2020-08-19,2020-08-20,BULL_CALL,11500.0,11650.0,75,24.3,0.0,-1822.5,-1822.5,0.0,48.86,-1871.36,-1871.36,0.0,1
2020-08-25,2020-08-27,BULL_CALL,11550.0,11700.0,75,36.35,9.25,-2032.5,-2032.5,0.0,51.26,-2083.76,-2083.76,0.0,1
2020-09-07,2020-09-10,BEAR_PUT,11300.0,11150.0,75,44.85,0.0,-3363.75,-3363.75,0.0,56.74,-3420.49,-3420.49,0.0,1
2020-09-17,2020-09-24,BULL_CALL,11600.0,11750.0,75,42.8,0.0,-3210.0,-3210.0,0.0,53.49,-3263.49,-3263.49,0.0,1
2020-10-07,2020-10-08,BULL_CALL,11750.0,11900.0,75,19.4,84.6,4890.0,4890.0,0.0,60.16,4829.84,4829.84,0.0,1
2020-11-06,2020-11-12,BULL_CALL,12200.0,12350.0,75,49.2,150.0,7560.0,7560.0,0.0,139.25,7420.75,7420.75,0.0,1
2020-11-18,2020-11-19,BULL_CALL,12900.0,13050.0,75,30.0,0.0,-2250.0,-2250.0,0.0,50.0,-2300.0,-2300.0,0.0,1
2020-11-25,2020-11-26,BULL_CALL,13200.0,13350.0,75,37.2,0.0,-2790.0,-2790.0,0.0,49.98,-2839.98,-2839.98,0.0,1
2020-12-02,2020-12-03,BULL_CALL,13150.0,13300.0,75,54.45,0.0,-4083.75,-4083.75,0.0,51.86,-4135.61,-4135.61,0.0,1
2020-12-29,2020-12-31,BULL_CALL,13950.0,14100.0,75,40.2,31.75,-633.75,-633.75,0.0,56.96,-690.71,-690.71,0.0,1
2021-01-11,2021-01-14,BULL_CALL,14500.0,14650.0,75,38.2,95.6,4305.0,4305.0,0.0,64.23,4240.77,4240.77,0.0,1
2021-01-21,2021-01-28,BULL_CALL,14800.0,14950.0,75,48.15,0.0,-3611.25,-3611.25,0.0,53.23,-3664.48,-3664.48,0.0,1
2021-02-23,2021-02-25,BEAR_PUT,14750.0,14600.0,75,37.3,0.0,-2797.5,-2797.5,0.0,59.8,-2857.3,-2857.3,0.0,1
2021-03-01,2021-03-04,BEAR_PUT,14650.0,14500.0,75,46.9,0.0,-3517.5,-3517.5,0.0,63.61,-3581.11,-3581.11,0.0,1
2021-03-18,2021-03-25,BEAR_PUT,14800.0,14650.0,75,57.1,150.0,6967.5,6967.5,0.0,143.39,6824.11,6824.11,0.0,1
2021-04-29,2021-05-06,BULL_CALL,15050.0,15200.0,75,59.65,0.0,-4473.75,-4473.75,0.0,58.31,-4532.06,-4532.06,0.0,1
2021-05-19,2021-05-20,BULL_CALL,15100.0,15250.0,75,63.1,0.0,-4732.5,-4732.5,0.0,52.48,-4784.98,-4784.98,0.0,1
2021-05-24,2021-05-27,BULL_CALL,15250.0,15400.0,75,47.5,87.85,3026.25,3026.25,0.0,67.03,2959.22,2959.22,0.0,1
2021-06-04,2021-06-10,BULL_CALL,15750.0,15900.0,75,70.5,0.0,-5287.5,-5287.5,0.0,55.94,-5343.44,-5343.44,0.0,1
2021-06-08,2021-06-10,BULL_CALL,15800.0,15950.0,75,47.45,0.0,-3558.75,-3558.75,0.0,51.46,-3610.21,-3610.21,0.0,1
2021-06-14,2021-06-17,BULL_CALL,15850.0,16000.0,75,43.0,0.0,-3225.0,-3225.0,0.0,51.52,-3276.52,-3276.52,0.0,1
2021-07-16,2021-07-22,BULL_CALL,16000.0,16150.0,50,52.05,0.0,-2602.5,-2602.5,0.0,50.46,-2652.96,-2652.96,0.0,1
2021-07-22,2021-07-29,BEAR_PUT,15700.0,15550.0,50,63.0,0.0,-3150.0,-3150.0,0.0,53.48,-3203.48,-3203.48,0.0,1
2021-08-04,2021-08-05,BULL_CALL,16250.0,16400.0,50,15.2,44.6,1470.0,1470.0,0.0,52.6,1417.4,1417.4,0.0,1
2021-08-13,2021-08-18,BULL_CALL,16450.0,16600.0,50,32.75,118.85,4305.0,4305.0,0.0,60.47,4244.53,4244.53,0.0,1
2021-09-03,2021-09-09,BULL_CALL,17300.0,17450.0,50,9.25,69.25,3000.0,3000.0,0.0,61.11,2938.89,2938.89,0.0,1
2021-09-24,2021-09-30,BULL_CALL,17950.0,18100.0,50,45.3,0.0,-2265.0,-2265.0,0.0,53.97,-2318.97,-2318.97,0.0,1
2021-10-29,2021-11-03,BEAR_PUT,17800.0,17650.0,50,37.95,0.0,-1897.5,-1897.5,0.0,56.11,-1953.61,-1953.61,0.0,1
2021-11-22,2021-11-25,BEAR_PUT,17750.0,17600.0,50,59.2,150.0,4540.0,4540.0,0.0,74.63,4465.37,4465.37,0.0,1
