candidate_id,regime_dimension,regime,trades,win_rate_pct,net_pnl_inr,profit_factor
Candidate HF-1,TREND,BEAR,33,45.5,41217.47,2.024
Candidate HF-1,TREND,BULL,83,31.3,-50266.71,0.665
Candidate HF-1,TREND,SIDEWAYS,53,43.4,21664.98,1.267
Candidate HF-1,VIX,ELEVATED_VIX (18-22),28,46.4,14159.4,1.347
Candidate HF-1,VIX,HIGH_VIX (>22),7,28.6,-1838.15,0.885
Candidate HF-1,VIX,LOW_VIX (<14),77,41.6,28988.3,1.241
Candidate HF-1,VIX,MID_VIX (14-18),57,29.8,-28693.81,0.696
Candidate HF-2,TREND,BEAR,25,44.0,36072.04,2.129
Candidate HF-2,TREND,BULL,47,29.8,-15715.09,0.799
Candidate HF-2,TREND,SIDEWAYS,33,36.4,5727.12,1.099
Candidate HF-2,VIX,ELEVATED_VIX (18-22),17,41.2,11567.41,1.445
Candidate HF-2,VIX,HIGH_VIX (>22),5,40.0,3243.07,1.296
Candidate HF-2,VIX,LOW_VIX (<14),52,40.4,32031.28,1.411
Candidate HF-2,VIX,MID_VIX (14-18),31,22.6,-20757.69,0.61
Candidate HF-3,TREND,BEAR,98,59.2,26099.17,1.209
Candidate HF-3,TREND,BULL,252,61.1,-32589.04,0.889
Candidate HF-3,TREND,SIDEWAYS,163,55.8,-49624.47,0.793
Candidate HF-3,VIX,ELEVATED_VIX (18-22),117,60.7,-22420.99,0.863
Candidate HF-3,VIX,HIGH_VIX (>22),7,28.6,-1838.15,0.885
Candidate HF-3,VIX,LOW_VIX (<14),214,55.1,-56681.42,0.812
Candidate HF-3,VIX,MID_VIX (14-18),175,64.0,24826.22,1.141
