candidate_id,category,test_name,trades,net_pnl_inr,profit_factor
Candidate HF-1,COST_ESCALATION,Cost_1.0x,169,12615.74,1.046
Candidate HF-1,COST_ESCALATION,Cost_2.0x,169,1709.73,1.006
Candidate HF-1,COST_ESCALATION,Cost_3.0x,169,-9196.28,0.967
Candidate HF-1,SLIPPAGE_STRESS,Slippage_25pct,169,12368.87,1.046
Candidate HF-1,SLIPPAGE_STRESS,Slippage_50pct,169,12121.99,1.045
Candidate HF-1,SLIPPAGE_STRESS,Slippage_100pct,169,11628.24,1.043
Candidate HF-1,OUTLIER_DROP_BEST,Best_1_Trades_Removed,168,3040.61,1.011
Candidate HF-1,OUTLIER_DROP_BEST,Best_3_Trades_Removed,166,-14182.32,0.948
Candidate HF-1,OUTLIER_DROP_BEST,Best_5_Trades_Removed,164,-29818.25,0.89
Candidate HF-1,OUTLIER_DROP_BEST,Best_10_Trades_Removed,159,-65306.15,0.759
Candidate HF-1,OUTLIER_DROP_WORST,Worst_1_Trades_Removed,168,18262.96,1.069
Candidate HF-1,OUTLIER_DROP_WORST,Worst_3_Trades_Removed,166,29166.52,1.114
Candidate HF-1,OUTLIER_DROP_WORST,Worst_5_Trades_Removed,164,38882.94,1.159
Candidate HF-1,OUTLIER_DROP_WORST,Worst_10_Trades_Removed,159,60215.39,1.269
Candidate HF-1,LOSS_STREAK_STRESS,5_Losses_on_50k,5,-12926.92,25.85
Candidate HF-1,LOSS_STREAK_STRESS,5_Losses_on_75k,5,-12926.92,17.24
Candidate HF-1,LOSS_STREAK_STRESS,5_Losses_on_100k,5,-12926.92,12.93
Candidate HF-1,LOSS_STREAK_STRESS,10_Losses_on_50k,10,-25853.84,51.71
Candidate HF-1,LOSS_STREAK_STRESS,10_Losses_on_75k,10,-25853.84,34.47
Candidate HF-1,LOSS_STREAK_STRESS,10_Losses_on_100k,10,-25853.84,25.85
Candidate HF-1,LOSS_STREAK_STRESS,15_Losses_on_50k,15,-38780.77,77.56
Candidate HF-1,LOSS_STREAK_STRESS,15_Losses_on_75k,15,-38780.77,51.71
Candidate HF-1,LOSS_STREAK_STRESS,15_Losses_on_100k,15,-38780.77,38.78
Candidate HF-1,LOSS_STREAK_STRESS,20_Losses_on_50k,20,-51707.69,103.42
Candidate HF-1,LOSS_STREAK_STRESS,20_Losses_on_75k,20,-51707.69,68.94
Candidate HF-1,LOSS_STREAK_STRESS,20_Losses_on_100k,20,-51707.69,51.71
Candidate HF-2,COST_ESCALATION,Cost_1.0x,105,26084.07,1.155
Candidate HF-2,COST_ESCALATION,Cost_2.0x,105,19163.89,1.112
Candidate HF-2,COST_ESCALATION,Cost_3.0x,105,12243.71,1.07
Candidate HF-2,SLIPPAGE_STRESS,Slippage_25pct,105,25931.07,1.154
Candidate HF-2,SLIPPAGE_STRESS,Slippage_50pct,105,25778.07,1.153
Candidate HF-2,SLIPPAGE_STRESS,Slippage_100pct,105,25472.07,1.151
Candidate HF-2,OUTLIER_DROP_BEST,Best_1_Trades_Removed,104,16508.94,1.098
Candidate HF-2,OUTLIER_DROP_BEST,Best_3_Trades_Removed,102,-713.99,0.996
Candidate HF-2,OUTLIER_DROP_BEST,Best_5_Trades_Removed,100,-16114.7,0.904
Candidate HF-2,OUTLIER_DROP_BEST,Best_10_Trades_Removed,95,-50710.29,0.698
Candidate HF-2,OUTLIER_DROP_WORST,Worst_1_Trades_Removed,104,31427.51,1.193
Candidate HF-2,OUTLIER_DROP_WORST,Worst_3_Trades_Removed,102,40744.55,1.266
Candidate HF-2,OUTLIER_DROP_WORST,Worst_5_Trades_Removed,100,49300.06,1.34
Candidate HF-2,OUTLIER_DROP_WORST,Worst_10_Trades_Removed,95,67848.72,1.537
Candidate HF-2,LOSS_STREAK_STRESS,5_Losses_on_50k,5,-12361.86,24.72
Candidate HF-2,LOSS_STREAK_STRESS,5_Losses_on_75k,5,-12361.86,16.48
Candidate HF-2,LOSS_STREAK_STRESS,5_Losses_on_100k,5,-12361.86,12.36
Candidate HF-2,LOSS_STREAK_STRESS,10_Losses_on_50k,10,-24723.73,49.45
Candidate HF-2,LOSS_STREAK_STRESS,10_Losses_on_75k,10,-24723.73,32.96
Candidate HF-2,LOSS_STREAK_STRESS,10_Losses_on_100k,10,-24723.73,24.72
Candidate HF-2,LOSS_STREAK_STRESS,15_Losses_on_50k,15,-37085.59,74.17
Candidate HF-2,LOSS_STREAK_STRESS,15_Losses_on_75k,15,-37085.59,49.45
Candidate HF-2,LOSS_STREAK_STRESS,15_Losses_on_100k,15,-37085.59,37.09
Candidate HF-2,LOSS_STREAK_STRESS,20_Losses_on_50k,20,-49447.46,98.89
Candidate HF-2,LOSS_STREAK_STRESS,20_Losses_on_75k,20,-49447.46,65.93
Candidate HF-2,LOSS_STREAK_STRESS,20_Losses_on_100k,20,-49447.46,49.45
Candidate HF-3,COST_ESCALATION,Cost_1.0x,513,-56114.34,0.915
Candidate HF-3,COST_ESCALATION,Cost_2.0x,513,-89391.43,0.867
Candidate HF-3,COST_ESCALATION,Cost_3.0x,513,-122668.52,0.822
Candidate HF-3,SLIPPAGE_STRESS,Slippage_25pct,513,-56867.72,0.914
Candidate HF-3,SLIPPAGE_STRESS,Slippage_50pct,513,-57621.09,0.912
Candidate HF-3,SLIPPAGE_STRESS,Slippage_100pct,513,-59127.84,0.91
Candidate HF-3,OUTLIER_DROP_BEST,Best_1_Trades_Removed,512,-65689.47,0.9
Candidate HF-3,OUTLIER_DROP_BEST,Best_3_Trades_Removed,510,-82912.4,0.874
Candidate HF-3,OUTLIER_DROP_BEST,Best_5_Trades_Removed,508,-98548.33,0.85
Candidate HF-3,OUTLIER_DROP_BEST,Best_10_Trades_Removed,503,-134036.23,0.796
Candidate HF-3,OUTLIER_DROP_WORST,Worst_1_Trades_Removed,512,-49356.45,0.924
Candidate HF-3,OUTLIER_DROP_WORST,Worst_3_Trades_Removed,510,-36190.22,0.943
Candidate HF-3,OUTLIER_DROP_WORST,Worst_5_Trades_Removed,508,-23503.24,0.962
Candidate HF-3,OUTLIER_DROP_WORST,Worst_10_Trades_Removed,503,6474.22,1.011
Candidate HF-3,LOSS_STREAK_STRESS,5_Losses_on_50k,5,-15659.36,31.32
Candidate HF-3,LOSS_STREAK_STRESS,5_Losses_on_75k,5,-15659.36,20.88
Candidate HF-3,LOSS_STREAK_STRESS,5_Losses_on_100k,5,-15659.36,15.66
Candidate HF-3,LOSS_STREAK_STRESS,10_Losses_on_50k,10,-31318.72,62.64
