strategy,initial_capital,trade_id,entry_date,expiry_date,net_pnl,costs,equity_after,peak_equity,current_dd_pct
IRON_FLY,20000.0,IRON_FLY_2020-01-31_2020-02-06,2020-01-31,2020-02-06,-1146.43,955.18,18853.57,20000.0,5.73
IRON_FLY,50000.0,IRON_FLY_2020-01-31_2020-02-06,2020-01-31,2020-02-06,-1146.43,955.18,48853.57,50000.0,2.29
IRON_FLY,50000.0,IRON_FLY_2020-02-24_2020-02-27,2020-02-24,2020-02-27,8648.72,895.03,57502.29,57502.29,0.0
IRON_FLY,50000.0,IRON_FLY_2020-02-28_2020-03-05,2020-02-28,2020-03-05,29267.39,800.11,86769.68,86769.68,0.0
IRON_FLY,50000.0,IRON_FLY_2020-03-13_2020-03-19,2020-03-13,2020-03-19,-2176.44,1422.69,84593.24,86769.68,2.51
IRON_FLY,50000.0,IRON_FLY_2020-04-03_2020-04-09,2020-04-03,2020-04-09,347.36,1190.14,84940.6,86769.68,2.11
IRON_FLY,50000.0,IRON_FLY_2020-04-13_2020-04-16,2020-04-13,2020-04-16,2542.66,1177.34,87483.26,87483.26,0.0
IRON_FLY,50000.0,IRON_FLY_2020-05-08_2020-05-14,2020-05-08,2020-05-14,11771.0,1241.5,99254.26,99254.26,0.0
IRON_FLY,50000.0,IRON_FLY_2020-05-15_2020-05-21,2020-05-15,2020-05-21,14000.46,1243.29,113254.72,113254.72,0.0
IRON_FLY,50000.0,IRON_FLY_2020-05-22_2020-05-28,2020-05-22,2020-05-28,-64916.39,1372.64,48338.33,113254.72,57.32
IRON_FLY,50000.0,IRON_FLY_2020-05-29_2020-06-04,2020-05-29,2020-06-04,29858.52,1393.98,78196.85,113254.72,30.95
IRON_FLY,50000.0,IRON_FLY_2020-06-05_2020-06-11,2020-06-05,2020-06-11,-5324.23,1184.23,72872.62,113254.72,35.66
IRON_FLY,50000.0,IRON_FLY_2020-06-12_2020-06-18,2020-06-12,2020-06-18,35465.21,1251.04,108337.83,113254.72,4.34
IRON_FLY,50000.0,IRON_FLY_2020-06-26_2020-07-02,2020-06-26,2020-07-02,-34980.89,1253.39,73356.94,113254.72,35.23
IRON_FLY,50000.0,IRON_FLY_2020-07-17_2020-07-23,2020-07-17,2020-07-23,12118.95,1366.05,85475.89,113254.72,24.53
IRON_FLY,50000.0,IRON_FLY_2020-08-14_2020-08-20,2020-08-14,2020-08-20,5528.33,1157.92,91004.22,113254.72,19.65
IRON_FLY,50000.0,IRON_FLY_2020-08-21_2020-08-27,2020-08-21,2020-08-27,19383.3,1365.45,110387.52,113254.72,2.53
IRON_FLY,50000.0,IRON_FLY_2020-08-28_2020-09-03,2020-08-28,2020-09-03,6220.23,1118.52,116607.75,116607.75,0.0
IRON_FLY,50000.0,IRON_FLY_2020-09-04_2020-09-10,2020-09-04,2020-09-10,230.23,1112.27,116837.98,116837.98,0.0
IRON_FLY,50000.0,IRON_FLY_2020-09-11_2020-09-17,2020-09-11,2020-09-17,6308.84,1078.66,123146.82,123146.82,0.0
IRON_FLY,50000.0,IRON_FLY_2020-09-25_2020-10-01,2020-09-25,2020-10-01,-8313.43,1057.18,114833.39,123146.82,6.75
IRON_FLY,50000.0,IRON_FLY_2020-10-05_2020-10-08,2020-10-05,2020-10-08,-42894.27,1085.52,71939.12,123146.82,41.58
IRON_FLY,50000.0,IRON_FLY_2020-10-23_2020-10-29,2020-10-23,2020-10-29,-35822.94,1011.69,36116.18,123146.82,70.67
IRON_FLY,50000.0,IRON_FLY_2020-10-30_2020-11-05,2020-10-30,2020-11-05,5144.56,1084.19,41260.74,123146.82,66.49
IRON_FLY,50000.0,IRON_FLY_2020-11-06_2020-11-12,2020-11-06,2020-11-12,2224.52,1270.48,43485.26,123146.82,64.69
IRON_FLY,50000.0,IRON_FLY_2020-11-27_2020-12-03,2020-11-27,2020-12-03,5482.8,1240.95,48968.06,123146.82,60.24
IRON_FLY,50000.0,IRON_FLY_2020-12-11_2020-12-17,2020-12-11,2020-12-17,-1602.01,1212.01,47366.05,123146.82,61.54
IRON_FLY,50000.0,IRON_FLY_2020-12-18_2020-12-24,2020-12-18,2020-12-24,5083.58,1306.42,52449.63,123146.82,57.41
IRON_FLY,50000.0,IRON_FLY_2021-01-01_2021-01-07,2021-01-01,2021-01-07,5914.29,1315.71,58363.92,123146.82,52.61
IRON_FLY,50000.0,IRON_FLY_2021-01-08_2021-01-14,2021-01-08,2021-01-14,7423.85,1291.15,65787.77,123146.82,46.58
IRON_FLY,50000.0,IRON_FLY_2021-01-29_2021-02-04,2021-01-29,2021-02-04,-9221.13,1136.13,56566.64,123146.82,54.07
IRON_FLY,50000.0,IRON_FLY_2021-02-26_2021-03-04,2021-02-26,2021-03-04,-3717.55,1208.8,52849.09,123146.82,57.08
IRON_FLY,50000.0,IRON_FLY_2021-03-05_2021-03-10,2021-03-05,2021-03-10,-30830.81,1145.81,22018.28,123146.82,82.12
IRON_FLY,50000.0,IRON_FLY_2021-03-26_2021-04-01,2021-03-26,2021-04-01,343.4,984.1,22361.68,123146.82,81.84
IRON_FLY,50000.0,IRON_FLY_2021-04-05_2021-04-08,2021-04-05,2021-04-08,-4408.89,1000.14,17952.79,123146.82,85.42
IRON_FLY,75000.0,IRON_FLY_2020-01-31_2020-02-06,2020-01-31,2020-02-06,-1146.43,955.18,73853.57,75000.0,1.53
IRON_FLY,75000.0,IRON_FLY_2020-02-24_2020-02-27,2020-02-24,2020-02-27,8648.72,895.03,82502.29,82502.29,0.0
IRON_FLY,75000.0,IRON_FLY_2020-02-28_2020-03-05,2020-02-28,2020-03-05,29267.39,800.11,111769.68,111769.68,0.0
IRON_FLY,75000.0,IRON_FLY_2020-03-13_2020-03-19,2020-03-13,2020-03-19,-2176.44,1422.69,109593.24,111769.68,1.95
IRON_FLY,75000.0,IRON_FLY_2020-04-03_2020-04-09,2020-04-03,2020-04-09,347.36,1190.14,109940.6,111769.68,1.64
IRON_FLY,75000.0,IRON_FLY_2020-04-13_2020-04-16,2020-04-13,2020-04-16,2542.66,1177.34,112483.26,112483.26,0.0
IRON_FLY,75000.0,IRON_FLY_2020-04-24_2020-04-30,2020-04-24,2020-04-30,-84352.48,1361.23,28130.78,112483.26,74.99
IRON_FLY,75000.0,IRON_FLY_2020-05-08_2020-05-14,2020-05-08,2020-05-14,11771.0,1241.5,39901.78,112483.26,64.53
IRON_FLY,75000.0,IRON_FLY_2020-05-15_2020-05-21,2020-05-15,2020-05-21,14000.46,1243.29,53902.24,112483.26,52.08
IRON_FLY,75000.0,IRON_FLY_2020-05-29_2020-06-04,2020-05-29,2020-06-04,29858.52,1393.98,83760.76,112483.26,25.53
IRON_FLY,75000.0,IRON_FLY_2020-06-05_2020-06-11,2020-06-05,2020-06-11,-5324.23,1184.23,78436.53,112483.26,30.27
IRON_FLY,75000.0,IRON_FLY_2020-06-12_2020-06-18,2020-06-12,2020-06-18,35465.21,1251.04,113901.74,113901.74,0.0
IRON_FLY,75000.0,IRON_FLY_2020-06-26_2020-07-02,2020-06-26,2020-07-02,-34980.89,1253.39,78920.85,113901.74,30.71
IRON_FLY,75000.0,IRON_FLY_2020-07-17_2020-07-23,2020-07-17,2020-07-23,12118.95,1366.05,91039.8,113901.74,20.07
IRON_FLY,75000.0,IRON_FLY_2020-08-14_2020-08-20,2020-08-14,2020-08-20,5528.33,1157.92,96568.13,113901.74,15.22
IRON_FLY,75000.0,IRON_FLY_2020-08-21_2020-08-27,2020-08-21,2020-08-27,19383.3,1365.45,115951.43,115951.43,0.0
IRON_FLY,75000.0,IRON_FLY_2020-08-28_2020-09-03,2020-08-28,2020-09-03,6220.23,1118.52,122171.66,122171.66,0.0
IRON_FLY,75000.0,IRON_FLY_2020-09-04_2020-09-10,2020-09-04,2020-09-10,230.23,1112.27,122401.89,122401.89,0.0
IRON_FLY,75000.0,IRON_FLY_2020-09-11_2020-09-17,2020-09-11,2020-09-17,6308.84,1078.66,128710.73,128710.73,0.0
IRON_FLY,75000.0,IRON_FLY_2020-09-25_2020-10-01,2020-09-25,2020-10-01,-8313.43,1057.18,120397.3,128710.73,6.46
IRON_FLY,75000.0,IRON_FLY_2020-10-05_2020-10-08,2020-10-05,2020-10-08,-42894.27,1085.52,77503.03,128710.73,39.79
IRON_FLY,75000.0,IRON_FLY_2020-10-23_2020-10-29,2020-10-23,2020-10-29,-35822.94,1011.69,41680.09,128710.73,67.62
IRON_FLY,75000.0,IRON_FLY_2020-10-30_2020-11-05,2020-10-30,2020-11-05,5144.56,1084.19,46824.65,128710.73,63.62
IRON_FLY,75000.0,IRON_FLY_2020-11-06_2020-11-12,2020-11-06,2020-11-12,2224.52,1270.48,49049.17,128710.73,61.89
IRON_FLY,75000.0,IRON_FLY_2020-11-27_2020-12-03,2020-11-27,2020-12-03,5482.8,1240.95,54531.97,128710.73,57.63
IRON_FLY,75000.0,IRON_FLY_2020-12-11_2020-12-17,2020-12-11,2020-12-17,-1602.01,1212.01,52929.96,128710.73,58.88
IRON_FLY,75000.0,IRON_FLY_2020-12-18_2020-12-24,2020-12-18,2020-12-24,5083.58,1306.42,58013.54,128710.73,54.93
IRON_FLY,75000.0,IRON_FLY_2021-01-01_2021-01-07,2021-01-01,2021-01-07,5914.29,1315.71,63927.83,128710.73,50.33
IRON_FLY,75000.0,IRON_FLY_2021-01-08_2021-01-14,2021-01-08,2021-01-14,7423.85,1291.15,71351.68,128710.73,44.56
IRON_FLY,75000.0,IRON_FLY_2021-01-29_2021-02-04,2021-01-29,2021-02-04,-9221.13,1136.13,62130.55,128710.73,51.73
IRON_FLY,75000.0,IRON_FLY_2021-02-26_2021-03-04,2021-02-26,2021-03-04,-3717.55,1208.8,58413.0,128710.73,54.62
IRON_FLY,75000.0,IRON_FLY_2021-03-05_2021-03-10,2021-03-05,2021-03-10,-30830.81,1145.81,27582.19,128710.73,78.57
IRON_FLY,75000.0,IRON_FLY_2021-03-26_2021-04-01,2021-03-26,2021-04-01,343.4,984.1,27925.59,128710.73,78.3
IRON_FLY,75000.0,IRON_FLY_2021-04-05_2021-04-08,2021-04-05,2021-04-08,-4408.89,1000.14,23516.7,128710.73,81.73
IRON_FLY,75000.0,IRON_FLY_2021-04-09_2021-04-15,2021-04-09,2021-04-15,-5217.45,927.45,18299.25,128710.73,85.78
