strategy,cost_mult,slippage_pts,trades,net_pnl,profit_factor,note
ATM_STRADDLE,1.0,0.5,345,-7258092.86,0.238,
ATM_STRADDLE,1.0,0.625,345,-7268120.36,0.238,
ATM_STRADDLE,1.0,0.75,345,-7278147.86,0.237,
ATM_STRADDLE,1.0,1.0,345,-7298202.86,0.236,
ATM_STRADDLE,2.0,0.5,345,-7343491.12,0.234,
ATM_STRADDLE,2.0,0.625,345,-7353518.62,0.233,
ATM_STRADDLE,2.0,0.75,345,-7363546.12,0.232,
ATM_STRADDLE,2.0,1.0,345,-7383601.12,0.231,
ATM_STRADDLE,3.0,0.5,345,-7428889.23,0.229,
ATM_STRADDLE,3.0,0.625,345,-7438916.73,0.229,
ATM_STRADDLE,3.0,0.75,345,-7448944.23,0.228,
ATM_STRADDLE,3.0,1.0,345,-7468999.23,0.227,
ATM_STRADDLE,1.0,0.5,345,-7258092.86,0.0,DROP_BEST_0
ATM_STRADDLE,1.0,0.5,344,-7355822.11,0.0,DROP_BEST_1
ATM_STRADDLE,1.0,0.5,342,-7494462.63,0.0,DROP_BEST_3
ATM_STRADDLE,1.0,0.5,340,-7598269.15,0.0,DROP_BEST_5
ATM_STRADDLE,1.0,0.5,335,-7798284.85,0.0,DROP_BEST_10
ATM_STRADDLE,1.0,0.5,344,-6958121.82,0.0,DROP_WORST_1
ATM_STRADDLE,1.0,0.5,342,-6476078.11,0.0,DROP_WORST_3
ATM_STRADDLE,1.0,0.5,340,-6123279.45,0.0,DROP_WORST_5
OTM_STRANGLE,1.0,0.5,292,-5068986.8,0.27,
OTM_STRANGLE,1.0,0.625,292,-5077514.3,0.269,
OTM_STRANGLE,1.0,0.75,292,-5086041.8,0.268,
OTM_STRANGLE,1.0,1.0,292,-5103096.8,0.267,
OTM_STRANGLE,2.0,0.5,292,-5133496.69,0.265,
OTM_STRANGLE,2.0,0.625,292,-5142024.19,0.264,
OTM_STRANGLE,2.0,0.75,292,-5150551.69,0.263,
OTM_STRANGLE,2.0,1.0,292,-5167606.69,0.262,
OTM_STRANGLE,3.0,0.5,292,-5198006.67,0.26,
OTM_STRANGLE,3.0,0.625,292,-5206534.17,0.259,
OTM_STRANGLE,3.0,0.75,292,-5215061.67,0.259,
OTM_STRANGLE,3.0,1.0,292,-5232116.67,0.257,
OTM_STRANGLE,1.0,0.5,292,-5068986.8,0.0,DROP_BEST_0
OTM_STRANGLE,1.0,0.5,291,-5167175.53,0.0,DROP_BEST_1
OTM_STRANGLE,1.0,0.5,289,-5304271.68,0.0,DROP_BEST_3
OTM_STRANGLE,1.0,0.5,287,-5399973.05,0.0,DROP_BEST_5
OTM_STRANGLE,1.0,0.5,282,-5567951.83,0.0,DROP_BEST_10
OTM_STRANGLE,1.0,0.5,291,-4769347.91,0.0,DROP_WORST_1
OTM_STRANGLE,1.0,0.5,289,-4296035.61,0.0,DROP_WORST_3
OTM_STRANGLE,1.0,0.5,287,-4006365.06,0.0,DROP_WORST_5
IRON_FLY,1.0,0.5,267,-1201125.03,0.396,
IRON_FLY,1.0,0.625,267,-1216655.03,0.392,
IRON_FLY,1.0,0.75,267,-1232185.03,0.387,
IRON_FLY,1.0,1.0,267,-1263245.03,0.378,
IRON_FLY,2.0,0.5,267,-1327223.6,0.36,
IRON_FLY,2.0,0.625,267,-1342753.6,0.356,
IRON_FLY,2.0,0.75,267,-1358283.6,0.352,
IRON_FLY,2.0,1.0,267,-1389343.6,0.344,
IRON_FLY,3.0,0.5,267,-1453322.1,0.328,
IRON_FLY,3.0,0.625,267,-1468852.1,0.324,
IRON_FLY,3.0,0.75,267,-1484382.1,0.32,
IRON_FLY,3.0,1.0,267,-1515442.1,0.313,
IRON_FLY,1.0,0.5,267,-1201125.03,0.0,DROP_BEST_0
IRON_FLY,1.0,0.5,266,-1264517.5,0.0,DROP_BEST_1
IRON_FLY,1.0,0.5,264,-1368583.94,0.0,DROP_BEST_3
IRON_FLY,1.0,0.5,262,-1446570.37,0.0,DROP_BEST_5
IRON_FLY,1.0,0.5,257,-1609565.63,0.0,DROP_BEST_10
IRON_FLY,1.0,0.5,266,-950973.83,0.0,DROP_WORST_1
IRON_FLY,1.0,0.5,264,-611063.04,0.0,DROP_WORST_3
IRON_FLY,1.0,0.5,262,-443569.45,0.0,DROP_WORST_5
IRON_CONDOR,1.0,0.5,239,-274710.24,0.706,
IRON_CONDOR,1.0,0.625,239,-288415.24,0.695,
IRON_CONDOR,1.0,0.75,239,-302120.24,0.683,
IRON_CONDOR,1.0,1.0,239,-329530.24,0.661,
IRON_CONDOR,2.0,0.5,239,-373652.89,0.629,
IRON_CONDOR,2.0,0.625,239,-387357.89,0.618,
IRON_CONDOR,2.0,0.75,239,-401062.89,0.608,
IRON_CONDOR,2.0,1.0,239,-428472.89,0.589,
IRON_CONDOR,3.0,0.5,239,-472595.69,0.561,
IRON_CONDOR,3.0,0.625,239,-486300.69,0.553,
IRON_CONDOR,3.0,0.75,239,-500005.69,0.544,
IRON_CONDOR,3.0,1.0,239,-527415.69,0.527,
IRON_CONDOR,1.0,0.5,239,-274710.24,0.0,DROP_BEST_0
IRON_CONDOR,1.0,0.5,238,-356338.58,0.0,DROP_BEST_1
IRON_CONDOR,1.0,0.5,236,-481029.95,0.0,DROP_BEST_3
IRON_CONDOR,1.0,0.5,234,-594662.38,0.0,DROP_BEST_5
IRON_CONDOR,1.0,0.5,229,-692085.61,0.0,DROP_BEST_10
IRON_CONDOR,1.0,0.5,238,25782.05,0.0,DROP_WORST_1
IRON_CONDOR,1.0,0.5,236,174887.99,0.0,DROP_WORST_3
IRON_CONDOR,1.0,0.5,234,220390.45,0.0,DROP_WORST_5
