trade_id,strategy,underlying,entry_date,expiry_date,spot_entry,spot_settle,atm_strike,lot_size,margin_required,net_credit_pts,max_loss_pts,gross_pnl,brokerage,stt,exchange_charges,gst,sebi_stamp,slippage,total_costs,net_pnl,exit_reason,is_winner,contracts_json,year,year_month
ATM_STRADDLE_2020-01-31_2020-02-06,ATM_STRADDLE,NIFTY,2020-01-31,2020-02-06,10600.0,12137.95,10600.0,75,140000.0,1523.45,3808.62,-1087.5,80.0,71.41,114.8,35.11,3.69,150.0,455.01,-1542.51,EXPIRY,False,"['short_ce:10600.0CE@1522.35->1537.9500000000007', 'short_pe:10600.0PE@1.1->0.0']",2020,2020-01
ATM_STRADDLE_2020-02-07_2020-02-13,ATM_STRADDLE,NIFTY,2020-02-07,2020-02-13,10200.0,12174.65,10200.0,75,140000.0,1478.8,3697.0,-37188.75,80.0,69.32,129.5,37.76,4.7,150.0,471.28,-37660.03,EXPIRY,False,"['short_ce:10200.0CE@1478.75->1974.6499999999996', 'short_pe:10200.0PE@0.05->0.0']",2020,2020-02
ATM_STRADDLE_2020-02-14_2020-02-20,ATM_STRADDLE,NIFTY,2020-02-14,2020-02-20,10150.0,12080.85,10150.0,75,140000.0,1539.35,3848.38,-29362.5,80.0,72.16,130.13,37.87,4.6,150.0,474.76,-29837.26,EXPIRY,False,"['short_ce:10150.0CE@1539.3->1930.8500000000004', 'short_pe:10150.0PE@0.05->0.0']",2020,2020-02
ATM_STRADDLE_2020-02-24_2020-02-27,ATM_STRADDLE,NIFTY,2020-02-24,2020-02-27,10450.0,11633.3,10450.0,75,140000.0,1606.15,4015.37,31713.75,80.0,75.29,104.6,33.27,2.87,150.0,446.03,31267.72,EXPIRY,True,"['short_ce:10450.0CE@1604.6->1183.2999999999993', 'short_pe:10450.0PE@1.55->0.0']",2020,2020-02
ATM_STRADDLE_2020-02-28_2020-03-05,ATM_STRADDLE,NIFTY,2020-02-28,2020-03-05,10350.0,11269.0,10350.0,75,140000.0,1364.1,3410.25,33382.5,80.0,63.94,85.62,29.84,2.24,150.0,411.64,32970.86,EXPIRY,True,"['short_ce:10350.0CE@1364.0->919.0', 'short_pe:10350.0PE@0.1->0.0']",2020,2020-02
ATM_STRADDLE_2020-03-06_2020-03-12,ATM_STRADDLE,NIFTY,2020-03-06,2020-03-12,9750.0,9590.15,9750.0,75,140000.0,1468.05,3670.12,98115.0,80.0,68.81,61.05,25.41,0.48,150.0,385.75,97729.25,EXPIRY,True,"['short_ce:9750.0CE@1468.0->0.0', 'short_pe:9750.0PE@0.05->159.85000000000036']",2020,2020-03
ATM_STRADDLE_2020-03-13_2020-03-19,ATM_STRADDLE,NIFTY,2020-03-13,2020-03-19,12950.0,8263.45,12950.0,75,140000.0,693.95,1734.87,-299445.0,80.0,32.53,201.77,50.79,10.95,150.0,526.04,-299971.04,EXPIRY,False,"['short_ce:12950.0CE@113.55->0.0', 'short_pe:12950.0PE@580.4->4686.549999999999']",2020,2020-03
ATM_STRADDLE_2020-03-20_2020-03-26,ATM_STRADDLE,NIFTY,2020-03-20,2020-03-26,13550.0,8641.45,13550.0,75,140000.0,1255.55,3138.88,-273975.0,80.0,58.85,231.15,56.09,11.51,150.0,587.61,-274562.61,EXPIRY,False,"['short_ce:13550.0CE@12.15->0.0', 'short_pe:13550.0PE@1243.4->4908.549999999999']",2020,2020-03
ATM_STRADDLE_2020-03-27_2020-04-01,ATM_STRADDLE,NIFTY,2020-03-27,2020-04-01,6150.0,8253.8,6150.0,75,140000.0,1482.6,3706.5,-46590.0,80.0,69.5,134.49,38.66,5.0,150.0,477.65,-47067.65,EXPIRY,False,"['short_ce:6150.0CE@1476.15->2103.7999999999993', 'short_pe:6150.0PE@6.45->0.0']",2020,2020-03
ATM_STRADDLE_2020-04-03_2020-04-09,ATM_STRADDLE,NIFTY,2020-04-03,2020-04-09,6250.0,9111.9,6250.0,75,140000.0,1462.05,3655.12,-104988.75,80.0,68.53,162.15,43.65,6.76,150.0,511.09,-105499.84,EXPIRY,False,"['short_ce:6250.0CE@1420.2->2861.8999999999996', 'short_pe:6250.0PE@41.85->0.0']",2020,2020-04
