strategy,year,trades,win_rate_pct,profit_factor,gross_pnl,costs,net_pnl
ATM_STRADDLE,2020,48,8.3,0.039,-4068971.25,25858.35,-4094829.6
ATM_STRADDLE,2021,53,24.5,0.122,-1808491.25,23942.07,-1832433.32
ATM_STRADDLE,2022,52,19.2,0.072,-1806320.0,21331.78,-1827651.78
ATM_STRADDLE,2023,51,51.0,0.758,-163267.5,19351.73,-182619.23
ATM_STRADDLE,2024,52,61.5,2.347,152285.0,9494.11,142790.89
ATM_STRADDLE,2025,53,75.5,3.121,413219.75,15554.82,397664.93
ATM_STRADDLE,2026,36,66.7,1.867,148960.5,9975.25,138985.25
OTM_STRANGLE,2020,35,11.4,0.07,-2845402.5,18310.97,-2863713.47
OTM_STRANGLE,2021,48,22.9,0.071,-1729743.75,21012.48,-1750756.23
OTM_STRANGLE,2022,40,22.5,0.094,-1040075.0,15912.65,-1055987.65
OTM_STRANGLE,2023,28,50.0,0.703,-114060.0,9820.78,-123880.78
OTM_STRANGLE,2024,52,65.4,2.652,158116.25,9204.91,148911.34
OTM_STRANGLE,2025,53,79.2,3.626,433881.5,14845.09,419036.41
OTM_STRANGLE,2026,36,63.9,2.058,166916.75,9513.17,157403.58
IRON_FLY,2020,31,58.1,0.229,-633952.5,38012.34,-671964.84
IRON_FLY,2021,39,41.0,0.281,-288083.75,35655.98,-323739.73
IRON_FLY,2022,35,22.9,0.405,-187260.0,31262.14,-218522.14
IRON_FLY,2023,21,38.1,2.071,108832.5,15663.76,93168.74
IRON_FLY,2024,52,25.0,0.631,1851.25,18594.07,-16742.82
IRON_FLY,2025,53,39.6,0.917,22171.0,29809.42,-7638.42
IRON_FLY,2026,36,16.7,0.262,-36465.0,19220.82,-55685.82
IRON_CONDOR,2020,16,12.5,0.037,-347377.5,18554.27,-365931.77
IRON_CONDOR,2021,36,33.3,0.297,-109612.5,32250.66,-141863.16
IRON_CONDOR,2022,29,20.7,1.225,58217.5,25021.85,33195.65
IRON_CONDOR,2023,17,35.3,10.553,227860.0,12341.48,215518.52
IRON_CONDOR,2024,52,40.4,0.737,6760.0,18179.4,-11419.4
IRON_CONDOR,2025,53,52.8,1.508,66013.5,28859.27,37154.23
IRON_CONDOR,2026,36,25.0,0.383,-22808.5,18555.81,-41364.31
