sess,expiry,spot,settle,vix,rsi,credit_pts,width,max_risk,lot,gross,costs,net,n_legs,oos,breach,ret_on_risk
2024-01-04,2024-01-11,21658.6,21647.2,14.1,65.63351030826476,4.3,200.0,9785.0,50,215.0,115.45,99.55,4,False,False,1.0173735309146652
2024-01-11,2024-01-18,21647.2,21462.25,12.97,63.88207452713414,9.12,200.0,9544.0,50,456.0,116.01,339.99,4,False,False,3.5623428331936298
2024-02-01,2024-02-08,21697.45,21717.95,16.05,55.517399350132656,10.1,200.0,9495.0,50,505.0,116.53,388.47,4,False,False,4.0913112164297
2024-02-08,2024-02-15,21717.95,21910.75,15.51,58.904552686444525,14.28,200.0,9286.0,50,714.0,116.96,597.04,4,False,False,6.429463708808959
2024-02-15,2024-02-22,21910.75,22217.45,15.44,55.504766979533684,8.57,200.0,9571.5,50,428.5,116.1,312.4,4,False,False,3.2638562398788067
2024-02-22,2024-02-29,22217.45,21982.8,15.93,58.42038149298274,8.16,200.0,9592.0,50,408.0,116.09,291.91,4,False,False,3.043265221017515
2024-02-29,2024-03-07,21982.8,22493.55,16.33,52.08323644086654,7.02,200.0,9649.0,50,351.0,115.91,235.09,4,False,False,2.4364182816872213
2024-03-14,2024-03-21,22146.65,22011.95,14.43,47.37572820191009,8.38,200.0,9581.0,50,419.0,115.94,303.06,4,False,False,3.163135372090596
2024-04-18,2024-04-25,21995.85,22570.35,12.62,45.22505324705644,16.84,200.0,9158.0,50,842.0,117.68,724.32,4,False,False,7.9091504695348345
2024-05-02,2024-05-09,22648.2,21957.5,12.87,57.747174753823145,8.47,200.0,4788.25,25,-2100.75,106.6,-2207.35,4,False,True,-46.09930559181329
2024-05-09,2024-05-16,21957.5,22403.85,17.08,47.328232384410605,7.51,200.0,4812.25,25,187.75,105.33,82.42,4,False,False,1.7127123486934386
2024-06-06,2024-06-13,22821.4,23398.9,18.89,51.29545931764194,9.71,200.0,4757.25,25,242.75,107.66,135.09,4,False,False,2.8396657732933943
2024-06-20,2024-06-27,23567.0,24044.5,13.71,61.63323149881307,6.68,200.0,4833.0,25,167.0,105.15,61.85,4,False,False,1.2797434305814195
2024-06-27,2024-07-04,24044.5,24302.15,14.05,66.6508491157643,10.43,200.0,4739.25,25,260.75,105.66,155.09,4,False,False,3.2724587223716837
2024-07-25,2024-08-01,24406.1,25010.9,11.76,60.54924205658766,14.72,200.0,4632.0,25,95.5,105.86,-10.36,4,False,True,-0.22366148531951638
2024-08-14,2024-08-22,24143.75,24811.5,16.17,45.72448596188364,7.35,200.0,4816.25,25,183.75,105.37,78.38,4,False,False,1.6274072151570205
