entry,expiry,yr,spot,settle,vix,credit,gross_pts,width,sp,sc,breach
2019-05-23,2019-05-30,2019,11657.05,11945.9,27.63,9.38,9.38,200.0,11000.0,12350.0,False
2019-06-20,2019-06-27,2019,11831.75,11841.55,14.73,5.91,5.91,200.0,11450.0,12200.0,False
2019-07-04,2019-07-11,2019,11946.75,11582.9,13.7,12.34,-4.76,200.0,11600.0,12300.0,True
2019-07-11,2019-07-18,2019,11582.9,11596.9,13.64,2.87,2.87,200.0,11250.0,11900.0,False
2019-07-18,2019-07-25,2019,11596.9,11252.15,11.8,4.66,-43.19,200.0,11300.0,11900.0,True
2019-08-22,2019-08-29,2019,10741.35,10948.3,17.02,11.13,11.13,200.0,10350.0,11150.0,False
2019-09-12,2019-09-19,2019,10982.8,10704.8,15.37,4.16,4.16,200.0,10650.0,11350.0,False
2019-09-19,2019-09-26,2019,10704.8,11571.2,15.35,7.73,-192.27,200.0,10350.0,11050.0,True
2019-10-31,2019-11-07,2019,11877.45,12012.05,16.66,6.05,6.05,200.0,11450.0,12300.0,False
2019-11-21,2019-11-28,2019,11968.4,12151.15,15.16,5.19,5.19,200.0,11600.0,12350.0,False
2019-12-05,2019-12-12,2019,12018.4,11971.8,13.32,2.77,2.77,200.0,11700.0,12350.0,False
2019-12-12,2019-12-19,2019,11971.8,12259.7,13.38,3.27,3.27,200.0,11650.0,12300.0,False
2020-01-02,2020-01-09,2020,12282.2,12215.9,11.6,2.52,2.52,200.0,12000.0,12600.0,False
2020-01-09,2020-01-16,2020,12215.9,12355.5,15.64,4.79,4.79,200.0,11800.0,12600.0,False
2020-01-16,2020-01-23,2020,12355.5,12180.35,14.12,2.22,2.22,200.0,12000.0,12700.0,False
2020-01-23,2020-01-30,2020,12180.35,12035.8,16.36,2.91,2.91,200.0,11750.0,12600.0,False
2020-01-30,2020-02-06,2020,12035.8,12137.95,16.5,30.84,30.84,200.0,11600.0,12450.0,False
2020-02-06,2020-02-13,2020,12137.95,12174.65,14.17,5.75,5.75,200.0,11800.0,12500.0,False
2020-02-13,2020-02-20,2020,12174.65,12080.85,13.62,4.76,4.76,200.0,11850.0,12500.0,False
2020-02-27,2020-03-05,2020,11633.3,11269.0,18.26,11.36,11.36,200.0,11200.0,12100.0,False
2020-06-11,2020-06-18,2020,9902.0,10091.65,29.44,16.87,16.87,200.0,9300.0,10500.0,False
2020-06-25,2020-07-02,2020,10288.9,10551.7,29.58,13.22,13.22,200.0,9650.0,10950.0,False
2020-07-02,2020-07-09,2020,10551.7,10813.45,28.12,6.73,6.73,200.0,9950.0,11200.0,False
2020-07-09,2020-07-16,2020,10813.45,10739.95,26.1,5.83,5.83,200.0,10200.0,11400.0,False
2020-07-16,2020-07-23,2020,10739.95,11215.45,26.29,6.27,6.27,200.0,10150.0,11350.0,False
2020-07-23,2020-07-30,2020,11215.45,11102.15,24.89,7.75,7.75,200.0,10650.0,11800.0,False
2020-07-30,2020-08-06,2020,11102.15,11200.15,24.11,7.22,7.22,200.0,10550.0,11650.0,False
2020-08-06,2020-08-13,2020,11200.15,11300.45,23.57,5.03,5.03,200.0,10650.0,11750.0,False
2020-08-13,2020-08-20,2020,11300.45,11312.2,20.85,4.38,4.38,200.0,10800.0,11800.0,False
2020-08-20,2020-08-27,2020,11312.2,11559.25,19.96,10.04,10.04,200.0,10850.0,11800.0,False
2020-08-27,2020-09-03,2020,11559.25,11527.45,19.3,6.62,6.62,200.0,11100.0,12050.0,False
2020-09-03,2020-09-10,2020,11527.45,11449.25,21.11,5.02,5.02,200.0,11000.0,12050.0,False
2020-09-10,2020-09-17,2020,11449.25,11516.1,22.23,6.22,6.22,200.0,10900.0,12000.0,False
2020-09-17,2020-09-24,2020,11516.1,10805.55,19.66,9.15,-190.85,200.0,11050.0,12000.0,True
2020-09-24,2020-10-01,2020,10805.55,11416.95,20.99,18.22,-98.73,200.0,10350.0,11300.0,True
2020-10-08,2020-10-15,2020,11834.6,11680.35,20.06,10.95,10.95,200.0,11350.0,12350.0,False
2020-10-15,2020-10-22,2020,11680.35,11896.45,20.21,14.4,14.4,200.0,11200.0,12200.0,False
2020-10-22,2020-10-29,2020,11896.45,11670.8,22.92,6.73,6.73,200.0,11300.0,12450.0,False
2020-10-29,2020-11-05,2020,11670.8,12120.3,23.28,21.58,21.58,200.0,11100.0,12250.0,False
2020-11-05,2020-11-12,2020,12120.3,12690.8,23.2,8.3,8.3,200.0,11550.0,12700.0,False
2020-11-19,2020-11-26,2020,12771.7,12987.0,19.12,6.22,6.22,200.0,12250.0,13300.0,False
2020-12-03,2020-12-10,2020,13133.9,13478.3,19.91,4.9,4.9,200.0,12600.0,13700.0,False
2020-12-10,2020-12-17,2020,13478.3,13740.7,18.92,7.44,7.44,200.0,12950.0,14000.0,False
2020-12-17,2020-12-24,2020,13740.7,13749.25,19.2,3.99,3.99,200.0,13200.0,14300.0,False
2020-12-31,2021-01-07,2021,13981.75,14137.35,21.11,7.07,7.07,200.0,13350.0,14600.0,False
2021-01-07,2021-01-14,2021,14137.35,14595.6,21.0,5.87,5.87,200.0,13500.0,14750.0,False
2021-01-14,2021-01-21,2021,14595.6,14590.35,23.29,4.41,4.41,200.0,13900.0,15300.0,False
2021-01-28,2021-02-04,2021,13817.55,14895.65,24.39,24.39,-175.61,200.0,13100.0,14550.0,True
2021-02-04,2021-02-11,2021,14895.65,15173.3,23.75,7.33,7.33,200.0,14150.0,15650.0,False
2021-02-18,2021-02-25,2021,15118.95,15097.35,21.51,7.54,7.54,200.0,14450.0,15800.0,False
2021-02-25,2021-03-04,2021,15097.35,15080.75,24.17,5.12,5.12,200.0,14350.0,15850.0,False
2021-03-10,2021-03-18,2021,15174.8,14557.85,22.5,7.89,7.89,200.0,14450.0,15900.0,False
2021-03-18,2021-03-25,2021,14557.85,14324.9,20.16,23.65,23.65,200.0,13950.0,15200.0,False
2021-04-22,2021-04-29,2021,14406.15,14894.9,22.43,18.51,18.51,200.0,13750.0,15100.0,False
2021-04-29,2021-05-06,2021,14894.9,14724.8,22.58,15.92,15.92,200.0,14200.0,15600.0,False
2021-05-12,2021-05-20,2021,14696.5,14906.05,19.83,11.53,11.53,200.0,14100.0,15300.0,False
2021-05-20,2021-05-27,2021,14906.05,15337.85,19.32,10.15,10.15,200.0,14300.0,15500.0,False
2021-05-27,2021-06-03,2021,15337.85,15690.35,20.87,3.8,3.8,200.0,14650.0,16000.0,False
2021-06-03,2021-06-10,2021,15690.35,15737.75,17.21,4.38,4.38,200.0,15100.0,16250.0,False
2021-06-10,2021-06-17,2021,15737.75,15691.4,14.75,5.42,5.42,200.0,15250.0,16250.0,False
2021-06-17,2021-06-24,2021,15691.4,15790.45,14.87,9.19,9.19,200.0,15200.0,16200.0,False
2021-06-24,2021-07-01,2021,15790.45,15680.0,15.37,8.32,8.32,200.0,15300.0,16300.0,False
2021-07-01,2021-07-08,2021,15680.0,15727.9,13.05,5.44,5.44,200.0,15250.0,16100.0,False
2021-07-08,2021-07-15,2021,15727.9,15924.2,12.21,9.71,9.71,200.0,15300.0,16150.0,False
2021-07-22,2021-07-29,2021,15824.05,15778.45,13.21,4.84,4.84,200.0,15400.0,16250.0,False
2021-07-29,2021-08-05,2021,15778.45,16294.6,13.69,3.55,-41.05,200.0,15300.0,16250.0,True
2021-08-05,2021-08-12,2021,16294.6,16364.4,13.21,9.4,9.4,200.0,15850.0,16750.0,False
2021-08-18,2021-08-26,2021,16568.85,16636.9,13.41,6.67,6.67,200.0,16100.0,17050.0,False
2021-08-26,2021-09-02,2021,16636.9,17234.15,13.5,5.84,-128.31,200.0,16150.0,17100.0,True
2021-09-02,2021-09-09,2021,17234.15,17369.25,14.19,8.46,8.46,200.0,16700.0,17750.0,False
2021-09-16,2021-09-23,2021,17629.5,17822.95,13.73,8.24,8.24,200.0,17100.0,18150.0,False
2021-09-23,2021-09-30,2021,17822.95,17618.15,16.49,7.19,7.19,200.0,17200.0,18450.0,False
2021-09-30,2021-10-07,2021,17618.15,17790.35,18.84,8.16,8.16,200.0,16900.0,18300.0,False
2021-10-07,2021-10-14,2021,17790.35,18338.55,17.33,4.68,4.68,200.0,17150.0,18450.0,False
2021-10-21,2021-10-28,2021,18178.1,17857.25,18.31,8.55,8.55,200.0,17500.0,18900.0,False
