Date,Strategy,Instrument,Assigned_Capital,Position,Gross_PnL,Friction_Taxes,Net_PnL,Win,Exit_Reason,Details
2026-07-01,Strategy 1: Apex VRP Engine,NIFTY Weekly Iron Condor,100000.0,Sell OTM Condor,1062.5,140.0,922.5,True,EXPIRED_OTM,Spot 24006 | Put 23336 / Call 24675 (Range 23895-24531)
2026-07-01,Strategy 2: Zen Curvature Spread,NIFTY Put Credit Spread,100000.0,Sell Bull Put Spread,743.75,140.0,603.75,True,OTM_EXPIRY,Spot 24006 | Short Put 23700 vs Low 24059
2026-07-01,Strategy 4: Golden Trend Runner,NIFTY 25 Qty Option Buyer,50000.0,Buy CE,-1729.58,61.89,-1791.47,False,STOP_LOSS,Entry 24035.6 | Stop 125.8 | Target 377.4
2026-07-02,Strategy 4: Golden Trend Runner,NIFTY 25 Qty Option Buyer,50000.0,Buy CE,1729.73,66.8,1662.93,True,EOD_CLOSE,Entry 24049.9 | Stop 123.8 | Target 371.3
2026-07-03,Strategy 2: Zen Curvature Spread,NIFTY Put Credit Spread,100000.0,Sell Bull Put Spread,743.75,140.0,603.75,True,OTM_EXPIRY,Spot 24271 | Short Put 23995 vs Low 24287
2026-07-03,Strategy 4: Golden Trend Runner,NIFTY 25 Qty Option Buyer,50000.0,Buy CE,1049.11,65.83,983.28,True,EOD_CLOSE,Entry 24194.6 | Stop 121.4 | Target 364.2
2026-07-06,Strategy 1: Apex VRP Engine,NIFTY Weekly Iron Condor,100000.0,Sell OTM Condor,-1875.0,140.0,-2015.0,False,BREACHED_WING,Spot 24430 | Put 23822 / Call 25039 (Range 23805-24531)
2026-07-06,Strategy 4: Golden Trend Runner,NIFTY 25 Qty Option Buyer,50000.0,Buy CE,717.74,65.36,652.38,True,EOD_CLOSE,Entry 24378.2 | Stop 111.3 | Target 334.0
2026-07-06,Strategy 6: Micro Momentum Sniper,NIFTY 25 Qty Option Buyer,10000.0,Buy CE,717.74,65.36,652.38,True,EOD_CLOSE,Entry 24378.2 | Stop 55.1 | Target 165.3
2026-07-07,Strategy 2: Zen Curvature Spread,NIFTY Put Credit Spread,100000.0,Sell Bull Put Spread,-1312.5,140.0,-1452.5,False,BREACH_STOP,Spot 24399 | Short Put 24125 vs Low 23805
2026-07-07,Strategy 4: Golden Trend Runner,NIFTY 25 Qty Option Buyer,50000.0,Buy CE,-1432.34,62.32,-1494.66,False,STOP_LOSS,Entry 24458.7 | Stop 104.2 | Target 312.5
