trade_id,strategy,signal_time,decision_time,order_time,fill_time,underlying,contract_symbol,strike,option_type,lot_size,entry_price,exit_price,primary_gross_pnl,independent_gross_pnl,brokerage,stt,exchange_charges,sebi_charges,stamp_duty,gst,slippage,primary_costs,independent_costs,primary_net_pnl,independent_net_pnl,reconciliation_status,contract_verification
TRD_2026_0001,golden_trend_buyer,2026-02-03 15:20:00,2026-02-04 09:15:00,2026-02-04 09:15:01,2026-02-04 09:15:02,NIFTY,NIFTY_25650.0_PE,25650.0,PE,65,100.0,25.92,-4815.5,-4815.5,40.0,1.68,2.86,0.0082,0.2,7.72,32.5,13.71,84.97,-4829.21,-4900.47,MISMATCH,UNVERIFIABLE
TRD_2026_0002,golden_trend_buyer,2026-02-05 15:20:00,2026-02-06 09:15:00,2026-02-06 09:15:01,2026-02-06 09:15:02,NIFTY,NIFTY_25600.0_PE,25600.0,PE,65,100.0,37.19,-4082.62,-4082.62,40.0,2.42,3.12,0.0089,0.2,7.76,32.5,15.5,86.01,-4098.12,-4168.63,MISMATCH,UNVERIFIABLE
TRD_2026_0003,golden_trend_buyer,2026-02-10 15:20:00,2026-02-11 09:15:00,2026-02-11 09:15:01,2026-02-11 09:15:02,NIFTY,NIFTY_26000.0_CE,26000.0,CE,65,100.0,80.42,-1272.69,-1272.69,40.0,5.23,4.1,0.0117,0.2,7.94,32.5,22.37,89.98,-1295.06,-1362.67,MISMATCH,UNVERIFIABLE
TRD_2026_0004,golden_trend_buyer,2026-02-13 15:20:00,2026-02-16 09:15:00,2026-02-16 09:15:01,2026-02-16 09:15:02,NIFTY,NIFTY_25650.0_CE,25650.0,CE,65,100.0,9.72,-5868.42,-5868.42,40.0,0.63,2.5,0.0071,0.2,7.65,32.5,11.13,83.49,-5879.55,-5951.91,MISMATCH,UNVERIFIABLE
TRD_2026_0005,golden_trend_buyer,2026-02-16 15:20:00,2026-02-17 09:15:00,2026-02-17 09:15:01,2026-02-17 09:15:02,NIFTY,NIFTY_25700.0_CE,25700.0,CE,65,100.0,115.62,1015.31,1015.31,40.0,7.52,4.91,0.014,0.2,8.09,32.5,27.96,93.23,987.35,922.08,MISMATCH,UNVERIFIABLE
TRD_2026_0006,golden_trend_buyer,2026-02-17 15:20:00,2026-02-18 09:15:00,2026-02-18 09:15:01,2026-02-18 09:15:02,NIFTY,NIFTY_25750.0_CE,25750.0,CE,65,100.0,130.22,1964.43,1964.43,40.0,8.46,5.24,0.015,0.2,8.15,32.5,30.28,94.56,1934.15,1869.87,MISMATCH,UNVERIFIABLE
TRD_2026_0007,golden_trend_buyer,2026-02-18 15:20:00,2026-02-19 09:15:00,2026-02-19 09:15:01,2026-02-19 09:15:02,NIFTY,NIFTY_25850.0_CE,25850.0,CE,65,100.0,11.84,-5730.72,-5730.72,40.0,0.77,2.54,0.0073,0.2,7.66,32.5,11.47,83.68,-5742.19,-5814.4,MISMATCH,UNVERIFIABLE
TRD_2026_0008,golden_trend_buyer,2026-02-25 15:20:00,2026-02-26 09:15:00,2026-02-26 09:15:01,2026-02-26 09:15:02,NIFTY,NIFTY_25450.0_PE,25450.0,PE,65,100.0,30.62,-4509.47,-4509.47,40.0,1.99,2.97,0.0085,0.2,7.74,32.5,14.45,85.41,-4523.92,-4594.88,MISMATCH,UNVERIFIABLE
TRD_2026_0009,golden_trend_buyer,2026-02-26 15:20:00,2026-02-27 09:15:00,2026-02-27 09:15:01,2026-02-27 09:15:02,NIFTY,NIFTY_25400.0_PE,25400.0,PE,65,100.0,222.26,7947.18,7947.18,40.0,14.45,7.33,0.0209,0.2,8.52,32.5,44.91,103.02,7902.27,7844.16,MISMATCH,UNVERIFIABLE
TRD_2026_0010,golden_trend_buyer,2026-02-27 15:20:00,2026-03-02 09:15:00,2026-03-02 09:15:01,2026-03-02 09:15:02,NIFTY,NIFTY_25150.0_PE,25150.0,PE,65,100.0,313.24,13860.33,13860.33,40.0,20.36,9.4,0.0269,0.2,8.9,32.5,59.37,111.39,13800.96,13748.94,MISMATCH,UNVERIFIABLE
TRD_2026_0011,golden_trend_buyer,2026-03-02 15:20:00,2026-03-04 09:15:00,2026-03-04 09:15:01,2026-03-04 09:15:02,NIFTY,NIFTY_24600.0_PE,24600.0,PE,65,100.0,167.65,4397.25,4397.25,40.0,10.9,6.09,0.0174,0.2,8.3,32.5,36.23,98.01,4361.02,4299.24,MISMATCH,UNVERIFIABLE
TRD_2026_0012,golden_trend_buyer,2026-03-05 15:20:00,2026-03-06 09:15:00,2026-03-06 09:15:01,2026-03-06 09:15:02,NIFTY,NIFTY_24550.0_PE,24550.0,PE,65,100.0,7.79,-5993.87,-5993.87,40.0,0.51,2.45,0.007,0.2,7.64,32.5,10.82,83.31,-6004.69,-6077.18,MISMATCH,UNVERIFIABLE
TRD_2026_0013,golden_trend_buyer,2026-03-06 15:20:00,2026-03-09 09:15:00,2026-03-09 09:15:01,2026-03-09 09:15:02,NIFTY,NIFTY_24400.0_PE,24400.0,PE,65,100.0,375.89,17932.77,17932.77,40.0,24.43,10.83,0.0309,0.2,9.15,32.5,69.33,117.14,17863.44,17815.63,MISMATCH,UNVERIFIABLE
TRD_2026_0014,golden_trend_buyer,2026-03-10 15:20:00,2026-03-11 09:15:00,2026-03-11 09:15:01,2026-03-11 09:15:02,NIFTY,NIFTY_24100.0_PE,24100.0,PE,65,100.0,0.5,-6628.75,-6467.5,40.0,0.03,2.29,0.0065,0.2,7.61,32.5,9.67,82.64,-6638.42,-6550.14,MISMATCH,UNVERIFIABLE
TRD_2026_0015,golden_trend_buyer,2026-03-11 15:20:00,2026-03-12 09:15:00,2026-03-12 09:15:01,2026-03-12 09:15:02,NIFTY,NIFTY_23850.0_PE,23850.0,PE,65,100.0,207.33,6976.63,6976.63,40.0,13.48,6.99,0.02,0.2,8.46,32.5,42.54,101.65,6934.09,6874.98,MISMATCH,UNVERIFIABLE
TRD_2026_0016,golden_trend_buyer,2026-03-12 15:20:00,2026-03-13 09:15:00,2026-03-13 09:15:01,2026-03-13 09:15:02,NIFTY,NIFTY_23550.0_PE,23550.0,PE,65,100.0,322.86,14485.94,14485.94,40.0,20.99,9.62,0.0275,0.2,8.94,32.5,60.9,112.28,14425.04,14373.66,MISMATCH,UNVERIFIABLE
TRD_2026_0017,golden_trend_buyer,2026-03-13 15:20:00,2026-03-16 09:15:00,2026-03-16 09:15:01,2026-03-16 09:15:02,NIFTY,NIFTY_23100.0_PE,23100.0,PE,65,100.0,0.5,-7061.77,-6467.5,40.0,0.03,2.29,0.0065,0.2,7.61,32.5,9.67,82.64,-7071.44,-6550.14,MISMATCH,UNVERIFIABLE
TRD_2026_0018,golden_trend_buyer,2026-03-18 15:20:00,2026-03-19 09:15:00,2026-03-19 09:15:01,2026-03-19 09:15:02,NIFTY,NIFTY26MAR23600PE,23600.0,PE,65,100.0,445.05,22428.26,22428.26,40.0,28.93,12.4,0.0354,0.2,9.44,32.5,80.32,123.51,22347.94,22304.75,MISMATCH,EOD_SETTLEMENT_REPLAY
TRD_2026_0019,golden_trend_buyer,2026-03-20 15:20:00,2026-03-23 09:15:00,2026-03-23 09:15:01,2026-03-23 09:15:02,NIFTY,NIFTY_23050.0_PE,23050.0,PE,65,100.0,405.22,19839.43,19839.43,40.0,26.34,11.49,0.0328,0.2,9.27,32.5,73.99,119.83,19765.44,19719.6,MISMATCH,UNVERIFIABLE
