symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_pct,win,parsed_date,month
DIVISLAB,2026-01-06,2026-01-14,6615.220703125,6329.3994140625,88,-26034.586094117607,-4.320661424455263,False,2026-01-06,2026-01
AXISBANK,2026-01-06,2026-03-06,1292.802978515625,1314.7860107421875,452,8996.518095645355,1.700416273158889,True,2026-01-06,2026-01
ADANIPORTS,2026-02-04,2026-03-02,1561.3199462890625,1464.1295166015625,368,-36620.35095207067,-6.224888749964519,False,2026-02-04,2026-02
EICHERMOT,2026-02-11,2026-03-04,7690.46630859375,7547.4638671875,74,-11466.84470244497,-1.8594768596340017,False,2026-02-11,2026-02
HINDALCO,2026-04-15,2026-06-08,1006.200927734375,1056.886474609375,560,27447.835279808845,5.037318638646737,True,2026-04-15,2026-04
ADANIPORTS,2026-04-16,2026-07-23,1543.2958984375,1778.5,367,85290.01651019254,15.240376249339537,True,2026-04-16,2026-04
EICHERMOT,2026-06-15,2026-06-30,7545.48486328125,7000.19482421875,77,-42841.937825720874,-7.226706420366124,False,2026-06-15,2026-06
AXISBANK,2026-06-24,2026-07-03,1383.43310546875,1341.065673828125,424,-18864.02558426396,-3.0624850217293,False,2026-06-24,2026-06
DRREDDY,2026-06-29,2026-07-09,1367.03076171875,1261.5,423,-45485.7910178263,-7.7197064377737545,False,2026-06-29,2026-06
BAJFINANCE,2026-06-30,2026-08-19,1004.75,1080.199951171875,571,42107.404376042774,7.5093258195446655,True,2026-06-30,2026-06
APOLLOHOSP,2026-07-03,2026-08-12,8883.1591796875,8587.00390625,65,-20134.20630993729,-3.333895829703215,False,2026-07-03,2026-07
EICHERMOT,2026-08-03,2026-09-02,8050.0,7711.5,74,-25952.37835321005,-4.204968944099374,False,2026-08-03,2026-08
