strategy,cycle_idx,entry_dt,exit_dt,dte,lot,spot_entry,spot_exit,legs_count,leg1_id,leg1_type,leg1_strike,leg1_in,leg1_out,leg1_vol,leg2_id,leg2_type,leg2_strike,leg2_in,leg2_out,leg2_vol,gross,costs,net,stt,turnover_fees,sebi_charges,stamp_duty,gst,slippage,variance_reconciliation,hist_margin,vix
OPT_ATM_STRADDLE_0DTE,1,2024-09-19,2024-09-19,0,25,25487.05,25415.8,2,67963,CE,25500.0,63.0,0.3,47926784,67964,PE,25500.0,107.0,91.45,34340766,1956.25,124.53,1831.72,2.3,2.29,0.0066,0.13,14.809999999999999,25.0,2.2737367544323206e-13,61595.862499999996,12.47
OPT_ATM_STRADDLE_0DTE,2,2024-09-26,2024-09-26,0,25,26005.4,26216.05,2,65913,CE,26000.0,58.0,228.0,11689830,65914,PE,26000.0,57.8,0.7,29728689,-2822.5,128.76,-2951.26,5.72,3.01,0.0087,0.08,14.940000000000001,25.0,9.094947017729282e-13,61407.149999999994,12.0
OPT_ATM_STRADDLE_0DTE,3,2024-10-03,2024-10-03,0,25,25452.85,25250.1,2,58531,CE,25450.0,158.0,0.3,16812605,58532,PE,25450.0,63.0,196.15,12983891,613.7499999999995,128.81,484.93999999999954,4.91,3.66,0.010499999999999999,0.16999999999999998,15.06,25.0,5.115907697472721e-13,62793.9125,13.17
OPT_ATM_STRADDLE_0DTE,4,2024-10-10,2024-10-10,0,25,25067.05,24998.45,2,47172,CE,25050.0,60.0,0.35,47763366,47173,PE,25050.0,98.0,51.25,26023859,2660.0,122.98,2537.02,1.29,1.84,0.0052,0.11000000000000001,14.74,25.0,0.0,60350.862499999996,13.5
OPT_ATM_STRADDLE_0DTE,5,2024-10-17,2024-10-17,0,25,25027.4,24749.85,2,48298,CE,25050.0,42.0,0.15,10885437,48309,PE,25050.0,79.9,298.25,840199,-4412.5,131.31,-4543.81,7.46,3.68,0.0106,0.09,15.07,25.0,0.0,59359.149999999994,13.39
OPT_ATM_STRADDLE_0DTE,6,2024-10-24,2024-10-24,0,25,24412.7,24399.4,2,43711,CE,24400.0,96.0,2.2,78954953,43714,PE,24400.0,64.0,1.0,83253278,3920.0000000000005,121.30000000000001,3798.7000000000003,0.09,1.43,0.0041,0.12000000000000001,14.66,25.0,4.547473508864641e-13,58928.575,13.97
OPT_ATM_STRADDLE_0DTE,7,2024-10-31,2024-10-31,0,25,24349.85,24205.35,2,49016,CE,24350.0,70.0,0.2,17267797,49017,PE,24350.0,80.0,146.35,4507637,86.25000000000007,126.25,-39.99999999999993,3.67,2.59,0.0075,0.11,14.87,25.0,7.105427357601002e-14,58537.1625,15.55
OPT_ATM_STRADDLE_0DTE,8,2024-11-07,2024-11-07,0,25,24489.6,24199.35,2,50396,CE,24500.0,60.0,0.1,17296003,50399,PE,24500.0,111.0,300.7,1834252,-3244.9999999999995,131.93,-3376.9299999999994,7.52,4.13,0.0118,0.12,15.149999999999999,25.0,9.094947017729282e-13,59376.6,14.94
OPT_ATM_STRADDLE_0DTE,9,2024-11-14,2024-11-14,0,25,23542.15,23532.7,2,43852,CE,23550.0,112.0,0.35,56080282,43853,PE,23550.0,90.0,24.65,36338779,4425.0,122.52000000000001,4302.48,0.63,1.98,0.0057,0.15000000000000002,14.76,25.0,9.094947017729282e-13,58019.83750000001,14.78
OPT_ATM_STRADDLE_0DTE,10,2024-11-21,2024-11-21,0,25,23488.45,23349.9,2,43309,CE,23500.0,98.75,0.3,20000371,43314,PE,23500.0,110.0,153.25,2308750,1380.0,127.15,1252.85,3.84,3.17,0.0091,0.15000000000000002,14.98,25.0,2.2737367544323206e-13,58067.762500000004,15.99
OPT_ATM_STRADDLE_0DTE,11,2024-11-28,2024-11-28,0,25,24274.15,23914.15,2,42965,CE,24250.0,105.0,0.35,16633345,42966,PE,24250.0,49.9,347.0,6035742,-4811.25,133.41,-4944.66,8.69,4.390000000000001,0.0125,0.12,15.2,25.0,0.0,58489.337499999994,15.21
OPT_ATM_STRADDLE_0DTE,12,2024-12-05,2024-12-05,0,25,24539.15,24708.4,2,53028,CE,24550.0,92.2,80.25,8979448,53034,PE,24550.0,146.9,7.95,14369025,3772.500000000001,125.16,3647.340000000001,2.21,2.8600000000000003,0.008199999999999999,0.18,14.91,25.0,9.094947017729282e-13,61190.58750000001,14.53
OPT_ATM_STRADDLE_0DTE,13,2024-12-12,2024-12-12,0,25,24604.45,24548.7,2,46121,CE,24600.0,69.5,0.25,45081797,46122,PE,24600.0,55.9,50.95,30395046,1854.9999999999998,122.59,1732.4099999999999,1.28,1.54,0.0044,0.09,14.68,25.0,2.2737367544323206e-13,58495.012500000004,13.19
OPT_ATM_STRADDLE_0DTE,14,2024-12-19,2024-12-19,0,25,23877.15,23951.7,2,47374,CE,23900.0,79.8,52.3,14814668,47377,PE,23900.0,73.75,0.4,32390988,2521.25,122.97999999999999,2398.27,1.32,1.81,0.0052,0.12,14.73,25.0,0.0,57562.337499999994,14.51
OPT_ATM_STRADDLE_0DTE,15,2024-12-26,2024-12-26,0,25,23775.8,23750.2,2,41687,CE,23800.0,51.3,0.2,39934382,41688,PE,23800.0,67.45,50.45,21434287,1702.4999999999998,122.50999999999999,1579.9899999999998,1.27,1.48,0.0042,0.09,14.67,25.0,2.2737367544323206e-13,56464.29999999999,14.04
OPT_ATM_STRADDLE_0DTE,16,2025-01-02,2025-01-02,0,75,23783.0,24188.65,2,52523,CE,23800.0,100.0,391.6,2193088,52524,PE,23800.0,105.0,0.35,6069265,-14021.250000000002,217.82,-14239.070000000002,29.400000000000002,15.67,0.044800000000000006,0.47,17.23,75.0,1.8189894035458565e-12,175910.24999999997,13.74
OPT_ATM_STRADDLE_0DTE,17,2025-01-09,2025-01-09,0,75,23674.75,23526.5,2,48100,CE,23650.0,77.0,0.15,9039251,48101,PE,23650.0,49.55,130.15,3611868,-281.2500000000011,187.44,-468.6900000000011,9.77,6.75,0.019299999999999998,0.28,15.620000000000001,75.0,1.4779288903810084e-12,169295.8125,14.66
OPT_ATM_STRADDLE_0DTE,18,2025-01-16,2025-01-16,0,75,23377.25,23311.8,2,52573,CE,23400.0,30.0,0.15,7425326,52576,PE,23400.0,98.9,95.65,1980720,2482.5,183.83999999999997,2298.66,7.18,5.9,0.0169,0.29000000000000004,15.459999999999999,75.0,0.0,167463.9375,15.47
OPT_ATM_STRADDLE_0DTE,19,2025-01-23,2025-01-23,0,75,23128.3,23205.35,2,54784,CE,23150.0,53.0,56.8,3786373,54785,PE,23150.0,62.0,0.2,7523436,4350.0,179.26,4170.74,4.27,4.51,0.012900000000000002,0.26,15.21,75.0,0.0,164741.025,16.7
OPT_ATM_STRADDLE_0DTE,20,2025-01-30,2025-01-30,0,25,23169.5,23249.5,2,43287,CE,23150.0,104.45,73.5,9767102,43491,PE,23150.0,121.5,1.2,18116738,3781.25,124.53999999999999,3656.71,1.87,2.63,0.0075,0.16999999999999998,14.870000000000001,25.0,0.0,57780.125,17.39
OPT_ATM_STRADDLE_0DTE,21,2025-02-06,2025-02-06,0,75,23761.95,23603.35,2,44974,CE,23750.0,50.0,0.15,5954085,44975,PE,23750.0,89.35,153.4,921606,-1065.0000000000007,190.32999999999998,-1255.3300000000006,11.52,7.69,0.022000000000000002,0.31,15.79,75.0,6.821210263296962e-13,170844.4125,14.18
OPT_ATM_STRADDLE_0DTE,22,2025-02-13,2025-02-13,0,75,23055.75,23031.4,2,51191,CE,23050.0,90.0,2.0,12848168,51193,PE,23050.0,77.75,17.5,14807270,11118.75,177.06,10941.69,1.46,4.92,0.014,0.37,15.29,75.0,1.8189894035458565e-12,168207.5625,14.96
OPT_ATM_STRADDLE_0DTE,23,2025-02-20,2025-02-20,0,75,22821.1,22913.15,2,63489,CE,22800.0,114.2,112.6,2820400,63490,PE,22800.0,50.05,0.2,9282910,3858.75,186.82999999999998,3671.92,8.459999999999999,7.2700000000000005,0.020800000000000003,0.37,15.71,75.0,0.0,166361.175,14.68
OPT_ATM_STRADDLE_0DTE,24,2025-02-27,2025-02-27,0,75,22568.95,22545.05,2,55621,CE,22550.0,69.9,2.2,14736034,55622,PE,22550.0,39.0,2.0,15932509,7852.5,173.48,7679.02,0.32,2.9699999999999998,0.0085,0.25,14.93,75.0,9.094947017729282e-13,160507.9125,13.31
OPT_ATM_STRADDLE_0DTE,25,2025-03-06,2025-03-06,0,75,22476.35,22544.7,2,68446,CE,22500.0,39.85,44.55,24631122,68447,PE,22500.0,91.75,0.45,14574920,6495.0,178.57,6316.43,3.3699999999999997,4.640000000000001,0.0132,0.3,15.239999999999998,75.0,9.094947017729282e-13,161585.3625,13.73
OPT_ATM_STRADDLE_0DTE,26,2025-03-13,2025-03-13,0,75,22541.5,22397.2,2,45470,CE,22550.0,40.2,0.15,12388878,45471,PE,22550.0,84.2,154.4,4671257,-2261.25,189.93,-2451.18,11.59,7.32,0.0209,0.28,15.719999999999999,75.0,4.547473508864641e-13,161485.125,13.28
OPT_ATM_STRADDLE_0DTE,27,2025-03-20,2025-03-20,0,75,23036.6,23190.65,2,50225,CE,23050.0,44.95,145.7,8957461,50226,PE,23050.0,80.0,0.25,10210472,-1574.9999999999989,189.04000000000002,-1764.0399999999988,10.95,7.109999999999999,0.0203,0.28,15.68,75.0,1.1368683772161603e-12,164868.3,12.6
OPT_ATM_STRADDLE_0DTE,28,2025-03-27,2025-03-27,0,75,23433.95,23591.95,2,51124,CE,23450.0,93.35,145.75,926439,51127,PE,23450.0,55.15,0.4,4477187,176.24999999999957,189.83999999999997,-13.590000000000401,10.959999999999999,7.74,0.022099999999999998,0.32999999999999996,15.79,75.0,2.5579538487363607e-13,169316.6625,13.3
OPT_ATM_STRADDLE_0DTE,29,2025-04-03,2025-04-03,0,75,23150.3,23250.1,2,54646,CE,23150.0,66.75,101.0,1386438,54664,PE,23150.0,80.0,0.25,5527269,3412.5,185.03,3227.47,7.6,6.51,0.0186,0.32999999999999996,15.57,75.0,4.547473508864641e-13,167270.775,13.6
OPT_ATM_STRADDLE_0DTE,30,2025-04-09,2025-04-09,0,75,22460.3,22399.15,2,43856,CE,22450.0,200.0,0.3,11878520,43857,PE,22450.0,121.55,51.45,5325368,20234.999999999996,185.60000000000002,20049.399999999998,3.88,9.8,0.027999999999999997,0.72,16.17,75.0,3.637978807091713e-12,175723.275,21.43
OPT_ATM_STRADDLE_0DTE,31,2025-04-17,2025-04-17,0,75,23401.85,23851.65,2,48249,CE,23400.0,63.6,452.85,7284485,48258,PE,23400.0,83.9,0.2,8071042,-22916.25,222.37,-23138.62,33.97,15.77,0.045,0.33,17.25,75.0,0.0,169024.9875,15.47
OPT_ATM_STRADDLE_0DTE,32,2025-04-24,2025-04-24,0,75,24277.9,24246.7,2,79632,CE,24300.0,49.8,0.25,12093988,79633,PE,24300.0,60.95,55.1,6904271,4155.0,178.95999999999998,3976.04,4.1499999999999995,4.359999999999999,0.012499999999999999,0.25,15.190000000000001,75.0,0.0,172182.075,16.25
OPT_ATM_STRADDLE_0DTE,33,2025-04-30,2025-04-30,0,75,24342.05,24334.2,2,52000,CE,24350.0,38.35,13.45,30818538,52001,PE,24350.0,69.0,2.7,30757575,6840.0,174.7,6665.3,1.21,3.24,0.0093,0.25,14.99,75.0,0.0,172360.0875,18.22
OPT_ATM_STRADDLE_0DTE,34,2025-05-08,2025-05-08,0,75,24431.5,24273.8,2,38608,CE,24450.0,28.6,0.3,8811719,38609,PE,24450.0,94.4,155.25,3641250,-2441.25,189.98000000000002,-2631.23,11.66,7.31,0.020900000000000002,0.27,15.72,75.0,4.547473508864641e-13,174137.625,21.01
OPT_ATM_STRADDLE_0DTE,35,2025-05-15,2025-05-15,0,75,24694.45,25062.1,2,46278,CE,24700.0,66.15,369.65,7598227,46279,PE,24700.0,104.95,0.4,6688066,-14921.25,214.36,-15135.61,27.75,14.209999999999999,0.0406,0.39,16.97,75.0,0.0,179520.0375,16.89
OPT_ATM_STRADDLE_0DTE,36,2025-05-22,2025-05-22,0,75,24733.95,24609.7,2,49216,CE,24750.0,115.0,0.7,6943232,49217,PE,24750.0,113.85,145.7,642250,6183.75,192.56,5991.19,10.98,9.85,0.0282,0.52,16.18,75.0,0.0,184117.9125,17.26
OPT_ATM_STRADDLE_0DTE,37,2025-05-29,2025-05-29,0,75,24825.1,24833.6,2,61727,CE,24850.0,75.0,1.7,12551126,61750,PE,24850.0,150.0,27.3,3944688,14700.0,179.97,14520.03,2.1799999999999997,6.66,0.0191,0.51,15.599999999999998,75.0,1.8189894035458565e-12,184444.42499999996,16.42
OPT_ATM_STRADDLE_0DTE,38,2025-06-05,2025-06-05,0,75,24691.2,24750.9,2,40475,CE,24700.0,59.9,42.75,14924812,40476,PE,24700.0,104.9,1.05,22460409,9075.0,179.54000000000002,8895.46,3.29,5.47,0.015600000000000001,0.37,15.39,75.0,0.0,179025.6,15.08
OPT_ATM_STRADDLE_0DTE,39,2025-06-12,2025-06-12,0,75,25164.45,24888.2,2,44872,CE,25150.0,59.0,0.2,9696736,44873,PE,25150.0,84.9,257.4,3444809,-8527.499999999998,201.5,-8728.999999999998,19.310000000000002,10.540000000000001,0.030100000000000002,0.32,16.3,75.0,1.8189894035458565e-12,180652.53749999998,14.02
OPT_ATM_STRADDLE_0DTE,40,2025-06-19,2025-06-19,0,75,24803.25,24793.25,2,51001,CE,24800.0,55.0,3.25,27577860,51002,PE,24800.0,60.0,2.35,38442973,8205.0,173.82999999999998,8031.17,0.42,3.17,0.0091,0.26,14.98,75.0,0.0,176046.9375,14.26
OPT_ATM_STRADDLE_0DTE,41,2025-06-26,2025-06-26,0,75,25268.95,25549.0,2,62409,CE,25250.0,70.0,299.5,1657650,62410,PE,25250.0,58.0,0.35,6310931,-12888.75,205.47,-13094.22,22.490000000000002,11.229999999999999,0.0321,0.29000000000000004,16.43,75.0,0.0,180165.4125,12.59
OPT_ATM_STRADDLE_0DTE,42,2025-07-03,2025-07-03,0,75,25505.1,25405.3,2,56843,CE,25500.0,54.0,0.45,25719392,56887,PE,25500.0,69.0,92.05,21117105,2287.5,183.3,2104.2,6.930000000000001,5.66,0.0162,0.28,15.42,75.0,0.0,181384.425,12.39
